Result	Lemma	Gender	Case	Number	Reference
φωνῇ	φωνή	fem	dat	sg	Mt 27:46,Mt 27:50,Mk 1:26,Mk 5:7,Mk 15:34,Lk 4:33,Lk 8:28,Lk 19:37,Lk 23:46,Jn 11:43,Ac 7:57,Ac 7:60,Ac 8:7,Ac 14:10,Ac 16:28,Ac 26:24,1 Th 4:16,Heb 12:19,2 Pe 2:16,Re 5:2,Re 5:12,Re 6:10,Re 7:2,Re 7:10,Re 8:13,Re 10:3,Re 14:7,Re 14:9,Re 14:15,Re 14:18,Re 18:2,Re 19:17
φωνήν	φωνή	fem	acc	sg	Jn 10:5,Ga 4:20
φωνῆς	φωνή	fem	gen	sg	Lk 17:15,Jn 5:25,Jn 5:28,Jn 10:3,Jn 10:16,Jn 10:27,Jn 18:37,Ac 2:6,Ac 9:7,Ac 11:7,Ac 22:7,Ac 24:21,1 Co 14:11,Heb 3:7,Heb 3:15,Heb 4:7,2 Pe 1:17,Re 3:20,Re 10:7,Re 11:12,Re 14:13,Re 16:1,Re 21:3
φωνάς	φωνή	fem	acc	pl	Re 10:3
φωνὰς	φωνή	fem	acc	pl	Ac 13:27
φωνῶν	φωνή	feminine, masculine	gen	pl	1 Co 14:10,Re 8:13
φωνὴ	φωνή	fem	nom	sg	Mt 2:18,Mt 3:3,Mt 3:17,Mt 17:5,Mk 1:3,Mk 1:11,Mk 9:7,Lk 1:44,Lk 3:4,Lk 9:35,Jn 1:23,Jn 12:28,Jn 12:30,Ac 7:31,Ac 10:13,Ac 10:15,Ac 11:9,Ac 12:22,Ac 19:34,Heb 12:26,Re 1:15,Re 1:15,Re 4:1,Re 6:1,Re 9:9,Re 9:9,Re 10:8,Re 14:2,Re 16:17,Re 18:22,Re 18:22,Re 18:23,Re 19:5
φωναὶ	φωνή	fem	nom	pl	Lk 23:23,Re 4:5,Re 8:5,Re 11:15,Re 11:19,Re 16:18
φωνὴν	φωνή	fem	acc	sg	Mt 12:19,Mk 15:37,Lk 3:22,Lk 9:36,Lk 11:27,Lk 17:13,Jn 3:8,Jn 3:29,Jn 5:37,Jn 10:4,Ac 2:14,Ac 4:24,Ac 9:4,Ac 12:14,Ac 14:11,Ac 22:9,Ac 22:14,Ac 22:22,Ac 26:14,1 Co 14:7,1 Co 14:8,2 Pe 1:18,Re 1:10,Re 1:12,Re 5:11,Re 6:6,Re 6:7,Re 9:13,Re 10:4,Re 12:10,Re 14:2,Re 14:2,Re 14:2,Re 18:4,Re 19:1,Re 19:6,Re 19:6,Re 19:6
φωναῖς	φωνή	fem	dat	pl	Lk 23:23
