Result	Lemma	Gender	Case	Number	Reference
θεῷ	θεός	mas	dat	sg	Mt 6:24,Mt 19:26,Mt 22:21,Mk 10:27,Mk 10:27,Mk 12:17,Lk 1:30,Lk 1:47,Lk 2:14,Lk 2:38,Lk 2:52,Lk 16:13,Lk 17:18,Lk 18:27,Lk 18:43,Lk 20:25,Jn 3:21,Jn 5:18,Jn 9:24,Jn 16:2,Ac 5:4,Ac 5:29,Ac 7:20,Ac 12:23,Ac 16:34,Ac 17:23,Ac 20:32,Ac 23:1,Ac 24:14,Ac 26:29,Ac 27:25,Ac 27:35,Ac 28:15,Ro 1:8,Ro 2:11,Ro 2:13,Ro 2:17,Ro 3:19,Ro 4:3,Ro 4:20,Ro 5:10,Ro 5:11,Ro 6:10,Ro 6:11,Ro 6:13,Ro 6:13,Ro 6:17,Ro 6:22,Ro 7:4,Ro 7:25,Ro 8:8,Ro 9:14,Ro 9:20,Ro 11:2,Ro 11:30,Ro 12:1,Ro 14:6,Ro 14:6,Ro 14:11,Ro 14:12,Ro 14:18,Ro 16:27,1 Co 1:4,1 Co 1:14,1 Co 3:19,1 Co 7:24,1 Co 8:8,1 Co 9:9,1 Co 10:20,1 Co 11:13,1 Co 14:2,1 Co 14:18,1 Co 14:25,1 Co 14:28,1 Co 15:24,1 Co 15:57,2 Co 1:9,2 Co 1:20,2 Co 2:14,2 Co 2:15,2 Co 5:11,2 Co 5:13,2 Co 5:20,2 Co 8:16,2 Co 9:11,2 Co 9:12,2 Co 9:15,2 Co 10:4,Ga 2:19,Ga 3:6,Ga 3:11,Eph 2:16,Eph 3:9,Eph 5:2,Eph 5:20,Php 1:3,Php 2:6,Php 4:18,Php 4:20,Col 1:3,Col 3:3,Col 3:16,Col 3:17,1 Th 1:1,1 Th 1:2,1 Th 1:9,1 Th 2:2,1 Th 2:4,1 Th 2:13,1 Th 2:15,1 Th 3:9,1 Th 4:1,2 Th 1:1,2 Th 1:3,2 Th 1:6,2 Th 2:13,1 Ti 1:17,1 Ti 4:10,1 Ti 6:17,2 Ti 1:3,2 Ti 2:15,Tt 3:8,Phm 4,Heb 7:19,Heb 7:25,Heb 9:14,Heb 9:14,Heb 11:4,Heb 11:5,Heb 11:6,Heb 12:23,Heb 12:28,Heb 13:15,Jas 1:27,Jas 2:23,Jas 4:7,Jas 4:8,1 Pe 2:4,1 Pe 2:5,1 Pe 2:20,1 Pe 3:18,1 Jn 4:15,1 Jn 4:16,1 Jn 5:10,Jud 1,Jud 25,Re 1:6,Re 5:9,Re 5:10,Re 7:10,Re 7:11,Re 7:12,Re 11:13,Re 11:16,Re 14:4,Re 19:4,Re 19:5,Re 19:10,Re 22:9
θεοῖς	θεός	mas	dat	pl	Ga 4:8
θεέ	θεός	mas	voc	sg	Mt 27:46,Mt 27:46
θεὸν	θεός	fem	acc	sg	Ac 19:37
θεός	θεός	mas	nom	sg	Mt 1:23,Mk 2:7,Mk 10:18,Mk 15:34,Mk 15:34,Lk 5:21,Lk 8:39,Lk 12:20,Lk 18:11,Lk 18:13,Lk 18:19,Jn 4:24,Jn 6:27,Jn 9:29,Jn 11:22,Jn 20:28,Ac 2:17,Ac 2:32,Ac 2:36,Ac 3:18,Ac 10:34,Ac 17:30,Ac 23:3,Ro 1:9,Ro 5:8,1 Co 1:9,1 Co 1:27,1 Co 1:27,1 Co 1:28,1 Co 3:7,1 Co 3:17,1 Co 7:15,1 Co 7:17,1 Co 10:5,1 Co 10:13,1 Co 11:3,2 Co 1:21,2 Co 5:5,2 Co 9:7,2 Co 12:21,Ga 3:8,Ga 3:18,Eph 2:10,Php 4:19,1 Th 2:10,2 Th 2:4,1 Ti 2:5,Heb 1:9,Heb 2:13,Heb 3:4,Heb 4:10,Heb 6:3,Heb 6:13,Heb 9:20,Heb 11:5,Heb 11:10,Heb 11:19,Heb 12:7,Heb 13:4,Heb 13:16,Jas 2:19,1 Pe 4:11,1 Jn 5:11,Re 1:8,Re 21:3
θεοὺς	θεός	mas	acc	pl	Jn 10:35,Ac 7:40
θεὸς	θεός	mas	nom	sg	Mt 3:9,Mt 6:30,Mt 15:4,Mt 19:6,Mt 22:32,Mt 22:32,Mt 22:32,Mt 22:32,Mk 10:9,Mk 12:26,Mk 12:26,Mk 12:26,Mk 12:26,Mk 12:27,Mk 12:29,Mk 13:19,Lk 1:32,Lk 1:68,Lk 3:8,Lk 7:16,Lk 12:24,Lk 12:28,Lk 16:15,Lk 18:7,Lk 20:38,Jn 1:1,Jn 1:18,Jn 3:2,Jn 3:16,Jn 3:17,Jn 3:33,Jn 3:34,Jn 8:42,Jn 8:54,Jn 9:31,Jn 13:31,Jn 13:32,Jn 13:32,Ac 2:22,Ac 2:24,Ac 2:30,Ac 2:39,Ac 3:13,Ac 3:13,Ac 3:13,Ac 3:13,Ac 3:15,Ac 3:21,Ac 3:22,Ac 3:25,Ac 3:26,Ac 4:10,Ac 5:30,Ac 5:31,Ac 5:32,Ac 7:2,Ac 7:6,Ac 7:7,Ac 7:9,Ac 7:17,Ac 7:25,Ac 7:32,Ac 7:32,Ac 7:35,Ac 7:37,Ac 7:42,Ac 7:45,Ac 10:15,Ac 10:28,Ac 10:38,Ac 10:38,Ac 10:40,Ac 11:9,Ac 11:17,Ac 11:18,Ac 13:17,Ac 13:21,Ac 13:23,Ac 13:30,Ac 13:33,Ac 13:37,Ac 14:27,Ac 15:4,Ac 15:7,Ac 15:8,Ac 15:12,Ac 15:14,Ac 16:10,Ac 17:24,Ac 19:11,Ac 21:19,Ac 22:14,Ac 26:8,Ac 27:24,Ro 1:19,Ro 1:24,Ro 1:26,Ro 1:28,Ro 2:16,Ro 3:4,Ro 3:5,Ro 3:6,Ro 3:25,Ro 3:29,Ro 3:30,Ro 4:6,Ro 8:3,Ro 8:31,Ro 8:33,Ro 9:5,Ro 9:22,Ro 10:9,Ro 11:1,Ro 11:2,Ro 11:8,Ro 11:21,Ro 11:23,Ro 11:32,Ro 12:3,Ro 14:3,Ro 15:5,Ro 15:13,Ro 15:33,Ro 16:20,1 Co 1:20,1 Co 1:21,1 Co 2:7,1 Co 2:9,1 Co 2:10,1 Co 3:6,1 Co 4:9,1 Co 5:13,1 Co 6:13,1 Co 6:14,1 Co 8:4,1 Co 8:6,1 Co 12:6,1 Co 12:18,1 Co 12:24,1 Co 12:28,1 Co 14:25,1 Co 14:33,1 Co 15:28,1 Co 15:38,2 Co 1:3,2 Co 1:3,2 Co 1:18,2 Co 4:4,2 Co 4:6,2 Co 5:19,2 Co 6:16,2 Co 6:16,2 Co 7:6,2 Co 9:8,2 Co 10:13,2 Co 11:11,2 Co 11:31,2 Co 12:2,2 Co 12:3,2 Co 13:11,Ga 1:15,Ga 2:6,Ga 3:20,Ga 4:4,Ga 4:6,Ga 6:7,Eph 1:3,Eph 1:17,Eph 2:4,Eph 4:6,Eph 4:32,Php 1:8,Php 2:9,Php 2:13,Php 2:27,Php 3:15,Php 3:19,Php 4:9,Col 1:27,Col 4:3,1 Th 2:5,1 Th 3:11,1 Th 4:7,1 Th 4:14,1 Th 5:9,1 Th 5:23,2 Th 1:11,2 Th 2:11,2 Th 2:13,2 Th 2:16,1 Ti 4:3,2 Ti 1:7,2 Ti 2:25,Tt 1:2,Heb 1:1,Heb 1:8,Heb 1:9,Heb 4:4,Heb 6:10,Heb 6:17,Heb 10:7,Heb 11:16,Heb 11:16,Heb 12:29,Heb 13:20,Jas 1:13,Jas 2:5,Jas 4:6,1 Pe 1:3,1 Pe 4:11,1 Pe 5:5,1 Pe 5:10,2 Pe 2:4,1 Jn 1:5,1 Jn 3:20,1 Jn 4:8,1 Jn 4:9,1 Jn 4:11,1 Jn 4:12,1 Jn 4:15,1 Jn 4:16,1 Jn 4:16,1 Jn 4:16,1 Jn 5:10,1 Jn 5:20,Re 1:1,Re 4:8,Re 4:11,Re 7:17,Re 11:17,Re 15:3,Re 16:7,Re 17:17,Re 18:5,Re 18:8,Re 18:20,Re 19:6,Re 21:3,Re 21:7,Re 21:22,Re 22:5,Re 22:6,Re 22:18,Re 22:19
Θεὸν	θεός	mas	acc	sg	Jn 1:18
θεοῦ	θεός	mas	gen	sg	Mt 3:16,Mt 4:3,Mt 4:4,Mt 4:6,Mt 5:9,Mt 5:34,Mt 6:33,Mt 8:29,Mt 12:4,Mt 12:28,Mt 12:28,Mt 14:33,Mt 15:3,Mt 15:6,Mt 16:16,Mt 16:23,Mt 19:24,Mt 21:31,Mt 21:43,Mt 22:16,Mt 22:21,Mt 22:29,Mt 22:31,Mt 23:22,Mt 26:61,Mt 26:63,Mt 26:63,Mt 27:40,Mt 27:43,Mt 27:54,Mk 1:1,Mk 1:14,Mk 1:15,Mk 1:24,Mk 2:26,Mk 3:11,Mk 3:35,Mk 4:11,Mk 4:26,Mk 4:30,Mk 5:7,Mk 7:8,Mk 7:9,Mk 7:13,Mk 8:33,Mk 9:1,Mk 9:47,Mk 10:14,Mk 10:15,Mk 10:23,Mk 10:24,Mk 10:25,Mk 11:22,Mk 12:14,Mk 12:17,Mk 12:24,Mk 12:34,Mk 14:25,Mk 15:39,Mk 15:43,Mk 16:19,Lk 1:6,Lk 1:8,Lk 1:19,Lk 1:26,Lk 1:35,Lk 1:37,Lk 1:78,Lk 2:40,Lk 3:2,Lk 3:6,Lk 3:38,Lk 4:3,Lk 4:9,Lk 4:34,Lk 4:41,Lk 4:43,Lk 5:1,Lk 6:4,Lk 6:12,Lk 6:20,Lk 7:28,Lk 7:30,Lk 8:1,Lk 8:10,Lk 8:11,Lk 8:21,Lk 8:28,Lk 9:2,Lk 9:11,Lk 9:20,Lk 9:27,Lk 9:43,Lk 9:60,Lk 9:62,Lk 10:9,Lk 10:11,Lk 11:20,Lk 11:20,Lk 11:28,Lk 11:42,Lk 11:49,Lk 12:6,Lk 12:8,Lk 12:9,Lk 13:18,Lk 13:20,Lk 13:28,Lk 13:29,Lk 14:15,Lk 15:10,Lk 16:15,Lk 16:16,Lk 17:20,Lk 17:20,Lk 17:21,Lk 18:16,Lk 18:17,Lk 18:24,Lk 18:25,Lk 18:29,Lk 19:11,Lk 20:21,Lk 20:25,Lk 20:36,Lk 21:31,Lk 22:16,Lk 22:18,Lk 22:69,Lk 22:70,Lk 23:35,Lk 23:51,Lk 24:19,Jn 1:6,Jn 1:12,Jn 1:13,Jn 1:29,Jn 1:34,Jn 1:36,Jn 1:49,Jn 1:51,Jn 3:2,Jn 3:3,Jn 3:5,Jn 3:18,Jn 3:34,Jn 3:36,Jn 4:10,Jn 5:25,Jn 5:42,Jn 5:44,Jn 6:28,Jn 6:29,Jn 6:33,Jn 6:45,Jn 6:46,Jn 6:69,Jn 7:17,Jn 8:40,Jn 8:42,Jn 8:47,Jn 8:47,Jn 8:47,Jn 9:3,Jn 9:16,Jn 9:33,Jn 10:35,Jn 10:36,Jn 11:4,Jn 11:4,Jn 11:27,Jn 11:40,Jn 11:52,Jn 12:43,Jn 13:3,Jn 16:27,Jn 16:30,Jn 19:7,Jn 20:31,Ac 1:3,Ac 2:11,Ac 2:22,Ac 2:23,Ac 2:33,Ac 4:19,Ac 4:19,Ac 4:31,Ac 5:39,Ac 6:2,Ac 6:7,Ac 7:43,Ac 7:46,Ac 7:55,Ac 7:55,Ac 7:56,Ac 8:10,Ac 8:12,Ac 8:14,Ac 8:20,Ac 8:21,Ac 9:20,Ac 10:2,Ac 10:3,Ac 10:4,Ac 10:31,Ac 10:33,Ac 10:41,Ac 10:42,Ac 11:1,Ac 11:23,Ac 12:22,Ac 12:24,Ac 13:5,Ac 13:7,Ac 13:36,Ac 13:43,Ac 13:46,Ac 14:22,Ac 14:26,Ac 16:17,Ac 17:13,Ac 17:29,Ac 18:11,Ac 18:21,Ac 18:26,Ac 19:8,Ac 20:24,Ac 20:27,Ac 20:28,Ac 22:3,Ac 23:4,Ac 26:6,Ac 26:22,Ac 27:23,Ac 28:23,Ac 28:28,Ac 28:31,Ro 1:1,Ro 1:4,Ro 1:7,Ro 1:7,Ro 1:10,Ro 1:16,Ro 1:17,Ro 1:18,Ro 1:19,Ro 1:23,Ro 1:25,Ro 1:32,Ro 2:2,Ro 2:3,Ro 2:4,Ro 2:5,Ro 2:24,Ro 2:29,Ro 3:2,Ro 3:3,Ro 3:5,Ro 3:7,Ro 3:18,Ro 3:21,Ro 3:22,Ro 3:23,Ro 3:26,Ro 4:17,Ro 4:20,Ro 5:2,Ro 5:5,Ro 5:15,Ro 6:23,Ro 7:22,Ro 7:25,Ro 8:7,Ro 8:9,Ro 8:14,Ro 8:14,Ro 8:16,Ro 8:17,Ro 8:19,Ro 8:21,Ro 8:33,Ro 8:34,Ro 8:39,Ro 9:6,Ro 9:8,Ro 9:11,Ro 9:16,Ro 9:26,Ro 10:2,Ro 10:3,Ro 10:3,Ro 11:22,Ro 11:22,Ro 11:29,Ro 11:33,Ro 12:1,Ro 12:2,Ro 13:1,Ro 13:1,Ro 13:2,Ro 13:4,Ro 13:4,Ro 13:6,Ro 14:10,Ro 14:17,Ro 14:20,Ro 14:22,Ro 15:7,Ro 15:8,Ro 15:15,Ro 15:16,Ro 15:19,Ro 15:32,Ro 16:26,1 Co 1:1,1 Co 1:2,1 Co 1:3,1 Co 1:4,1 Co 1:18,1 Co 1:21,1 Co 1:24,1 Co 1:24,1 Co 1:25,1 Co 1:25,1 Co 1:29,1 Co 1:30,1 Co 2:1,1 Co 2:5,1 Co 2:7,1 Co 2:10,1 Co 2:11,1 Co 2:11,1 Co 2:12,1 Co 2:12,1 Co 2:14,1 Co 3:9,1 Co 3:9,1 Co 3:9,1 Co 3:10,1 Co 3:16,1 Co 3:16,1 Co 3:17,1 Co 3:17,1 Co 3:23,1 Co 4:1,1 Co 4:5,1 Co 4:20,1 Co 6:9,1 Co 6:10,1 Co 6:11,1 Co 6:19,1 Co 7:7,1 Co 7:19,1 Co 7:40,1 Co 9:21,1 Co 10:31,1 Co 10:32,1 Co 11:7,1 Co 11:12,1 Co 11:16,1 Co 11:22,1 Co 12:3,1 Co 14:36,1 Co 15:9,1 Co 15:10,1 Co 15:10,1 Co 15:15,1 Co 15:15,1 Co 15:34,1 Co 15:50,2 Co 1:1,2 Co 1:1,2 Co 1:2,2 Co 1:4,2 Co 1:12,2 Co 1:12,2 Co 1:19,2 Co 1:20,2 Co 2:17,2 Co 2:17,2 Co 2:17,2 Co 3:3,2 Co 3:5,2 Co 4:2,2 Co 4:2,2 Co 4:4,2 Co 4:6,2 Co 4:7,2 Co 4:15,2 Co 5:1,2 Co 5:18,2 Co 5:20,2 Co 5:21,2 Co 6:1,2 Co 6:4,2 Co 6:7,2 Co 6:16,2 Co 6:16,2 Co 7:1,2 Co 7:12,2 Co 8:1,2 Co 8:5,2 Co 9:14,2 Co 10:5,2 Co 11:2,2 Co 11:7,2 Co 12:19,2 Co 13:4,2 Co 13:4,2 Co 13:13,Ga 1:1,Ga 1:3,Ga 1:4,Ga 1:13,Ga 1:20,Ga 2:20,Ga 2:21,Ga 3:17,Ga 3:21,Ga 3:26,Ga 4:7,Ga 4:9,Ga 4:14,Ga 5:21,Ga 6:16,Eph 1:1,Eph 1:2,Eph 2:8,Eph 2:19,Eph 2:22,Eph 3:2,Eph 3:7,Eph 3:10,Eph 3:19,Eph 4:13,Eph 4:18,Eph 4:30,Eph 5:1,Eph 5:5,Eph 5:6,Eph 6:6,Eph 6:11,Eph 6:13,Eph 6:17,Eph 6:23,Php 1:2,Php 1:11,Php 1:28,Php 2:6,Php 2:11,Php 2:15,Php 3:3,Php 3:9,Php 3:14,Php 4:7,Col 1:1,Col 1:2,Col 1:6,Col 1:10,Col 1:15,Col 1:25,Col 1:25,Col 2:2,Col 2:12,Col 2:19,Col 3:1,Col 3:6,Col 3:12,Col 4:11,Col 4:12,1 Th 1:3,1 Th 1:4,1 Th 2:2,1 Th 2:4,1 Th 2:8,1 Th 2:9,1 Th 2:12,1 Th 2:13,1 Th 2:13,1 Th 2:14,1 Th 3:2,1 Th 3:9,1 Th 3:13,1 Th 4:3,1 Th 4:16,1 Th 5:18,2 Th 1:2,2 Th 1:4,2 Th 1:5,2 Th 1:5,2 Th 1:12,2 Th 2:4,2 Th 3:5,1 Ti 1:1,1 Ti 1:2,1 Ti 1:4,1 Ti 1:11,1 Ti 2:3,1 Ti 2:5,1 Ti 3:5,1 Ti 3:15,1 Ti 3:15,1 Ti 4:4,1 Ti 4:5,1 Ti 5:4,1 Ti 5:21,1 Ti 6:1,1 Ti 6:11,1 Ti 6:13,2 Ti 1:1,2 Ti 1:2,2 Ti 1:6,2 Ti 1:8,2 Ti 2:9,2 Ti 2:14,2 Ti 2:19,2 Ti 3:17,2 Ti 4:1,Tt 1:1,Tt 1:1,Tt 1:3,Tt 1:4,Tt 1:7,Tt 2:5,Tt 2:10,Tt 2:11,Tt 2:13,Tt 3:4,Phm 3,Heb 1:6,Heb 2:4,Heb 2:9,Heb 3:12,Heb 4:9,Heb 4:12,Heb 4:14,Heb 5:4,Heb 5:10,Heb 5:12,Heb 6:5,Heb 6:6,Heb 6:7,Heb 7:1,Heb 7:3,Heb 9:24,Heb 10:12,Heb 10:21,Heb 10:29,Heb 10:31,Heb 10:36,Heb 11:3,Heb 11:4,Heb 11:25,Heb 11:40,Heb 12:2,Heb 12:15,Heb 12:22,Heb 13:7,Jas 1:1,Jas 1:5,Jas 1:13,Jas 1:20,Jas 2:23,Jas 3:9,Jas 4:4,Jas 4:4,1 Pe 1:2,1 Pe 1:5,1 Pe 1:23,1 Pe 2:10,1 Pe 2:15,1 Pe 2:16,1 Pe 2:19,1 Pe 3:4,1 Pe 3:17,1 Pe 3:20,1 Pe 3:22,1 Pe 4:2,1 Pe 4:10,1 Pe 4:11,1 Pe 4:14,1 Pe 4:17,1 Pe 4:17,1 Pe 4:19,1 Pe 5:2,1 Pe 5:6,1 Pe 5:12,2 Pe 1:1,2 Pe 1:2,2 Pe 1:17,2 Pe 1:21,2 Pe 3:5,2 Pe 3:12,1 Jn 2:5,1 Jn 2:14,1 Jn 2:17,1 Jn 3:1,1 Jn 3:2,1 Jn 3:8,1 Jn 3:9,1 Jn 3:9,1 Jn 3:10,1 Jn 3:10,1 Jn 3:17,1 Jn 4:1,1 Jn 4:2,1 Jn 4:2,1 Jn 4:3,1 Jn 4:4,1 Jn 4:6,1 Jn 4:6,1 Jn 4:7,1 Jn 4:7,1 Jn 4:9,1 Jn 4:15,1 Jn 5:1,1 Jn 5:2,1 Jn 5:3,1 Jn 5:4,1 Jn 5:5,1 Jn 5:9,1 Jn 5:9,1 Jn 5:10,1 Jn 5:12,1 Jn 5:13,1 Jn 5:18,1 Jn 5:18,1 Jn 5:19,1 Jn 5:20,2 Jn 3,3 Jn 6,3 Jn 11,Jud 4,Jud 21,Re 1:2,Re 1:9,Re 2:7,Re 2:18,Re 3:1,Re 3:2,Re 3:12,Re 3:12,Re 3:12,Re 3:12,Re 3:14,Re 4:5,Re 5:6,Re 6:9,Re 7:2,Re 7:3,Re 7:15,Re 8:2,Re 8:4,Re 9:4,Re 9:13,Re 10:7,Re 11:1,Re 11:11,Re 11:16,Re 11:19,Re 12:6,Re 12:10,Re 12:10,Re 12:17,Re 14:10,Re 14:12,Re 14:19,Re 15:1,Re 15:2,Re 15:3,Re 15:7,Re 15:8,Re 16:1,Re 16:9,Re 16:14,Re 16:19,Re 17:17,Re 19:1,Re 19:9,Re 19:13,Re 19:15,Re 19:17,Re 20:4,Re 20:6,Re 21:2,Re 21:3,Re 21:10,Re 21:11,Re 21:23,Re 22:1,Re 22:3
θεὸν	θεός	mas	acc	sg	Mt 5:8,Mt 9:8,Mt 15:31,Mk 2:12,Lk 1:16,Lk 2:13,Lk 2:20,Lk 2:28,Lk 5:26,Lk 7:16,Lk 7:29,Lk 12:21,Lk 18:2,Lk 18:4,Lk 19:37,Lk 20:37,Lk 20:37,Lk 20:37,Lk 23:47,Jn 5:18,Jn 11:22,Jn 13:3,Jn 14:1,Jn 17:3,Jn 20:17,Ac 2:47,Ac 4:21,Ac 4:24,Ac 10:2,Ac 11:18,Ac 12:5,Ac 14:15,Ac 15:10,Ac 20:21,Ac 21:20,Ac 24:15,Ac 24:16,Ro 1:21,Ro 1:21,Ro 1:28,Ro 2:23,Ro 5:1,Ro 8:27,Ro 8:28,Ro 10:1,Ro 15:6,1 Co 6:20,2 Co 1:23,2 Co 7:10,2 Co 7:11,2 Co 9:13,2 Co 13:7,Ga 4:8,Eph 4:24,1 Th 1:8,1 Th 1:9,1 Th 4:8,2 Th 1:8,2 Th 2:4,1 Ti 5:5,Tt 1:16,Heb 2:17,1 Pe 1:21,1 Pe 2:12,1 Pe 2:17,1 Pe 3:5,1 Pe 4:6,1 Pe 4:16,1 Jn 3:21,1 Jn 4:6,1 Jn 4:12,1 Jn 4:20,1 Jn 4:20,1 Jn 4:21,1 Jn 5:2,2 Jn 9,Re 12:5,Re 13:6,Re 14:7,Re 16:11,Re 16:21
