Result	Lemma	Gender	Case	Number	Reference
κυρίοις	κύριος	mas	dat	pl	Mt 6:24,Lk 16:13,Ac 16:16,Eph 6:5,Col 3:22
κυρίων	κύριος	mas	gen	pl	Mt 15:27,Re 17:14,Re 19:16
κύριοι	κύριος	mas	voc	pl	Ac 16:30
κύριε	κύριος	mas	voc	sg	Mt 7:21,Mt 7:21,Mt 7:22,Mt 7:22,Mt 8:2,Mt 8:6,Mt 8:8,Mt 8:21,Mt 8:25,Mt 9:28,Mt 11:25,Mt 13:27,Mt 14:28,Mt 14:30,Mt 15:22,Mt 15:25,Mt 15:27,Mt 16:22,Mt 17:4,Mt 17:15,Mt 18:21,Mt 20:30,Mt 20:31,Mt 20:33,Mt 21:30,Mt 25:11,Mt 25:11,Mt 25:20,Mt 25:22,Mt 25:24,Mt 25:37,Mt 25:44,Mt 26:22,Mt 27:63,Mk 7:28,Lk 5:8,Lk 5:12,Lk 6:46,Lk 6:46,Lk 7:6,Lk 9:54,Lk 9:61,Lk 10:17,Lk 10:21,Lk 10:40,Lk 11:1,Lk 12:41,Lk 13:8,Lk 13:23,Lk 13:25,Lk 14:22,Lk 17:37,Lk 18:41,Lk 19:8,Lk 19:16,Lk 19:18,Lk 19:20,Lk 19:25,Lk 22:33,Lk 22:38,Lk 22:49,Jn 4:11,Jn 4:15,Jn 4:19,Jn 4:49,Jn 5:7,Jn 6:34,Jn 6:68,Jn 8:11,Jn 9:36,Jn 9:38,Jn 11:3,Jn 11:12,Jn 11:21,Jn 11:27,Jn 11:32,Jn 11:34,Jn 11:39,Jn 12:21,Jn 12:38,Jn 13:6,Jn 13:9,Jn 13:25,Jn 13:36,Jn 13:37,Jn 14:5,Jn 14:8,Jn 14:22,Jn 20:15,Jn 21:15,Jn 21:16,Jn 21:17,Jn 21:20,Jn 21:21,Ac 1:6,Ac 1:24,Ac 4:29,Ac 7:59,Ac 7:60,Ac 9:5,Ac 9:10,Ac 9:13,Ac 10:4,Ac 10:14,Ac 11:8,Ac 22:8,Ac 22:10,Ac 22:19,Ac 26:15,Ro 10:16,Ro 11:3,Heb 1:10,Re 11:17,Re 15:3,Re 15:4,Re 16:7,Re 22:20
κύριός	κύριος	mas	nom	sg	Mk 2:28,Mk 5:19,Lk 6:5,Lk 12:45,Lk 16:3,Jn 20:28,Jn 21:7,Jn 21:7,Jn 21:12,1 Co 4:4,Eph 6:9,2 Ti 4:17
κύριοι	κύριος	mas	vocative, nominative	pl	Col 4:1
κύριος	κύριος	mas	nom	sg	Mt 10:25,Mt 12:8,Mt 18:25,Mt 18:27,Mt 18:32,Mt 18:34,Mt 20:8,Mt 21:3,Mt 21:40,Mt 22:44,Mt 24:42,Mt 24:45,Mt 24:46,Mt 24:48,Mt 24:50,Mt 25:19,Mt 25:21,Mt 25:23,Mt 25:26,Mt 27:10,Mk 11:3,Mk 12:9,Mk 12:29,Mk 12:29,Mk 12:36,Mk 13:20,Mk 13:35,Mk 16:19,Lk 1:25,Lk 1:28,Lk 1:32,Lk 1:58,Lk 1:68,Lk 2:11,Lk 2:15,Lk 7:13,Lk 10:1,Lk 10:41,Lk 11:39,Lk 12:37,Lk 12:42,Lk 12:42,Lk 12:43,Lk 12:46,Lk 13:15,Lk 14:23,Lk 16:8,Lk 17:6,Lk 18:6,Lk 19:31,Lk 19:34,Lk 20:13,Lk 20:15,Lk 20:42,Lk 22:61,Lk 24:34,Jn 13:13,Jn 13:14,Jn 15:15,Ac 1:21,Ac 2:34,Ac 2:39,Ac 2:47,Ac 3:22,Ac 7:33,Ac 7:49,Ac 9:10,Ac 9:11,Ac 9:15,Ac 9:17,Ac 10:36,Ac 12:11,Ac 12:17,Ac 13:47,Ac 15:17,Ac 16:14,Ac 17:24,Ac 18:9,Ac 22:10,Ac 23:11,Ac 26:15,Ro 4:8,Ro 9:28,Ro 9:29,Ro 10:12,Ro 12:19,Ro 14:4,Ro 14:11,1 Co 3:5,1 Co 3:20,1 Co 4:5,1 Co 4:19,1 Co 6:13,1 Co 7:10,1 Co 7:12,1 Co 7:17,1 Co 8:6,1 Co 9:14,1 Co 11:23,1 Co 12:5,1 Co 14:21,1 Co 16:7,2 Co 3:17,2 Co 6:17,2 Co 6:18,2 Co 10:8,2 Co 10:18,2 Co 13:10,Ga 4:1,Eph 4:5,Php 2:11,Php 4:5,Col 3:13,1 Th 3:11,1 Th 3:12,1 Th 4:6,1 Th 4:16,2 Th 2:8,2 Th 2:16,2 Th 3:3,2 Th 3:5,2 Th 3:16,2 Th 3:16,1 Ti 6:15,2 Ti 1:16,2 Ti 1:18,2 Ti 2:7,2 Ti 2:19,2 Ti 3:11,2 Ti 4:8,2 Ti 4:14,2 Ti 4:18,2 Ti 4:22,Heb 7:14,Heb 7:21,Heb 8:2,Heb 8:8,Heb 8:9,Heb 8:10,Heb 10:16,Heb 10:30,Heb 12:6,Heb 13:6,Jas 4:15,Jas 5:11,Jas 5:15,1 Pe 2:3,2 Pe 1:14,2 Pe 2:9,2 Pe 3:9,Jud 9,Jud 14,Re 1:8,Re 4:8,Re 4:11,Re 11:8,Re 17:14,Re 18:8,Re 19:6,Re 19:16,Re 21:22,Re 22:5,Re 22:6
Κύριος	κύριος	mas	nom	sg	1 Co 12:3
κύριέ	κύριος	mas	voc	sg	Re 7:14
κύριοι	κύριος	mas	nom	pl	Lk 19:33,Ac 16:19,1 Co 8:5,Eph 6:9
