Result	Lemma	Gender	Case	Number	Reference
παιδίον	παιδίον	neu	voc	sg	Lk 1:76
παιδίοις	παιδίον	neu	dat	pl	Mt 11:16,Lk 7:32
παιδία	παιδίον	neu	nominative, accusative	pl	Mt 18:3
παιδία	παιδίον	neu	nom	pl	Mt 19:13,Lk 11:7,1 Co 14:20,Heb 2:13,Heb 2:14
παιδίου	παιδίον	neu	gen	sg	Mt 2:8,Mt 2:20,Mk 5:40,Mk 5:41,Mk 9:24,Lk 2:17
παιδία	παιδίον	neu	acc	pl	Mt 19:14,Mk 10:13,Mk 10:14,Lk 18:16
παιδίων	παιδίον	neu	gen	pl	Mt 14:21,Mt 15:38,Mk 7:28,Mk 9:37
Παιδία	παιδίον	neu	voc	pl	1 Jn 2:18,1 Jn 3:7
παιδίον	παιδίον	neu	acc	sg	Mt 2:11,Mt 2:13,Mt 2:13,Mt 2:14,Mt 2:20,Mt 2:21,Mt 18:2,Mt 18:5,Mk 7:30,Mk 9:36,Lk 1:59,Lk 2:27,Lk 9:47,Lk 9:48,Jn 4:49,Jn 16:21,Heb 11:23
παιδία	παιδίον	neu	voc	pl	Jn 21:5,1 Jn 2:14
παιδίον	παιδίον	neu	nom	sg	Mt 2:9,Mt 18:4,Mk 5:39,Mk 5:40,Mk 10:15,Lk 1:66,Lk 1:80,Lk 2:40,Lk 18:17
