Result	Lemma	Gender	Case	Number	Reference
τέκνα	τέκνον	neu	nominative, accusative	pl	1 Pe 3:6,1 Jn 3:1
τέκνα	τέκνον	neu	voc	pl	Mk 10:24,Ga 4:19
τέκνου	τέκνον	neu	gen	sg	Ac 7:5,Phm 10
τέκνα	τέκνον	neu	vocative, nominative	pl	Col 3:20
τέκνον	τέκνον	neu	nom	sg	Lk 1:7,1 Co 4:17,Php 2:22,Re 12:5
τέκνῳ	τέκνον	neu	dat	sg	1 Ti 1:2,2 Ti 1:2,Tt 1:4
τέκνοις	τέκνον	neu	dat	pl	Mt 7:11,Lk 11:13,Ac 2:39,Ac 13:33,Ac 21:5,2 Co 6:13,2 Co 12:14,2 Jn 1
τέκνον	τέκνον	neu	voc	sg	Mt 9:2,Mt 21:28,Mk 2:5,Lk 2:48,Lk 15:31,Lk 16:25,1 Ti 1:18,2 Ti 2:1
τέκνα	τέκνον	neu	nom	pl	Mt 10:21,Mk 13:12,Jn 8:39,Ro 8:16,Ro 8:17,Ro 9:7,Ro 9:8,Ro 9:8,Ro 9:8,1 Co 7:14,2 Co 12:14,Ga 4:27,Ga 4:28,Ga 4:31,Eph 2:3,Eph 5:1,Eph 5:8,Eph 6:1,Php 2:15,1 Pe 1:14,2 Pe 2:14,1 Jn 3:2,1 Jn 3:10,1 Jn 3:10,2 Jn 13
τέκνα	τέκνον	neu	accusative, nominative	pl	Jn 1:12,1 Co 4:14
τέκνων	τέκνον	neu	gen	pl	Mt 15:26,Mk 7:27,Lk 7:35,Ro 8:21,Ga 4:25,1 Ti 3:12,2 Jn 4
τέκνον	τέκνον	neu	acc	sg	Mt 10:21,Mk 12:19,Mk 13:12,Re 12:4
τέκνα	τέκνον	neu	acc	pl	Mt 2:18,Mt 3:9,Mt 18:25,Mt 19:29,Mt 21:28,Mt 22:24,Mt 23:37,Mt 27:25,Mk 7:27,Mk 10:29,Mk 10:30,Lk 1:17,Lk 3:8,Lk 13:34,Lk 14:26,Lk 18:29,Lk 19:44,Lk 20:31,Lk 23:28,Jn 11:52,Ac 21:21,Eph 6:4,Col 3:21,1 Th 2:7,1 Th 2:11,1 Ti 3:4,1 Ti 5:4,Tt 1:6,1 Jn 5:2,3 Jn 4,Re 2:23
