Result	Lemma	Gender	Case	Number	Reference
υἱοί	υἱός	mas	nom	pl	Mt 17:26,Mt 20:21,Mt 23:31,Lk 20:36,Ga 3:7,Ga 4:6,Heb 12:8
υἱέ	υἱός	mas	voc	sg	Heb 12:5
υἱόν	υἱός	mas	acc	sg	Mt 1:21,Mt 1:23,Mt 1:25,Mt 2:15,Mt 17:15,Mt 21:37,Mk 9:17,Mk 12:6,Lk 1:13,Lk 1:57,Lk 9:38,Lk 9:41,Lk 20:13,Lk 20:41,Jn 4:47,Jn 17:1,Ac 7:21,Heb 1:5,Heb 1:8,1 Jn 2:22
υἱὸς	υἱός	mas	nom	sg	Mt 1:20,Mt 4:3,Mt 4:6,Mt 7:9,Mt 8:20,Mt 9:6,Mt 9:27,Mt 10:23,Mt 11:19,Mt 11:27,Mt 11:27,Mt 12:8,Mt 12:23,Mt 12:40,Mt 13:37,Mt 13:41,Mt 14:33,Mt 15:22,Mt 16:16,Mt 16:27,Mt 17:9,Mt 17:12,Mt 17:22,Mt 19:28,Mt 20:18,Mt 20:28,Mt 20:30,Mt 20:31,Mt 22:45,Mt 24:44,Mt 25:31,Mt 26:2,Mt 26:24,Mt 26:24,Mt 26:45,Mt 26:63,Mt 27:40,Mt 27:54,Mk 2:10,Mk 2:28,Mk 3:11,Mk 6:3,Mk 8:38,Mk 9:9,Mk 9:31,Mk 10:33,Mk 10:45,Mk 10:46,Mk 12:35,Mk 14:21,Mk 14:21,Mk 14:41,Mk 14:61,Mk 15:39,Lk 1:32,Lk 1:35,Lk 4:3,Lk 4:9,Lk 4:41,Lk 5:24,Lk 6:5,Lk 7:12,Lk 7:34,Lk 9:26,Lk 9:44,Lk 9:58,Lk 10:6,Lk 10:22,Lk 10:22,Lk 10:22,Lk 11:11,Lk 11:30,Lk 12:8,Lk 12:40,Lk 12:53,Lk 14:5,Lk 15:13,Lk 15:21,Lk 15:25,Lk 17:24,Lk 17:30,Lk 18:8,Lk 19:9,Lk 19:10,Lk 22:22,Lk 22:69,Lk 22:70,Jn 1:34,Jn 1:42,Jn 1:49,Jn 3:13,Jn 4:46,Jn 5:19,Jn 5:19,Jn 5:21,Jn 5:27,Jn 6:27,Jn 6:42,Jn 8:35,Jn 8:36,Jn 9:19,Jn 9:20,Jn 10:36,Jn 11:4,Jn 11:27,Jn 12:23,Jn 12:34,Jn 13:31,Jn 17:1,Jn 17:12,Jn 20:31,Ac 4:36,Ac 9:20,Ac 16:1,Ac 23:6,Ac 23:16,1 Co 15:28,2 Co 1:19,Ga 4:30,2 Th 2:3,Heb 2:6,Heb 3:6,Heb 11:24,Heb 12:7,1 Jn 3:8,1 Jn 4:15,1 Jn 5:5,1 Jn 5:20,Re 2:18
υἱῷ	υἱός	mas	dat	sg	Mt 21:9,Mt 21:15,Mt 22:2,Lk 12:53,Lk 18:31,Jn 3:36,Jn 4:5,Jn 5:22,Jn 5:26,Jn 14:13,Heb 1:2,Heb 7:3,1 Jn 2:24,1 Jn 5:11,1 Jn 5:20
υἱοῦ	υἱός	mas	gen	sg	Mt 1:1,Mt 1:1,Mt 12:32,Mt 23:35,Mt 24:27,Mt 24:30,Mt 24:37,Mt 24:39,Mt 28:19,Mk 1:1,Lk 6:22,Lk 17:22,Lk 17:26,Lk 21:36,Jn 3:18,Jn 5:25,Jn 6:53,Ro 1:3,Ro 1:4,Ro 1:9,Ro 5:10,Ro 8:29,Ro 8:32,1 Co 1:9,Ga 2:20,Ga 4:6,Ga 4:30,Eph 4:13,Col 1:13,1 Jn 1:3,1 Jn 1:7,1 Jn 3:23,1 Jn 5:9,1 Jn 5:10,1 Jn 5:13,2 Jn 3
υἱῶν	υἱός	mas	gen	pl	Mt 17:25,Mt 20:20,Mt 20:20,Mt 27:9,Mt 27:56,Lk 1:16,Ac 5:21,Ac 7:16,Ac 9:15,Ro 8:19,Ro 9:27,Heb 7:5,Heb 11:21,Heb 11:22,Re 2:14,Re 7:4,Re 21:12
υἱοὺς	υἱός	mas	acc	pl	Mt 26:37,Lk 5:10,Lk 5:34,Lk 16:8,Ac 7:23,Ac 7:29,2 Co 3:7,2 Co 3:13,2 Co 6:18,Ga 4:22,Eph 5:6,Col 3:6,Heb 2:10
υἱοὶ	υἱός	mas	voc	pl	Ac 13:26
υἱὲ	υἱός	mas	voc	sg	Mt 8:29,Mk 5:7,Mk 10:47,Mk 10:48,Lk 8:28,Lk 18:38,Lk 18:39,Ac 13:10
