Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
βάλλειν	βάλλω	pres	actv	infinitive	—	—	Re 2:10
ἔβαλον	βάλλω	aor	actv	indicative	3p	pl	Mt 13:48,Jn 19:24,Mk 12:44,Lk 21:4,Lk 23:34,Jn 21:6,Ac 16:23,Re 18:19
βάλλω	βάλλω	pres	actv	indicative	1p	sg	Re 2:22,Re 2:24
ἔβαλαν	βάλλω	aor	actv	indicative	3p	pl	Ac 16:37
βάλλουσιν	βάλλω	pres	actv	indicative	3p	pl	Lk 14:35,Mt 9:17,Mt 9:17,Jn 15:6
βαλέτω	βάλλω	aor	actv	imperative	3p	sg	Jn 8:7
ἐβλήθησαν	βάλλω	aor	pass	indicative	3p	pl	Re 12:9,Re 19:20,Re 20:14
βεβληκότος	βάλλω	perfect	actv	participle	—	sg	Jn 13:2
βάλλεται	βάλλω	pres	pass	indicative	3p	sg	Mt 3:10,Mt 7:19,Lk 3:9
ἐβλήθη	βάλλω	aor	pass	indicative	3p	sg	Jn 15:6,Re 8:7,Re 8:8,Re 12:9,Re 12:9,Re 12:10,Re 12:13,Re 20:10,Re 20:15
βάλλει	βάλλω	pres	actv	indicative	3p	sg	1 Jn 4:18,Mk 2:22,Mk 12:41,Lk 5:37,Jn 13:5,Re 6:13
βαλεῖ	βάλλω	futr	actv	indicative	3p	sg	Lk 12:58
βάλητε	βάλλω	aor	actv	subjunctive	2p	pl	Mt 7:6
βάλε	βάλλω	aor	actv	imperative	2p	sg	Mt 4:6,Mt 5:29,Mt 5:30,Mt 17:27,Mt 18:8,Mt 18:9,Lk 4:9,Jn 18:11,Jn 20:27
βλήθητι	βάλλω	aor	pass	imperative	2p	sg	Mt 21:21,Mk 11:23
βάλλουσαν	βάλλω	pres	actv	participle	—	sg	Lk 21:2
βάλλοντες	βάλλω	pres	actv	participle	—	pl	Mt 27:35,Mk 15:24
βάλετε	βάλλω	aor	actv	imperative	2p	pl	Jn 21:6
ἔβαλεν	βάλλω	aor	actv	indicative	3p	sg	Jn 21:7,Mt 18:30,Mk 7:33,Mk 9:22,Mk 12:42,Mk 12:43,Mk 12:44,Lk 13:19,Lk 21:3,Lk 21:4,Ac 16:24,Ac 27:14,Re 8:5,Re 12:4,Re 12:15,Re 12:16,Re 14:16,Re 14:19,Re 14:19,Re 18:21,Re 20:3
βληθήσεται	βάλλω	futr	pass	indicative	3p	sg	Re 18:21
βάλλομεν	βάλλω	pres	actv	indicative	1p	pl	Jas 3:3
βληθείσῃ	βάλλω	aor	pass	participle	—	sg	Mt 13:47
ἐβέβλητο	βάλλω	pluperfect	pass	indicative	3p	sg	Lk 16:20
βληθῆναι	βάλλω	aor	pass	infinitive	—	—	Mt 18:8,Mt 18:9,Mk 9:45,Mk 9:47
βάλω	βάλλω	aor	actv	subjunctive	1p	sg	Lk 13:8,Jn 20:25,Jn 20:25
βάλωσιν	βάλλω	aor	actv	subjunctive	3p	pl	Jn 8:59
βεβλημένον	βάλλω	perfect	pass	participle	—	sg	Mk 7:30,Mt 9:2,Lk 23:25
βάλῃ	βάλλω	aor	actv	subjunctive	3p	sg	Mk 4:26,Jn 5:7
βαλοῦσιν	βάλλω	futr	actv	indicative	3p	pl	Mt 13:42,Mt 13:50,Re 4:10
βάλλοντας	βάλλω	pres	actv	participle	—	pl	Mt 4:18,Lk 21:1
βαλεῖν	βάλλω	aor	actv	infinitive	—	—	Mt 10:34,Mt 10:34,Mt 15:26,Mt 25:27,Mt 27:6,Mk 7:27,Lk 12:49,Re 2:14
βαλλόμενα	βάλλω	pres	pass	participle	—	pl	Jn 12:6
βεβλημένος	βάλλω	perfect	pass	participle	—	sg	Jn 3:24
βαλλόντων	βάλλω	pres	actv	participle	—	pl	Mk 12:43,Ac 22:23
βληθήσῃ	βάλλω	futr	pass	indicative	2p	sg	Mt 5:25
βληθεὶς	βάλλω	aor	pass	participle	—	sg	Lk 23:19
βαλλόμενον	βάλλω	pres	pass	participle	—	sg	Mt 6:30,Lk 12:28
βεβλημένην	βάλλω	perfect	pass	participle	—	sg	Mt 8:14
βληθῇ	βάλλω	aor	pass	subjunctive	3p	sg	Mt 5:29
βέβληται	βάλλω	perfect	pass	indicative	3p	sg	Mt 8:6,Mk 9:42
βληθὲν	βάλλω	aor	pass	participle	—	sg	Mt 5:13
βαλοῦσα	βάλλω	aor	actv	participle	—	sg	Mt 26:12
ἔβαλλον	βάλλω	impft	actv	indicative	3p	pl	Mk 12:41
