Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
γίνεσθε	γίνομαι	pres	either middle or passive	imperative	2p	pl	Mt 24:44,Lk 12:40,Mt 6:16,Mt 10:16,Ro 12:16,1 Co 4:16,1 Co 7:23,1 Co 10:7,1 Co 10:32,1 Co 11:1,1 Co 14:20,1 Co 14:20,1 Co 15:58,2 Co 6:14,Eph 4:32,Eph 5:7,Eph 5:17,Php 3:17,Col 3:15,Jas 3:1
ἐγίνετο	γίνομαι	impft	either middle or passive	indicative	3p	sg	Ac 2:43,Ac 2:43,Ac 5:12
γεγονότες	γίνομαι	perfect	actv	participle	—	pl	Heb 7:20,Heb 7:23
γενομένης	γίνομαι	aor	mid	participle	—	sg	Mt 8:16,Mt 13:21,Mt 14:15,Mt 14:23,Mt 16:2,Mt 20:8,Mt 26:20,Mt 27:1,Mt 27:57,Mk 1:32,Mk 4:17,Mk 4:35,Mk 6:21,Mk 6:35,Mk 6:47,Mk 14:17,Mk 15:33,Mk 15:42,Lk 6:48,Jn 21:4,Ac 2:6,Ac 11:19,Ac 15:2,Ac 15:7,Ac 16:35,Ac 20:3,Ac 21:40,Ac 25:26,Ac 26:6,2 Co 1:8
γινομένου	γίνομαι	pres	either middle or passive	participle	—	sg	Jn 13:2
γένοιτο	γίνομαι	aor	mid	optative	3p	sg	Lk 20:16,Ac 5:24,Ro 3:4,Ro 3:6,Ro 3:31,Ro 6:2,Ro 6:15,Ro 7:7,Ro 7:13,Ro 9:14,Ro 11:1,Ro 11:11,1 Co 6:15,Ga 2:17,Ga 3:21,Ga 6:14
γενηθῆναι	γίνομαι	aor	pass	infinitive	—	—	Heb 5:5
γενήθητε	γίνομαι	aor	pass	imperative	2p	pl	1 Pe 1:15
γενηθήτω	γίνομαι	aor	pass	imperative	3p	sg	Mt 6:10,Mt 8:13,Mt 9:29,Mt 15:28,Mt 26:42,Ac 1:20,Ro 11:9
ἐγένου	γίνομαι	aor	mid	indicative	2p	sg	Lk 19:17,Ro 11:17
γενομένου	γίνομαι	aor	mid	participle	—	sg	Mt 26:6,Mk 6:2,Ac 1:16,Ac 25:15,Ac 28:9,Ro 1:3,Heb 9:15
γενομένων	γίνομαι	aor	mid	participle	—	pl	Lk 24:5,Heb 9:11
γενησόμενον	γίνομαι	futr	mid	participle	—	sg	1 Co 15:37
γένηταί	γίνομαι	aor	mid	subjunctive	3p	sg	Mt 18:12
γινέσθω	γίνομαι	pres	either middle or passive	imperative	3p	sg	Lk 22:26,Lk 22:42,Ac 21:14,Ro 3:4,1 Co 14:26,1 Co 14:40,1 Co 16:14
γένησθε	γίνομαι	aor	mid	subjunctive	2p	pl	Mt 5:45,Mt 18:3,Jn 12:36,Jn 15:8,Php 2:15,Heb 6:12,1 Pe 3:13,2 Pe 1:4
ἐγενήθην	γίνομαι	aor	pass	indicative	1p	sg	Eph 3:7
ἐγενήθητε	γίνομαι	aor	pass	indicative	2p	pl	Eph 2:13,1 Th 1:6,1 Th 2:8,1 Th 2:14,1 Pe 3:6
γινόμενοι	γίνομαι	pres	either middle or passive	participle	—	pl	Ac 19:26,1 Pe 5:3
γεγόνασιν	γίνομαι	perfect	actv	indicative	3p	pl	Heb 12:8,1 Jn 2:18
Ἐγένοντο	γίνομαι	aor	mid	indicative	3p	pl	2 Pe 2:1
γινόμενα	γίνομαι	pres	either middle or passive	participle	—	pl	Mk 13:29,Lk 9:7,Lk 21:31,Eph 5:12
γενόμενον	γίνομαι	aor	mid	participle	—	sg	Lk 18:24,Lk 23:47,Ac 10:37,Ga 4:4,Ga 4:4
γενομένην	γίνομαι	aor	mid	participle	—	sg	Ro 7:3,Lk 23:19,Ac 13:32,Ac 26:4
γενηθέντες	γίνομαι	aor	pass	participle	—	pl	Heb 10:33,2 Pe 1:16
γενόμεναι	γίνομαι	aor	mid	participle	—	pl	Mt 11:21,Mt 11:23,Lk 10:13,Lk 24:22
ἐγενήθησαν	γίνομαι	aor	pass	indicative	3p	pl	Mt 11:23,Mt 28:4,Lk 10:13,1 Co 10:6,Heb 11:34
γενώμεθα	γίνομαι	aor	mid	subjunctive	1p	pl	2 Co 5:21
ἐγενόμην	γίνομαι	aor	mid	indicative	1p	sg	Ac 20:18,Ac 26:19,Ro 10:20,1 Co 2:3,1 Co 9:20,1 Co 9:22,Col 1:23,Col 1:25,Re 1:9,Re 1:10,Re 1:18,Re 4:2
γενόμενοι	γίνομαι	aor	mid	participle	—	pl	Lk 1:2,Lk 24:37,Ac 13:5,Ac 19:28,Ac 27:7,Ac 27:36
γενηθῶμεν	γίνομαι	aor	pass	subjunctive	1p	pl	Tt 3:7
ἐγένοντο	γίνομαι	aor	mid	indicative	3p	pl	Mt 11:20,Mt 11:21,Mk 9:6,Lk 13:2,Lk 13:4,Lk 23:12,Ac 5:36,Re 8:5,Re 11:13,Re 11:15,Re 11:19,Re 16:18
Γέγονα	γίνομαι	perfect	actv	indicative	1p	sg	2 Co 12:11
γένωμαι	γίνομαι	aor	mid	subjunctive	1p	sg	1 Co 9:23,1 Co 9:27
