Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
δέχεται	δέχομαι	pres	either middle or passive	indicative	3p	sg	Mt 10:40,Mt 10:40,Mt 18:5,Mk 9:37,Mk 9:37,Lk 9:48,Lk 9:48,1 Co 2:14
δέξηται	δέχομαι	aor	mid	subjunctive	3p	sg	Mt 10:14,Mt 18:5,Mk 6:11,Mk 9:37,Mk 10:15,Lk 9:48,Lk 9:48,Lk 18:17
δεξάμενος	δέχομαι	aor	mid	participle	—	sg	Lk 22:17,Ac 22:5,Php 4:18
ἐδεξάμεθα	δέχομαι	aor	mid	indicative	1p	pl	Ac 28:21
ἐδέξασθέ	δέχομαι	aor	mid	indicative	2p	pl	Ga 4:14
δέξωνται	δέχομαι	aor	mid	subjunctive	3p	pl	Lk 16:9
δεχόμενος	δέχομαι	pres	either middle or passive	participle	—	sg	Mt 10:40,Mt 10:40,Mt 10:41,Mt 10:41
δεξαμένη	δέχομαι	aor	mid	participle	—	sg	Heb 11:31
δέδεκται	δέχομαι	perfect	either middle or passive	indicative	3p	sg	Ac 8:14
δέξαι	δέχομαι	aor	mid	imperative	2p	sg	Lk 16:6,Lk 16:7,Ac 7:59
δέξασθαι	δέχομαι	aor	mid	infinitive	—	—	Mt 11:14,Ac 3:21,2 Co 6:1
ἐδέξαντο	δέχομαι	aor	mid	indicative	3p	pl	Lk 9:53,Jn 4:45,Ac 11:1,Ac 17:11,2 Th 2:10
δεξάμενοι	δέχομαι	aor	mid	participle	—	pl	1 Th 1:6
δέξωνταί	δέχομαι	aor	mid	subjunctive	3p	pl	Lk 16:4
ἐδέξασθε	δέχομαι	aor	mid	indicative	2p	pl	2 Co 7:15,2 Co 11:4,1 Th 2:13
δέχωνται	δέχομαι	pres	either middle or passive	subjunctive	3p	pl	Lk 9:5,Lk 10:8,Lk 10:10
δέξασθέ	δέχομαι	aor	mid	imperative	2p	pl	2 Co 11:16
δέχονται	δέχομαι	pres	either middle or passive	indicative	3p	pl	Lk 8:13
ἐδέξατο	δέχομαι	aor	mid	indicative	3p	sg	Lk 2:28,Ac 7:38,2 Co 8:17
δέξασθε	δέχομαι	aor	mid	imperative	2p	pl	Eph 6:17,Col 4:10,Jas 1:21
δέχηται	δέχομαι	pres	either middle or passive	subjunctive	3p	sg	Mk 9:37
