Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
πορεύεται	πορεύομαι	pres	either middle or passive	indicative	3p	sg	Mt 8:9,Mt 12:45,Lk 7:8,Lk 11:26,Lk 15:4,Lk 22:22,Jn 10:4
πορευθέντι	πορεύομαι	aor	pass	participle	—	sg	Ac 27:3
πορεύσῃ	πορεύομαι	futr	mid	indicative	2p	sg	Ac 25:12
πεπορευμένους	πορεύομαι	perfect	either middle or passive	participle	—	pl	1 Pe 4:3
ἐπορεύοντο	πορεύομαι	impft	either middle or passive	indicative	3p	pl	Lk 2:3,Lk 2:41,Lk 24:28,Ac 5:41,Ac 8:36
πορεύσονται	πορεύομαι	futr	mid	indicative	3p	pl	1 Co 16:4
πορεύωμαι	πορεύομαι	pres	either middle or passive	subjunctive	1p	sg	Ro 15:24,1 Co 16:6
ἐπορευόμεθα	πορεύομαι	impft	either middle or passive	indicative	1p	pl	Ac 21:5
πορεύσεται	πορεύομαι	futr	mid	indicative	3p	sg	Lk 11:5
ἐπορεύετο	πορεύομαι	impft	either middle or passive	indicative	3p	sg	Mt 24:1,Lk 4:30,Lk 7:6,Lk 19:28,Jn 4:50,Ac 8:39
πορεύομαι	πορεύομαι	pres	either middle or passive	indicative	1p	sg	Lk 14:19,Jn 11:11,Jn 14:2,Jn 14:12,Jn 14:28,Jn 16:28,Ac 20:22,Ro 15:25
πορευθῆτε	πορεύομαι	aor	pass	subjunctive	2p	pl	Lk 21:8
πορευόμενοι	πορεύομαι	pres	either middle or passive	participle	—	pl	Mt 10:7,Lk 1:6,Lk 8:14,Lk 24:13,2 Pe 3:3,Jud 16,Jud 18
ἐπορευόμην	πορεύομαι	impft	either middle or passive	indicative	1p	sg	Ac 22:5
Πορευομένων	πορεύομαι	pres	either middle or passive	participle	—	pl	Mt 28:11
πορευομένων	πορεύομαι	pres	either middle or passive	participle	—	pl	Mt 11:7,Lk 9:57,Ac 16:16
πορευομένη	πορεύομαι	pres	either middle or passive	participle	—	sg	Ac 9:31
πορευθεὶς	πορεύομαι	aor	pass	participle	—	sg	Mt 17:27,Mt 18:12,Mt 25:16,Mt 26:14,Lk 14:10,Lk 15:15,1 Pe 3:19,1 Pe 3:22
πορευομένῳ	πορεύομαι	pres	either middle or passive	participle	—	sg	Ac 22:6
πορεύθητι	πορεύομαι	aor	pass	imperative	2p	sg	Mt 8:9,Lk 7:8,Ac 9:11,Ac 28:26
πορευομένου	πορεύομαι	pres	either middle or passive	participle	—	sg	Lk 19:36,Ac 1:10
πορεύσομαι	πορεύομαι	futr	mid	indicative	1p	sg	Lk 15:18,Ac 18:6
πορεύου	πορεύομαι	pres	either middle or passive	imperative	2p	sg	Mt 2:20,Lk 5:24,Lk 7:50,Lk 8:48,Lk 10:37,Lk 13:31,Lk 17:19,Jn 4:50,Jn 8:11,Jn 20:17,Ac 8:26,Ac 9:15,Ac 10:20,Ac 22:10,Ac 22:21,Ac 24:25
πορευθεῖσα	πορεύομαι	aor	pass	participle	—	sg	Mk 16:10
πορεύεσθε	πορεύομαι	pres	either middle or passive	imperative	2p	pl	Mt 10:6,Mt 21:2,Mt 22:9,Mt 25:9,Mt 25:41,Ac 5:20,Ac 16:36
πορευομένοις	πορεύομαι	pres	either middle or passive	participle	—	pl	Mk 16:12
ἐπορεύθη	πορεύομαι	aor	pass	indicative	3p	sg	Mt 12:1,Mt 19:15,Lk 1:39,Lk 4:42,Lk 7:11,Lk 19:12,Lk 22:39,Jn 8:1,Ac 8:27,Ac 12:17,2 Ti 4:10
πορευόμενον	πορεύομαι	pres	either middle or passive	participle	—	sg	Lk 9:53,Ac 1:11
πορευθῇ	πορεύομαι	aor	pass	subjunctive	3p	sg	Lk 16:30
πορευσόμεθα	πορεύομαι	futr	mid	indicative	1p	pl	Jas 4:13
πορευθῆναι	πορεύομαι	aor	pass	infinitive	—	—	Ac 1:25,Ac 16:7
πορευθῶ	πορεύομαι	aor	pass	subjunctive	1p	sg	Jn 14:3,Jn 16:7
πορευθῶσιν	πορεύομαι	aor	pass	subjunctive	3p	pl	Ac 23:23
πορεύεσθαι	πορεύομαι	pres	either middle or passive	infinitive	—	—	Lk 4:42,Lk 9:51,Lk 10:38,Lk 13:33,Lk 17:11,Lk 22:33,Lk 24:28,Jn 7:35,Jn 7:35,Ac 9:3,Ac 14:16,Ac 17:14,Ac 19:21,Ac 20:1,Ac 25:20,1 Co 10:27,1 Co 16:4
ἐπορεύθησαν	πορεύομαι	aor	pass	indicative	3p	pl	Mt 2:9,Mt 28:16,Lk 9:56,Jn 7:53,Jud 11
πορευομένους	πορεύομαι	pres	either middle or passive	participle	—	pl	Ac 26:13,2 Pe 2:10
πορευόμενος	πορεύομαι	pres	either middle or passive	participle	—	sg	Lk 14:31,Ac 26:12,1 Ti 1:3
πορευθεῖσαι	πορεύομαι	aor	pass	participle	—	pl	Mt 28:7
πορευθέντες	πορεύομαι	aor	pass	participle	—	pl	Mt 2:8,Mt 9:13,Mt 11:4,Mt 21:6,Mt 22:15,Mt 27:66,Mt 28:19,Mk 16:15,Lk 7:22,Lk 9:12,Lk 9:13,Lk 9:52,Lk 13:32,Lk 17:14,Lk 22:8
