Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἠκούσθη	ἀκούω	aor	pass	indicative	3p	sg	Mt 2:18,Mk 2:1,Jn 9:32
ἀκούομεν	ἀκούω	pres	actv	indicative	1p	pl	Ac 2:8,Ac 2:11
ἤκουσάς	ἀκούω	aor	actv	indicative	2p	sg	Jn 11:41
ἀκούσεσθε	ἀκούω	futr	mid	indicative	2p	pl	Ac 3:22
ἀκούσουσιν	ἀκούω	futr	actv	indicative	3p	pl	Jn 5:25,Jn 5:28,Jn 10:16
ἤκουσα	ἀκούω	aor	actv	indicative	1p	sg	Jn 8:26,Jn 8:40,Jn 15:15,Ac 7:34,Ac 9:13,Ac 11:7,Ac 22:7,Ac 26:14,Re 1:10,Re 4:1,Re 5:11,Re 5:13,Re 6:1,Re 6:3,Re 6:5,Re 6:6,Re 6:7,Re 7:4,Re 8:13,Re 9:13,Re 9:16,Re 10:4,Re 10:8,Re 12:10,Re 14:2,Re 14:2,Re 14:13,Re 16:1,Re 16:5,Re 16:7,Re 18:4,Re 19:1,Re 19:6,Re 21:3,Re 22:8
Ἠκούσθη	ἀκούω	aor	pass	indicative	3p	sg	Ac 11:22
Ἠκούσατε	ἀκούω	aor	actv	indicative	2p	pl	Mt 5:21,Mt 5:27,Mt 5:38,Mt 5:43,Ga 1:13
Ἀκούοντα	ἀκούω	pres	actv	participle	—	pl	Ac 13:48
Ἀκούσας	ἀκούω	aor	actv	participle	—	sg	Mt 2:22,Mt 4:12,Mt 14:13,Lk 14:15,Ac 23:16
ἀκούετε	ἀκούω	pres	actv	imperative	2p	pl	Mt 15:10,Mt 17:5,Mk 9:7,Lk 9:35
Ἀκούοντος	ἀκούω	pres	actv	participle	—	sg	Lk 20:45
ἀκούσατε	ἀκούω	aor	actv	imperative	2p	pl	Mt 13:18,Mt 21:33,Lk 18:6,Ac 2:22,Ac 7:2,Ac 13:16,Jas 2:5
ἀκοῦσαί	ἀκούω	aor	actv	infinitive	—	—	Ac 24:4,Ac 26:3
ἀκούοντάς	ἀκούω	pres	actv	participle	—	pl	Ac 26:29,1 Ti 4:16
