Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἔρχονται	ἔρχομαι	pres	either middle or passive	indicative	3p	pl	Mt 7:15,Mt 25:11,Mk 2:3,Mk 2:18,Mk 5:15,Mk 5:35,Mk 5:38,Mk 8:22,Mk 10:46,Mk 11:15,Mk 11:27,Mk 11:27,Mk 12:18,Mk 14:32,Mk 16:2,Lk 23:29,Jn 3:26,1 Co 15:35,Heb 8:8
ἐλθέτω	ἔρχομαι	aor	actv	imperative	3p	sg	Mt 6:10,Lk 11:2
ἐλήλυθας	ἔρχομαι	perfect	actv	indicative	2p	sg	Jn 3:2,Ac 21:22
ἐρχομένης	ἔρχομαι	pres	either middle or passive	participle	—	sg	1 Th 1:10
ἐρχομένου	ἔρχομαι	pres	either middle or passive	participle	—	sg	Ac 5:15,1 Co 4:18
ἐλθοῦσα	ἔρχομαι	aor	actv	participle	—	sg	Mt 15:25,Mk 5:26,Mk 5:27,Mk 7:25,Mk 12:42
ἐρχομένη	ἔρχομαι	pres	either middle or passive	participle	—	sg	Mk 11:10,Lk 18:5
ἐλευσόμεθα	ἔρχομαι	futr	mid	indicative	1p	pl	Jn 14:23
ἔρχομαί	ἔρχομαι	pres	either middle or passive	indicative	1p	sg	Re 2:5,Re 2:16
ἤρχετο	ἔρχομαι	impft	either middle or passive	indicative	3p	sg	Mk 2:13,Lk 18:3,Jn 8:2,Jn 11:29
ἔρχομαι	ἔρχομαι	pres	either middle or passive	indicative	1p	sg	Lk 13:7,Lk 19:13,Jn 5:7,Jn 8:14,Jn 14:3,Jn 14:18,Jn 14:28,Jn 17:11,Jn 17:13,Jn 21:22,Jn 21:23,2 Co 13:1,1 Ti 4:13,Re 3:11,Re 16:15,Re 22:7,Re 22:12,Re 22:20
ἐλήλυθεν	ἔρχομαι	perfect	actv	indicative	3p	sg	Mk 9:13,Lk 7:33,Lk 7:34,Jn 3:19,Jn 12:23,Jn 16:32,Jn 17:1,Php 1:12
ἐρχόμενον	ἔρχομαι	pres	either middle or passive	participle	—	sg	Mt 3:16,Mt 16:28,Mt 24:30,Mt 26:64,Mk 13:26,Mk 14:62,Mk 15:21,Lk 21:27,Lk 23:26,Jn 1:9,Jn 1:29,Jn 1:47,Jn 6:37,Jn 10:12,Ac 19:4,Heb 6:7,2 Jn 7
Ἔρχεται	ἔρχομαι	pres	either middle or passive	indicative	3p	sg	Jn 4:5,Jn 4:7,Jn 13:6,Jn 20:18
ἐλθάτω	ἔρχομαι	aor	actv	imperative	3p	sg	Mt 10:13
ἦλθες	ἔρχομαι	aor	actv	indicative	2p	sg	Mt 8:29,Mk 1:24,Lk 4:34
Ἦλθον	ἔρχομαι	aor	actv	indicative	3p	pl	Jn 7:45
ἐληλύθεισαν	ἔρχομαι	pluperfect	actv	indicative	3p	pl	Jn 11:19
ἤλθαμεν	ἔρχομαι	aor	actv	indicative	1p	pl	Ac 28:14
ἔρχῃ	ἔρχομαι	pres	either middle or passive	indicative	2p	sg	Mt 3:14
ἔρχεται	ἔρχομαι	pres	either middle or passive	indicative	3p	sg	Lk 14:27,Mt 8:9,Mt 13:19,Mt 17:11,Mt 18:7,Mt 24:42,Mt 24:43,Mt 24:44,Mt 25:19,Mt 26:36,Mt 26:40,Mt 26:45,Mt 27:49,Mk 1:7,Mk 1:40,Mk 3:20,Mk 3:31,Mk 4:15,Mk 4:21,Mk 5:22,Mk 6:1,Mk 6:48,Mk 10:1,Mk 13:35,Mk 14:17,Mk 14:37,Mk 14:41,Mk 14:66,Mk 15:36,Lk 3:16,Lk 7:8,Lk 8:12,Lk 12:39,Lk 12:40,Lk 12:54,Lk 14:26,Lk 17:1,Lk 17:20,Lk 17:20,Jn 1:30,Jn 3:8,Jn 3:20,Jn 3:21,Jn 4:21,Jn 4:23,Jn 4:25,Jn 4:35,Jn 5:24,Jn 5:25,Jn 5:28,Jn 6:5,Jn 6:45,Jn 7:41,Jn 7:42,Jn 9:4,Jn 10:10,Jn 11:20,Jn 11:38,Jn 12:12,Jn 12:15,Jn 12:22,Jn 12:22,Jn 14:6,Jn 14:30,Jn 16:2,Jn 16:25,Jn 16:32,Jn 18:3,Jn 20:1,Jn 20:2,Jn 20:6,Jn 20:26,Jn 21:13,Ac 13:25,Eph 5:6,Col 3:6,1 Th 5:2,Heb 11:8,1 Jn 2:18,1 Jn 4:3,2 Jn 10,Re 1:7,Re 9:12,Re 11:14
ἐρχόμενοι	ἔρχομαι	pres	either middle or passive	participle	—	pl	Mk 6:31,Lk 13:14,Lk 16:21,Re 7:14
ἐλθὸν	ἔρχομαι	aor	actv	participle	—	sg	Mt 12:44,Lk 11:25
ἐλεύσονται	ἔρχομαι	futr	mid	indicative	3p	pl	Mt 9:15,Mt 24:5,Mk 2:20,Mk 13:6,Lk 5:35,Lk 17:22,Lk 21:6,Lk 21:8,Jn 11:48,2 Pe 3:3
ἤλθατε	ἔρχομαι	aor	actv	indicative	2p	pl	Mt 25:36
ἐλθόντων	ἔρχομαι	aor	actv	participle	—	pl	Mt 17:14,Mt 17:24,2 Co 7:5
ἤρχοντο	ἔρχομαι	impft	either middle or passive	indicative	3p	pl	Mk 1:45,Jn 4:30,Jn 6:17,Jn 19:3,Jn 20:3,Ac 19:18
ἐλθόντα	ἔρχομαι	aor	actv	participle	—	pl	Mt 13:4
ἔρχεταί	ἔρχομαι	pres	either middle or passive	indicative	3p	sg	Mt 21:5,Lk 8:49
ἔρχου	ἔρχομαι	pres	either middle or passive	imperative, indicative	2p	sg	Mt 8:9,Lk 7:8,Jn 1:46,Jn 11:34,Re 6:1,Re 6:3,Re 6:5,Re 6:7,Re 22:17,Re 22:17,Re 22:20
ἐληλυθότες	ἔρχομαι	perfect	actv	participle	—	pl	Lk 5:17
ἐλθοῦσαι	ἔρχομαι	aor	actv	participle	—	pl	Mk 16:1
ἐλεύσομαι	ἔρχομαι	futr	mid	indicative	1p	sg	Ro 9:9,Ro 15:29,1 Co 4:19,2 Co 12:1,Php 2:24
ἐληλύθει	ἔρχομαι	pluperfect	actv	indicative	3p	sg	Jn 6:17,Jn 7:30,Jn 8:20,Jn 11:30,Ac 8:27,Ac 9:21
ἐρχομένους	ἔρχομαι	pres	either middle or passive	participle	—	pl	Mt 3:7
ἔλθωσιν	ἔρχομαι	aor	actv	subjunctive	3p	pl	Lk 16:28,Ac 3:20,Ac 17:15,2 Co 9:4
ἐλθέ	ἔρχομαι	aor	actv	imperative	2p	sg	Mt 14:29
ἐλεύσεται	ἔρχομαι	futr	mid	indicative	3p	sg	Mk 12:9,Lk 20:16,Jn 16:7,Ac 1:11,1 Co 16:12
Ἦλθεν	ἔρχομαι	aor	actv	indicative	3p	sg	Lk 22:7,Jn 4:46
ἐλθούσης	ἔρχομαι	aor	actv	participle	—	sg	Ro 7:9,Ga 3:25
ἐρχόμενος	ἔρχομαι	pres	either middle or passive	participle	—	sg	Mt 3:11,Mt 11:3,Mt 21:9,Mt 23:39,Mk 11:9,Lk 6:47,Lk 7:19,Lk 7:20,Lk 13:35,Lk 15:25,Lk 19:38,Jn 1:15,Jn 1:27,Jn 3:31,Jn 3:31,Jn 6:14,Jn 6:35,Jn 11:27,Jn 12:13,Ro 15:29,2 Co 11:4,2 Ti 4:13,Heb 10:37,Re 1:4,Re 1:8,Re 4:8
ἐλθόντι	ἔρχομαι	aor	actv	participle	—	sg	Mt 9:28
ἔλθω	ἔρχομαι	aor	actv	subjunctive	1p	sg	1 Co 4:21,1 Co 11:34,1 Co 14:6,1 Co 16:2,2 Co 13:2,3 Jn 10
ἦλθον	ἔρχομαι	aor	actv	indicative	3p	pl	Mt 7:25,Mt 7:27,Mt 14:34,Mt 21:1,Mk 1:29,Mk 3:8,Mk 5:1,Mk 5:14,Mk 6:29,Mk 6:53,Mk 9:33,Mk 14:16,Lk 1:59,Lk 2:44,Lk 3:12,Lk 4:42,Lk 5:7,Lk 6:18,Lk 8:35,Lk 23:33,Lk 24:1,Lk 24:23,Jn 3:26,Jn 4:40,Jn 4:45,Jn 6:24,Jn 10:8,Jn 10:41,Jn 12:9,Jn 19:32,Jn 21:8,Ac 4:23,Ac 8:36,Ac 11:12,Ac 13:13,Ac 13:51,Ac 14:24,Ac 17:1,Ac 17:13,Ac 28:23,Ga 2:12,Re 7:13
ἐρχομένων	ἔρχομαι	pres	either middle or passive	participle	—	pl	3 Jn 3
ἔλθῃ	ἔρχομαι	aor	actv	subjunctive	3p	sg	Mt 10:23,Mt 21:40,Mt 23:35,Mt 25:31,Mk 4:22,Mk 8:38,Lk 1:43,Lk 8:17,Lk 9:26,Lk 12:38,Lk 14:10,Lk 22:18,Jn 4:25,Jn 5:43,Jn 7:31,Jn 11:56,Jn 15:26,Jn 16:4,Jn 16:13,Ro 3:8,1 Co 4:5,1 Co 11:26,1 Co 13:10,1 Co 16:10,1 Co 16:11,1 Co 16:12,1 Co 16:12,Ga 3:19,Col 4:10,2 Th 1:10,2 Th 2:3,Re 17:10
Ἐλθὼν	ἔρχομαι	aor	actv	participle	—	sg	Mt 16:13,Jn 11:17,2 Co 2:12
ἐλθὲ	ἔρχομαι	aor	actv	imperative	2p	sg	Jn 4:16
ἦλθαν	ἔρχομαι	aor	actv	indicative	3p	pl	Lk 2:16,Jn 1:39,Jn 4:27,Ac 12:10,Ac 28:15
ἤρχου	ἔρχομαι	impft	either middle or passive	indicative	2p	sg	Ac 9:17
