Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
ἐβαπτίσθησαν	βαπτίζω	aor	pass	indicative	3p	—	—	pl	Ac 2:41,Ac 19:5,1 Co 10:2
βαπτίζομαι	βαπτίζω	pres	pass	indicative	1p	—	—	sg	Mk 10:38,Mk 10:39
βαπτίζει	βαπτίζω	pres	actv	indicative	3p	—	—	sg	Jn 3:26,Jn 4:1
ἐβάπτισεν	βαπτίζω	aor	actv	indicative	3p	—	—	sg	Ac 1:5,Ac 8:38,Ac 11:16,Ac 19:4
βαπτίζειν	βαπτίζω	pres	actv	infinitive	—	—	—	—	Jn 1:33,1 Co 1:17
βαπτισθέντος	βαπτίζω	aor	pass	participle	—	mas	gen	sg	Lk 3:21
ἐβάπτιζεν	βαπτίζω	impft	actv	indicative	3p	—	—	sg	Jn 3:22,Jn 4:2
βαπτίσωνται	βαπτίζω	aor	mid	subjunctive	3p	—	—	pl	Mk 7:4
βαπτίζοντες	βαπτίζω	pres	actv	participle	—	mas	nom	pl	Mt 28:19
βάπτισαι	βαπτίζω	aor	mid	imperative	2p	—	—	sg	Ac 22:16
βαπτίζεις	βαπτίζω	pres	actv	indicative	2p	—	—	sg	Jn 1:25
βαπτισθεὶς	βαπτίζω	aor	pass	participle	—	mas	nom	sg	Mt 3:16,Mk 16:16,Ac 8:13
βαπτίζονται	βαπτίζω	pres	pass	indicative	3p	—	—	pl	1 Co 15:29
ἐβάπτισα	βαπτίζω	aor	actv	indicative	1p	—	—	sg	Mk 1:8,1 Co 1:14,1 Co 1:16,1 Co 1:16
βαπτισθῆναι	βαπτίζω	aor	pass	infinitive	—	—	—	—	Mt 3:13,Mt 3:14,Mk 10:38,Lk 3:7,Lk 3:12,Lk 3:21,Lk 12:50,Ac 8:36,Ac 10:47,Ac 10:48
βαπτίζοντος	βαπτίζω	pres	actv	participle	—	mas	gen	sg	Mk 6:24
ἐβαπτίσθη	βαπτίζω	aor	pass	indicative	3p	—	—	sg	Mk 1:9,Lk 11:38,Ac 9:18,Ac 16:15,Ac 16:33
βαπτισθήσεσθε	βαπτίζω	futr	pass	indicative	2p	—	—	pl	Mk 10:39,Ac 1:5,Ac 11:16
βαπτιζόμενοι	βαπτίζω	pres	pass	participle	—	mas	nom	pl	1 Co 15:29
βεβαπτισμένοι	βαπτίζω	perfect	pass	participle	—	mas	nom	pl	Ac 8:16
βαπτισθέντες	βαπτίζω	aor	pass	participle	—	mas	nom	pl	Lk 7:29,Lk 7:30
ἐβαπτίσθητε	βαπτίζω	aor	pass	indicative	2p	—	—	pl	Ac 19:3,1 Co 1:13,1 Co 1:15,Ga 3:27
βαπτίσει	βαπτίζω	futr	actv	indicative	3p	—	—	sg	Mt 3:11,Mk 1:8,Lk 3:16
ἐβαπτίσθημεν	βαπτίζω	aor	pass	indicative	1p	—	—	pl	Ro 6:3,Ro 6:3,1 Co 12:13
βαπτίζω	βαπτίζω	pres	actv	indicative	1p	—	—	sg	Mt 3:11,Lk 3:16,Jn 1:26
βαπτίζων	βαπτίζω	pres	actv	participle	—	mas	nom	sg	Mk 1:4,Mk 6:14,Jn 1:28,Jn 1:31,Jn 1:33,Jn 3:23,Jn 10:40
ἐβαπτίζοντο	βαπτίζω	impft	pass	indicative	3p	—	—	pl	Mt 3:6,Mk 1:5,Jn 3:23,Ac 8:12,Ac 18:8
βαπτισθήτω	βαπτίζω	aor	pass	imperative	3p	—	—	sg	Ac 2:38
