Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
γράψῃς	γράφω	aor	actv	subjunctive	2p	—	—	sg	Re 10:4
ἐγράψατε	γράφω	aor	actv	indicative	2p	—	—	pl	1 Co 7:1
γεγραμμένα	γράφω	perfect	pass	participle	—	neu	acc	pl	Lk 21:22,Lk 24:44,Ac 13:29,Re 1:3
ἔγραψα	γράφω	aor	actv	indicative	1p	—	—	sg	Ro 15:15,1 Co 5:11,1 Co 9:15,2 Co 2:3,2 Co 2:4,2 Co 2:9,2 Co 7:12,Ga 6:11,Phm 19,1 Pe 5:12,1 Jn 2:14,1 Jn 2:14,1 Jn 2:14,1 Jn 2:21,1 Jn 2:26,1 Jn 5:13
γράφε	γράφω	pres	actv	imperative	2p	—	—	sg	Jn 19:21
γεγραμμένον	γράφω	perfect	pass	participle	—	neu	accusative, nominative	sg	Re 2:17
γεγραμμένων	γράφω	perfect	pass	participle	—	neu	gen	pl	Re 20:12,Re 22:19
ἔγραφεν	γράφω	impft	actv	indicative	3p	—	—	sg	Jn 8:8
γεγραμμένα	γράφω	perfect	pass	participle	—	neu	nom	pl	Lk 18:31,Jn 12:16,Jn 20:30
γράψω	γράφω	futr	actv	indicative	1p	—	—	sg	Re 3:12
γράφομεν	γράφω	pres	actv	indicative	1p	—	—	pl	2 Co 1:13,1 Jn 1:4
γράφων	γράφω	pres	actv	participle	—	mas	nom	sg	2 Jn 5
ἐγράφη	γράφω	aor	pass	indicative	3p	—	—	sg	Ro 4:23,Ro 15:4,1 Co 9:10,1 Co 10:11
ἔγραψά	γράφω	aor	actv	indicative	1p	—	—	sg	Phm 21
Γράφω	γράφω	pres	actv	indicative	1p	—	—	sg	1 Jn 2:12
γράφω	γράφω	pres	actv	indicative	1p	—	—	sg	1 Co 4:14,1 Co 14:37,2 Co 13:10,Ga 1:20,2 Th 3:17,1 Ti 3:14,2 Pe 3:1,1 Jn 2:1,1 Jn 2:7,1 Jn 2:8,1 Jn 2:13,1 Jn 2:13
γεγραμμένον	γράφω	perfect	pass	participle	—	neu	acc	sg	Lk 22:37,2 Co 4:13,Re 5:1,Re 14:1,Re 19:12,Re 19:16
Ἔγραψά	γράφω	aor	actv	indicative	1p	—	—	sg	3 Jn 9
γράφεσθαι	γράφω	pres	pass	infinitive	—	—	—	—	1 Th 5:1
ἔγραψεν	γράφω	aor	actv	indicative	3p	—	—	sg	Mk 10:5,Mk 12:19,Lk 1:63,Lk 20:28,Jn 1:45,Jn 5:46,Jn 19:19,2 Pe 3:15
ἔγραψαν	γράφω	aor	actv	indicative	3p	—	—	pl	Ac 18:27
γράφει	γράφω	pres	actv	indicative	3p	—	—	sg	Ro 10:5
γεγραμμένοι	γράφω	perfect	pass	participle	—	mas	nom	pl	Re 21:27
γράφηται	γράφω	pres	pass	subjunctive	3p	—	—	sg	Jn 21:25
γραφόμενα	γράφω	pres	pass	participle	—	neu	acc	pl	Jn 21:25
