Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
θεραπεύοντες	θεραπεύω	pres	actv	participle	—	mas	nom	pl	Lk 9:6
θεραπεύετε	θεραπεύω	pres	actv	imperative	2p	—	—	pl	Mt 10:8,Lk 10:9
θεραπευθῆναι	θεραπεύω	aor	pass	infinitive	—	—	—	—	Lk 8:43
θεραπεύει	θεραπεύω	pres	actv	indicative	3p	—	—	sg	Lk 6:7
θεραπεῦσαι	θεραπεύω	aor	actv	infinitive	—	—	—	—	Mt 12:10,Mt 17:16,Lk 14:3
τεθεραπευμέναι	θεραπεύω	perfect	pass	participle	—	fem	nom	pl	Lk 8:2
τεθεραπευμένον	θεραπεύω	perfect	pass	participle	—	mas	acc	sg	Ac 4:14
ἐθεράπευεν	θεραπεύω	impft	actv	indicative	3p	—	—	sg	Lk 4:40
θεραπεύσω	θεραπεύω	futr	actv	indicative	1p	—	—	sg	Mt 8:7
θεραπεύσει	θεραπεύω	futr	actv	indicative	3p	—	—	sg	Mk 3:2
θεραπεύειν	θεραπεύω	pres	actv	infinitive	—	—	—	—	Mt 10:1,Lk 9:1
θεράπευσον	θεραπεύω	aor	actv	imperative	2p	—	—	sg	Lk 4:23
θεραπεύεται	θεραπεύω	pres	pass	indicative	3p	—	—	sg	Ac 17:25
ἐθεραπεύθη	θεραπεύω	aor	pass	indicative	3p	—	—	sg	Mt 17:18,Re 13:3,Re 13:12
θεραπεύεσθε	θεραπεύω	pres	pass	imperative	2p	—	—	pl	Lk 13:14
ἐθεράπευον	θεραπεύω	impft	actv	indicative	3p	—	—	pl	Mk 6:13
θεραπεύεσθαι	θεραπεύω	pres	pass	infinitive	—	—	—	—	Lk 5:15
θεραπεύων	θεραπεύω	pres	actv	participle	—	mas	nom	sg	Mt 4:23,Mt 9:35
ἐθεραπεύοντο	θεραπεύω	impft	pass	indicative	3p	—	—	pl	Lk 6:18,Ac 5:16,Ac 28:9
ἐθεράπευσεν	θεραπεύω	aor	actv	indicative	3p	—	—	sg	Mt 4:24,Mt 8:16,Mt 12:15,Mt 12:22,Mt 14:14,Mt 15:30,Mt 19:2,Mt 21:14,Mk 1:34,Mk 3:10,Mk 6:5,Lk 7:21,Lk 13:14
τεθεραπευμένῳ	θεραπεύω	perfect	pass	participle	—	mas	dat	sg	Jn 5:10
ἐθεραπεύθησαν	θεραπεύω	aor	pass	indicative	3p	—	—	pl	Ac 8:7
