Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
λογίζεσθε	λογίζομαι	pres	either middle or passive	imperative	2p	—	—	pl	Ro 6:11,Php 4:8
λογισθείη	λογίζομαι	aor	pass	optative	3p	—	—	sg	2 Ti 4:16
λογίζῃ	λογίζομαι	pres	either middle or passive	indicative	2p	—	—	sg	Ro 2:3
λογίζεσθε	λογίζομαι	pres	either middle or passive	indicative	2p	—	—	pl	Jn 11:50
λογιζομένους	λογίζομαι	pres	either middle or passive	participle	—	mas	acc	pl	2 Co 10:2
λογίζεσθαι	λογίζομαι	pres	pass	infinitive	—	—	—	—	Ro 4:24
λογίζομαι	λογίζομαι	pres	either middle or passive	indicative	1p	—	—	sg	2 Co 10:2,Php 3:13,1 Pe 5:12
λογισάμενος	λογίζομαι	aor	mid	participle	—	mas	nom	sg	Heb 11:19
λογιζομένῳ	λογίζομαι	pres	either middle or passive	participle	—	mas	dat	sg	Ro 14:14
λογιζόμεθα	λογίζομαι	pres	either middle or passive	indicative	1p	—	—	pl	Ro 3:28
Λογίζομαι	λογίζομαι	pres	either middle or passive	indicative	1p	—	—	sg	Ro 8:18,2 Co 11:5
λογιζέσθω	λογίζομαι	pres	either middle or passive	imperative	3p	—	—	sg	1 Co 4:1,2 Co 10:7,2 Co 10:11
λογίζεται	λογίζομαι	pres	either middle or passive	indicative	3p	—	—	sg	Ro 4:4,Ro 4:5,Ro 4:6,Ro 9:8,1 Co 13:5
ἐλογίσθημεν	λογίζομαι	aor	pass	indicative	1p	—	—	pl	Ro 8:36
λογισθήσεται	λογίζομαι	futr	pass	indicative	3p	—	—	sg	Ro 2:26
λογισθῆναι	λογίζομαι	aor	pass	infinitive	—	—	—	—	Ac 19:27,Ro 4:11
ἐλογιζόμην	λογίζομαι	impft	either middle or passive	indicative	1p	—	—	sg	1 Co 13:11
λογίσασθαί	λογίζομαι	aor	mid	infinitive	—	—	—	—	2 Co 3:5
ἐλογίσθη	λογίζομαι	aor	pass	indicative	3p	—	—	sg	Lk 22:37,Ro 4:3,Ro 4:9,Ro 4:10,Ro 4:22,Ro 4:23,Ga 3:6,Jas 2:23
λογίσηται	λογίζομαι	aor	mid	subjunctive	3p	—	—	sg	Ro 4:8,2 Co 12:6
λογιζόμενος	λογίζομαι	pres	either middle or passive	participle	—	mas	nom	sg	2 Co 5:19
