Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
μεῖνον	μένω	aor	actv	imperative	2p	—	—	sg	Lk 24:29
ἔμειναν	μένω	aor	actv	indicative	3p	—	—	pl	Jn 1:39,Jn 2:12
μείνῃ	μένω	aor	actv	subjunctive	3p	—	—	sg	Jn 12:46,Jn 15:7,Jn 19:31,1 Co 7:40,Heb 12:27,1 Jn 2:24
μένω	μένω	pres	actv	indicative	1p	—	—	sg	Jn 15:10
μενεῖ	μένω	future, present	actv	indicative	3p	—	—	sg	1 Co 3:14
ἔμενον	μένω	impft	actv	indicative	3p	—	—	pl	Ac 20:5
μένοντα	μένω	pres	actv	participle	—	mas	acc	sg	Jn 5:38
μεμενήκεισαν	μένω	pluperfect	actv	indicative	3p	—	—	pl	1 Jn 2:19
μείνητε	μένω	aor	actv	subjunctive	2p	—	—	pl	Jn 8:31,Jn 15:7
μενεῖτε	μένω	futr	actv	indicative	2p	—	—	pl	Jn 15:10,1 Jn 2:24
μένων	μένω	pres	actv	participle	—	mas	nom	sg	Jn 14:10,Jn 14:25,Jn 15:5,1 Jn 3:6,1 Jn 4:16,2 Jn 9,2 Jn 9
μένουσιν	μένω	pres	actv	indicative	3p	—	—	pl	Ac 20:23,1 Co 15:6
μενέτω	μένω	pres	actv	imperative	3p	—	—	sg	1 Co 7:11,1 Co 7:20,1 Co 7:24,Heb 13:1,1 Jn 2:24
μένετε	μένω	pres	actv	imperative	2p	—	—	pl	Mk 6:10,Lk 9:4,Lk 10:7,Ac 16:15,1 Jn 2:28
μένοντος	μένω	pres	actv	participle	—	mas	gen	sg	1 Pe 1:23
μένον	μένω	pres	actv	participle	—	neu	nom	sg	Ac 5:4,2 Co 3:11
μένητε	μένω	pres	actv	subjunctive	2p	—	—	pl	Jn 15:4
ἔμενεν	μένω	impft	actv	indicative	3p	—	—	sg	Lk 8:27,Ac 5:4,Ac 18:3
μένεις	μένω	pres	actv	indicative	2p	—	—	sg	Jn 1:38
μενῶ	μένω	futr	actv	indicative	1p	—	—	sg	Php 1:25
μεῖναι	μένω	aor	actv	infinitive	—	—	—	—	Lk 19:5,Lk 24:29,Jn 4:40,Ac 9:43,Ac 18:20,Re 17:10
μένῃ	μένω	pres	actv	subjunctive	3p	—	—	sg	Jn 15:4,Jn 15:6,Jn 15:16,Ro 9:11
μένε	μένω	pres	actv	imperative	2p	—	—	sg	2 Ti 3:14
μένομεν	μένω	pres	actv	indicative	1p	—	—	pl	1 Jn 4:13
ἔμεινεν	μένω	aor	actv	indicative	3p	—	—	sg	Mt 11:23,Jn 1:32,Jn 4:40,Jn 7:9,Jn 10:40,Jn 11:6,Jn 11:54,Ac 27:41,2 Ti 4:20
μένουσαν	μένω	pres	actv	participle	—	fem	acc	sg	Jn 6:27,Heb 10:34,Heb 13:14,1 Jn 3:15,2 Jn 2
μένετε	μένω	pres	actv	indicative, imperative	2p	—	—	pl	1 Jn 2:27
μένει	μένω	pres	actv	indicative	3p	—	—	sg	Jn 1:39,Jn 3:36,Jn 6:56,Jn 8:35,Jn 8:35,Jn 9:41,Jn 12:24,Jn 12:34,Jn 14:17,1 Co 13:13,2 Co 3:14,2 Co 9:9,2 Ti 2:13,Heb 7:3,1 Pe 1:25,1 Jn 2:10,1 Jn 2:14,1 Jn 2:17,1 Jn 2:27,1 Jn 3:9,1 Jn 3:14,1 Jn 3:17,1 Jn 3:24,1 Jn 3:24,1 Jn 4:12,1 Jn 4:15,1 Jn 4:16,1 Jn 4:16
μένειν	μένω	pres	actv	infinitive	—	—	—	—	Jn 21:22,Jn 21:23,Ac 28:16,Heb 7:24,1 Jn 2:6
μείνατε	μένω	aor	actv	imperative	2p	—	—	pl	Mt 10:11,Mt 26:38,Mk 14:34,Jn 15:4,Jn 15:9
μένον	μένω	pres	actv	participle	—	neu	acc	sg	Jn 1:33
μείνωσιν	μένω	aor	actv	subjunctive	3p	—	—	pl	Ac 27:31,1 Co 7:8,1 Ti 2:15
ἐμείναμεν	μένω	aor	actv	indicative	1p	—	—	pl	Ac 21:7,Ac 21:8
Ἔμεινεν	μένω	aor	actv	indicative	3p	—	—	sg	Lk 1:56
