Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
πεπιστευκόσιν	πιστεύω	perfect	actv	participle	—	mas	dat	pl	Ac 18:27
ἐπιστεύθη	πιστεύω	aor	pass	indicative	3p	—	—	sg	2 Th 1:10,1 Ti 3:16
πιστεύητε	πιστεύω	pres	actv	subjunctive	2p	—	—	pl	Jn 6:29,Jn 10:38
ἐπίστευσας	πιστεύω	aor	actv	indicative	2p	—	—	sg	Mt 8:13,Lk 1:20
ἐπίστευεν	πιστεύω	impft	actv	indicative	3p	—	—	sg	Jn 2:24
πιστεύσῃς	πιστεύω	aor	actv	subjunctive	2p	—	—	sg	Jn 11:40,Ro 10:9
πιστεύσομεν	πιστεύω	futr	actv	indicative	1p	—	—	pl	Mt 27:42
πίστευέ	πιστεύω	pres	actv	imperative	2p	—	—	sg	Jn 4:21
πιστεύεται	πιστεύω	pres	pass	indicative	3p	—	—	sg	Ro 10:10
πεπιστευκότες	πιστεύω	perfect	actv	participle	—	mas	nom	pl	Ac 15:5,Tt 3:8
πιστεύετέ	πιστεύω	pres	actv	indicative	2p	—	—	pl	Jn 8:45,Jn 8:46
πεπιστεύκαμεν	πιστεύω	perfect	actv	indicative	1p	—	—	pl	Jn 6:69,1 Jn 4:16
πεπιστευκὼς	πιστεύω	perfect	actv	participle	—	mas	nom	sg	Ac 16:34
πιστεύσετε	πιστεύω	futr	actv	indicative	2p	—	—	pl	Jn 3:12,Jn 5:47
ἐπιστεύετε	πιστεύω	impft	actv	indicative	2p	—	—	pl	Jn 5:46,Jn 5:46
ἐπιστεύθησαν	πιστεύω	aor	pass	indicative	3p	—	—	pl	Ro 3:2
πιστεύομεν	πιστεύω	pres	actv	indicative	1p	—	—	pl	Jn 4:42,Jn 16:30,Ac 15:11,Ro 6:8,2 Co 4:13,1 Th 4:14
ἐπίστευσεν	πιστεύω	aor	actv	indicative	3p	—	—	sg	Jn 4:53,Jn 7:48,Jn 12:38,Jn 20:8,Ac 8:13,Ac 13:12,Ac 18:8,Ro 4:3,Ro 4:17,Ro 4:18,Ro 10:16,Ga 3:6,Jas 2:23
πιστεύει	πιστεύω	pres	actv	indicative	3p	—	—	sg	Jn 12:44,Ro 14:2,1 Co 13:7
πιστεύσωμέν	πιστεύω	aor	actv	subjunctive	1p	—	—	pl	Jn 6:30
πιστεύῃ	πιστεύω	pres	actv	subjunctive	3p	—	—	sg	Mk 11:23,Jn 17:21
πεπιστευκότας	πιστεύω	perfect	actv	participle	—	mas	acc	pl	Jn 8:31
πεπιστευκότων	πιστεύω	perfect	actv	participle	—	mas	gen	pl	Ac 19:18,Ac 21:20
πίστευε	πιστεύω	pres	actv	imperative	2p	—	—	sg	Mk 5:36
ἐπιστεύσαμεν	πιστεύω	aor	actv	indicative	1p	—	—	pl	Ro 13:11,Ga 2:16
πεπίστευκας	πιστεύω	perfect	actv	indicative	2p	—	—	sg	Jn 20:29
πιστεύεις	πιστεύω	pres	actv	indicative	2p	—	—	sg	Jn 1:50,Jn 9:35,Jn 11:26,Jn 14:10,Ac 26:27,Ac 26:27,Jas 2:19
πεπίστευκεν	πιστεύω	perfect	actv	indicative	3p	—	—	sg	Jn 3:18,1 Jn 5:10
πιστεύετε	πιστεύω	pres	actv	indicative, imperative	2p	—	—	pl	Mt 9:28,Jn 14:1,Jn 14:1
πιστεύσωσιν	πιστεύω	aor	actv	subjunctive	3p	—	—	pl	Jn 1:7,Jn 11:42,Ac 19:4,Ro 10:14
πεπιστεύκατε	πιστεύω	perfect	actv	indicative	2p	—	—	pl	Jn 16:27
ἐπίστευον	πιστεύω	impft	actv	indicative	3p	—	—	pl	Jn 7:5,Jn 12:11,Jn 12:37,Ac 18:8
πεπιστεύκεισαν	πιστεύω	pluperfect	actv	indicative	3p	—	—	pl	Ac 14:23
πιστεύοντα	πιστεύω	pres	actv	participle	—	mas	acc	sg	Ac 10:43
πεπίστευμαι	πιστεύω	perfect	pass	indicative	1p	—	—	sg	1 Co 9:17,Ga 2:7
πιστεύσασιν	πιστεύω	aor	actv	participle	—	mas	dat	pl	Mk 16:17,Ac 11:17,2 Th 1:10
πιστεύσουσιν	πιστεύω	futr	actv	indicative	3p	—	—	pl	Jn 11:48
Ἐπίστευσεν	πιστεύω	aor	actv	indicative	3p	—	—	sg	Jn 4:50
ἐπιστεύθην	πιστεύω	aor	pass	indicative	1p	—	—	sg	1 Ti 1:11,Tt 1:3
