Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
σωθῶ	σῴζω	aor	pass	subjunctive	1p	—	—	sg	Ac 16:30
σώσων	σῴζω	futr	actv	participle	—	mas	nom	sg	Mt 27:49
σώσει	σῴζω	futr	actv	indicative	3p	—	—	sg	Mt 1:21,Mk 8:35,Lk 9:24,2 Ti 4:18,Jas 5:15,Jas 5:20
σῴζει	σῴζω	pres	actv	indicative	3p	—	—	sg	1 Pe 3:21
σῳζομένοις	σῴζω	pres	pass	participle	—	mas	dat	pl	1 Co 1:18,2 Co 2:15
σέσωται	σῴζω	perfect	pass	indicative	3p	—	—	sg	Ac 4:9
σώσεις	σῴζω	futr	actv	indicative	2p	—	—	sg	1 Co 7:16,1 Co 7:16,1 Ti 4:16
σωθῶσιν	σῴζω	aor	pass	subjunctive	3p	—	—	pl	Lk 8:12,1 Co 10:33,1 Th 2:16
σεσῳσμένοι	σῴζω	perfect	pass	participle	—	mas	nom	pl	Eph 2:5,Eph 2:8
ἐσώθημεν	σῴζω	aor	pass	indicative	1p	—	—	pl	Ro 8:24
σώθητε	σῴζω	aor	pass	imperative	2p	—	—	pl	Ac 2:40
σωθήσῃ	σῴζω	futr	pass	indicative	2p	—	—	sg	Ac 11:14,Ac 16:31,Ro 10:9
σώσαντος	σῴζω	aor	actv	participle	—	mas	gen	sg	2 Ti 1:9
σώσας	σῴζω	aor	actv	participle	—	mas	nom	sg	Jud 5
σῴζετε	σῴζω	pres	actv	imperative	2p	—	—	pl	Jud 23
σῴζεται	σῴζω	pres	pass	indicative	3p	—	—	sg	1 Pe 4:18
σωθησόμεθα	σῴζω	futr	pass	indicative	1p	—	—	pl	Ro 5:9,Ro 5:10
σωσάτω	σῴζω	aor	actv	imperative	3p	—	—	sg	Lk 23:35
σωθῆναι	σῴζω	aor	pass	infinitive	—	—	—	—	Mt 19:25,Mk 10:26,Lk 18:26,Ac 4:12,Ac 14:9,Ac 15:1,Ac 15:11,Ac 27:31,2 Th 2:10,1 Ti 2:4
σῶσόν	σῴζω	aor	actv	imperative	2p	—	—	sg	Mt 14:30,Jn 12:27
ἐσῴζοντο	σῴζω	impft	pass	indicative	3p	—	—	pl	Mk 6:56
σωθῆτε	σῴζω	aor	pass	subjunctive	2p	—	—	pl	Jn 5:34
σῴζεσθε	σῴζω	pres	pass	indicative	2p	—	—	pl	1 Co 15:2
σῶσαι	σῴζω	aor	actv	infinitive	—	—	—	—	Mt 16:25,Mt 27:42,Mk 3:4,Mk 8:35,Mk 15:31,Lk 6:9,Lk 9:24,Lk 19:10,1 Co 1:21,1 Ti 1:15,Jas 1:21,Jas 2:14,Jas 4:12
σώσω	σῴζω	aor	actv	subjunctive	1p	—	—	sg	Jn 12:47,Ro 11:14,1 Co 9:22
σωθῇ	σῴζω	aor	pass	subjunctive	3p	—	—	sg	Mk 5:23,Jn 3:17,1 Co 5:5
ἔσωσεν	σῴζω	aor	actv	indicative	3p	—	—	sg	Mt 27:42,Mk 15:31,Lk 23:35,Tt 3:5
σέσωκέν	σῴζω	perfect	actv	indicative	3p	—	—	sg	Mt 9:22,Mk 5:34,Mk 10:52,Lk 7:50,Lk 8:48,Lk 17:19,Lk 18:42
ἐσώθη	σῴζω	aor	pass	indicative	3p	—	—	sg	Mt 9:22,Mt 24:22,Mk 13:20,Lk 8:36
σῳζομένους	σῴζω	pres	pass	participle	—	mas	acc	pl	Ac 2:47
σῶσον	σῴζω	aor	actv	imperative	2p	—	—	sg	Mt 8:25,Mt 27:40,Mk 15:30,Lk 23:37,Lk 23:39
σῳζόμενοι	σῴζω	pres	pass	participle	—	mas	nom	pl	Lk 13:23
σωθήσεται	σῴζω	futr	pass	indicative	3p	—	—	sg	Mt 10:22,Mt 24:13,Mk 13:13,Mk 16:16,Lk 8:50,Jn 10:9,Jn 11:12,Ac 2:21,Ro 9:27,Ro 10:13,Ro 11:26,1 Co 3:15,1 Ti 2:15
σῴζειν	σῴζω	pres	actv	infinitive	—	—	—	—	Heb 5:7,Heb 7:25
σῴζεσθαι	σῴζω	pres	pass	infinitive	—	—	—	—	Ac 27:20
σωθήσομαι	σῴζω	futr	pass	indicative	1p	—	—	sg	Mt 9:21,Mk 5:28
