Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐγεννήθη	γεννάω	aor	pass	indicative	3p	—	—	sg	verb	Mt 1:16,Mt 26:24,Mk 14:21,Jn 9:19,Jn 9:20,Jn 16:21,Ac 7:20
γεννηθῆναι	γεννάω	aor	pass	infinitive	—	—	—	—	verb	Jn 3:4,Jn 3:4,Jn 3:7
γεννήσῃ	γεννάω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 16:21
γεννώμενον	γεννάω	pres	pass	participle	—	neu	nom	sg	verb	Lk 1:35
ἐγέννησεν	γεννάω	aor	actv	indicative	3p	—	—	sg	verb	Mt 1:2,Mt 1:2,Mt 1:2,Mt 1:3,Mt 1:3,Mt 1:3,Mt 1:4,Mt 1:4,Mt 1:4,Mt 1:5,Mt 1:5,Mt 1:5,Mt 1:6,Mt 1:6,Mt 1:7,Mt 1:7,Mt 1:7,Mt 1:8,Mt 1:8,Mt 1:8,Mt 1:9,Mt 1:9,Mt 1:9,Mt 1:10,Mt 1:10,Mt 1:10,Mt 1:11,Mt 1:12,Mt 1:12,Mt 1:13,Mt 1:13,Mt 1:13,Mt 1:14,Mt 1:14,Mt 1:14,Mt 1:15,Mt 1:15,Mt 1:15,Mt 1:16,Lk 1:57,Ac 7:8,Ac 7:29
γεγεννημένον	γεννάω	perfect	pass	participle	—	neu	nom	sg	verb	Jn 3:6,Jn 3:6,1 Jn 5:4
γεννηθέντων	γεννάω	aor	pass	participle	—	mas	gen	pl	verb	Ro 9:11
γεγεννημένος	γεννάω	perfect	pass	participle	—	mas	nom	sg	verb	Jn 3:8,Ac 22:3,1 Jn 3:9,1 Jn 5:18
γεννῶσα	γεννάω	pres	actv	participle	—	fem	nom	sg	verb	Ga 4:24
γεγέννημαι	γεννάω	perfect	pass	indicative	1p	—	—	sg	verb	Jn 18:37,Ac 22:28
ἐγεννήθημεν	γεννάω	aor	pass	indicative	1p	—	—	pl	verb	Ac 2:8
γεννηθῇ	γεννάω	aor	pass	subjunctive	3p	—	—	sg	verb	Jn 3:3,Jn 3:5,Jn 9:2
γεννῶσιν	γεννάω	pres	actv	indicative	3p	—	—	pl	verb	2 Ti 2:23
ἐγεννήθης	γεννάω	aor	pass	indicative	2p	—	—	sg	verb	Jn 9:34
γεγέννηκά	γεννάω	perfect	actv	indicative	1p	—	—	sg	verb	Ac 13:33,Heb 1:5,Heb 5:5
γεγεννήμεθα	γεννάω	perfect	pass	indicative	1p	—	—	pl	verb	Jn 8:41
ἐγεννήθησαν	γεννάω	aor	pass	indicative	3p	—	—	pl	verb	Mt 19:12,Jn 1:13,Heb 11:12
γεννήσει	γεννάω	futr	actv	indicative	3p	—	—	sg	verb	Lk 1:13
γεγεννημένα	γεννάω	perfect	pass	participle	—	neu	nom	pl	verb	2 Pe 2:12
γεγεννημένου	γεννάω	perfect	pass	participle	—	mas	gen	sg	verb	Jn 9:32
γεννηθέντος	γεννάω	aor	pass	participle	—	mas	gen	sg	verb	Mt 2:1
ἐγέννησαν	γεννάω	aor	actv	indicative	3p	—	—	pl	verb	Lk 23:29
γεννήσαντα	γεννάω	aor	actv	participle	—	mas	acc	sg	verb	1 Jn 5:1
γεγεννημένον	γεννάω	perfect	pass	participle	—	mas	acc	sg	verb	1 Jn 5:1
γεννᾶται	γεννάω	pres	pass	indicative	3p	—	—	sg	verb	Mt 2:4
ἐγέννησα	γεννάω	aor	actv	indicative	1p	—	—	sg	verb	1 Co 4:15,Phm 10
γεγέννηται	γεννάω	perfect	pass	indicative	3p	—	—	sg	verb	Ga 4:23,1 Jn 2:29,1 Jn 3:9,1 Jn 4:7,1 Jn 5:1
γεννηθὲν	γεννάω	aor	pass	participle	—	neu	nom	sg	verb	Mt 1:20
γεννηθεὶς	γεννάω	aor	pass	participle	—	mas	nom	sg	verb	Ga 4:29,Heb 11:23,1 Jn 5:18
