Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ζητούντων	ζητέω	pres	actv	participle	—	mas	gen	pl	verb	Ac 27:30
ζητῶν	ζητέω	pres	actv	participle	—	mas	nom	sg	verb	Mt 7:8,Lk 11:10,Lk 13:6,Lk 13:7,Jn 7:18,Jn 8:50,Ac 13:8,1 Co 10:33,1 Pe 5:8
ζητοῦντές	ζητέω	pres	actv	participle	—	mas	nom	pl	verb	Mt 12:47,Ac 10:19
ζητεῖ	ζητέω	pres	actv	indicative	3p	—	—	sg	verb	Mt 18:12,Mk 8:12,Lk 11:29,Lk 15:8,Jn 4:23,Jn 7:4,Jn 7:18,Jn 7:20,1 Co 13:5
ἐζητήσαμεν	ζητέω	aor	actv	indicative	1p	—	—	pl	verb	Ac 16:10
ζητησάτω	ζητέω	aor	actv	imperative	3p	—	—	sg	verb	1 Pe 3:11
ἐζητεῖτο	ζητέω	impft	pass	indicative	3p	—	—	sg	verb	Heb 8:7
ζητεῖτε	ζητέω	pres	actv	indicative	2p	—	—	pl	verb	Mt 28:5,Mk 16:6,Lk 24:5,Jn 1:38,Jn 5:44,Jn 7:19,Jn 16:19,Jn 18:4,Jn 18:7,Jn 18:8,Ac 10:21,2 Co 13:3
ζητεῖται	ζητέω	pres	pass	indicative	3p	—	—	sg	verb	1 Co 4:2
ζητοῦσίν	ζητέω	pres	actv	indicative	3p	—	—	pl	verb	Mk 1:37,Mk 3:32
ζητήσουσιν	ζητέω	futr	actv	indicative	3p	—	—	pl	verb	Lk 13:24,Re 9:6
ἐζήτησαν	ζητέω	aor	actv	indicative	3p	—	—	pl	verb	Lk 20:19
ζητεῖτέ	ζητέω	pres	actv	indicative	2p	—	—	pl	verb	Jn 6:26,Jn 8:37,Jn 8:40
ζήτησον	ζητέω	aor	actv	imperative	2p	—	—	sg	verb	Ac 9:11
ζητῶ	ζητέω	pres	actv	indicative	1p	—	—	sg	verb	Jn 5:30,Jn 8:50,2 Co 12:14,Ga 1:10
ζητεῖς	ζητέω	pres	actv	indicative	2p	—	—	sg	verb	Jn 4:27,Jn 20:15
ἐζήτει	ζητέω	impft	actv	indicative	3p	—	—	sg	verb	Mt 26:16,Mk 14:11,Lk 9:9,Lk 19:3,Lk 22:6,Jn 19:12,Ac 13:11
ζητοῦντες	ζητέω	pres	actv	participle	—	mas	nom	pl	verb	Mt 2:20,Mt 12:46,Mt 21:46,Mk 8:11,Jn 6:24,Ro 10:3,Ga 2:17,1 Th 2:6
ζητήσῃ	ζητέω	aor	actv	subjunctive	3p	—	—	sg	verb	Lk 17:33
ἐζήτουν	ζητέω	impft	actv	indicative	3p	—	—	pl	verb	Mt 26:59,Mk 11:18,Mk 12:12,Mk 14:1,Mk 14:55,Lk 5:18,Lk 6:19,Lk 11:16,Lk 19:47,Lk 22:2,Jn 5:18,Jn 7:1,Jn 7:11,Jn 11:8,Jn 11:56,Ac 17:5
ζητοῦν	ζητέω	pres	actv	participle	—	neu	nom	sg	verb	Mt 12:43,Lk 11:24
Ἐζήτουν	ζητέω	impft	actv	indicative	3p	—	—	pl	verb	Jn 7:30,Jn 10:39
ἐζήτησέν	ζητέω	aor	actv	indicative	3p	—	—	sg	verb	2 Ti 1:17
ζήτει	ζητέω	pres	actv	imperative	2p	—	—	sg	verb	1 Co 7:27,1 Co 7:27
ἐζητεῖτέ	ζητέω	impft	actv	indicative	2p	—	—	pl	verb	Lk 2:49
ζητῆσαι	ζητέω	aor	actv	infinitive	—	—	—	—	verb	Lk 19:10
ζητείτω	ζητέω	pres	actv	imperative	3p	—	—	sg	verb	1 Co 10:24
ζητοῦσιν	ζητέω	pres	actv	indicative	3p	—	—	pl	verb	Jn 7:25,Ro 11:3,1 Co 1:22,Php 2:21
ζητήσετέ	ζητέω	futr	actv	indicative	2p	—	—	pl	verb	Jn 7:34,Jn 7:36,Jn 8:21,Jn 13:33
ζητεῖτε	ζητέω	pres	actv	imperative	2p	—	—	pl	verb	Mt 6:33,Mt 7:7,Lk 11:9,Lk 12:29,Lk 12:31,1 Co 14:12,Col 3:1
ζητηθήσεται	ζητέω	futr	pass	indicative	3p	—	—	sg	verb	Lk 12:48
ζητοῦσιν	ζητέω	pres	actv	participle	—	mas	dat	pl	verb	Ro 2:7,Ro 10:20
Ζητούντων	ζητέω	pres	actv	participle	—	mas	gen	pl	verb	Ac 21:31
ἐζητοῦμέν	ζητέω	impft	actv	indicative	1p	—	—	pl	verb	Lk 2:48
ζητοῦντι	ζητέω	pres	actv	participle	—	mas	dat	sg	verb	Mt 13:45
ζητεῖν	ζητέω	pres	actv	infinitive	—	—	—	—	verb	Mt 2:13,Ac 17:27
