Result	Lemma	Part of Speech	Reference
οὐχ	οὐ	conjunction, particle, adverb	Ro 8:20,1 Co 7:35,2 Co 1:24,2 Co 2:4,2 Co 3:5,2 Co 7:9,2 Co 7:12,2 Co 13:7,Php 2:6,Php 4:17,1 Th 2:4,2 Th 3:9,Heb 5:4,Heb 5:5,1 Pe 1:12,1 Pe 3:3,1 Jn 4:10,1 Jn 5:18,1 Co 6:10
Οὐ	οὐ	particle	Jn 7:19
Οὐκ	οὐ	particle	1 Co 9:1
Οὐχ	οὐ	adverb, particle	Ro 9:6
οὐκ	οὐ	particle, adverb	Lk 17:22
Οὐχ	οὐ	conjunction, particle, adverb	Php 3:12
οὐ	οὐ	particle	Lk 15:4,Lk 18:7,Jn 18:11,Jas 2:4,Mt 6:30,Mt 7:22,Mt 15:17,Mt 17:24,Mt 24:2,Mk 4:38,Mk 11:17,Mk 12:24,Lk 13:15,Jn 8:48,Jn 19:10,Ac 5:28,1 Co 9:1,1 Co 9:12,2 Co 12:18,2 Co 12:18,Heb 3:16
οὐ	οὐ	conjunction, particle, adverb	Ac 27:10,Ro 1:32,Ro 4:16,Ro 4:20,Ro 5:3,Ro 5:11,Ro 8:15,Ro 8:23,Ro 9:8,Ro 9:16,Ro 9:24,Ro 11:18,Ro 13:5,1 Co 2:12,1 Co 4:19,1 Co 4:20,1 Co 5:10,1 Co 11:8,1 Co 14:22,1 Co 14:22,1 Co 14:33,1 Co 14:34,1 Co 15:10,1 Co 15:46,1 Co 15:51,2 Co 2:17,2 Co 3:3,2 Co 3:6,2 Co 5:4,2 Co 5:12,2 Co 6:12,2 Co 7:7,2 Co 7:14,2 Co 8:5,2 Co 8:10,2 Co 8:13,2 Co 8:19,2 Co 8:21,2 Co 9:12,2 Co 10:4,2 Co 10:18,2 Co 11:17,2 Co 12:14,2 Co 12:14,2 Co 12:16,2 Co 13:8,Ga 1:16,Ga 4:17,Eph 1:21,Php 1:29,Php 3:13,1 Th 1:8,1 Th 2:8,1 Th 2:13,1 Th 4:7,1 Th 4:9,1 Ti 1:9,1 Ti 5:13,2 Ti 1:7,2 Ti 1:9,2 Ti 2:24,2 Ti 4:8,Heb 2:16,Heb 4:15,Heb 7:16,Heb 9:24,Heb 12:11,Heb 12:26,Heb 13:14,Jas 2:11,1 Pe 1:18,1 Pe 2:10,1 Pe 2:18,1 Pe 3:21,2 Pe 1:21,2 Pe 3:9,1 Jn 2:2,1 Co 6:10
οὐχ	οὐ	particle	Mt 6:26,Mt 13:55,Mt 13:55,Mk 4:21,Mk 6:3,Lk 11:40,Jn 4:35,Jn 6:42,Jn 7:25,Jn 7:42,Jn 9:8,Ac 2:7,Ac 9:21,Ro 2:26,1 Co 10:18,Jas 2:5,Jas 2:6
οὔ	οὐ	adverb, particle	Mt 13:29,Mt 22:17,Mk 12:14,Lk 14:3,Lk 20:22,Jn 7:12,Ro 7:18
Οὐκ	οὐ	conjunction, particle, adverb	Ro 4:23
οὔ	οὐ	interjection, particle	Jn 1:21,Jn 21:5
οὒ	οὐ	particle	Mt 5:37,2 Co 1:17,2 Co 1:19,Jas 5:12
οὐ	οὐ	particle, adverb	1 Co 6:10
οὐκ	οὐ	conjunction, particle, adverb	Ro 4:10,Ro 4:12,Ro 9:12,Ro 9:32,Ro 16:4,1 Co 2:4,1 Co 2:13,1 Co 3:1,1 Co 7:10,1 Co 7:25,1 Co 9:2,1 Co 10:13,1 Co 11:9,1 Co 11:17,1 Co 12:14,1 Co 14:2,1 Co 15:10,1 Co 16:12,2 Co 1:12,2 Co 1:19,2 Co 2:5,2 Co 2:13,2 Co 3:3,2 Co 4:1,2 Co 4:16,2 Co 10:13,2 Co 10:15,2 Co 13:3,Ga 3:12,Ga 3:28,Ga 3:28,Ga 3:28,Ga 4:14,Ga 4:31,Eph 6:12,Php 2:27,1 Th 1:5,1 Th 2:3,1 Th 4:8,1 Th 5:9,2 Th 3:7,2 Th 3:9,1 Ti 2:12,1 Ti 2:14,2 Ti 1:16,2 Ti 2:20,2 Ti 4:3,Heb 4:13,Heb 10:5,Heb 10:39,Jas 1:25,Jas 3:15,Jas 4:11,1 Pe 1:23,1 Pe 2:10,1 Pe 2:23,2 Pe 2:4,2 Pe 2:5,1 Jn 2:7,1 Jn 2:16,1 Jn 2:21,1 Jn 4:18,1 Jn 5:6,Jud 9,Re 20:6
οὐκ	οὐ	particle	Mt 18:33,Lk 14:5,Mt 12:3,Mt 12:5,Mt 19:4,Mt 20:15,Mt 22:31,Mk 6:3,Jn 6:70,Jn 10:34,Jn 11:37,Jn 11:40,Jn 18:26,Jn 19:10,Ro 9:21,1 Co 3:4,1 Co 6:5,1 Co 9:1,1 Co 14:23,Heb 10:2,Jas 2:7,Jas 2:21,Jas 4:1,Jas 4:4
οὐχ	οὐ	adverb, particle	Mt 7:29,Mt 12:43,Mt 20:26,Mt 26:39,Mt 26:60,Mk 1:22,Mk 2:27,Mk 10:43,Mk 14:55,Lk 13:6,Lk 13:7,Lk 17:18,Lk 19:48,Lk 22:26,Lk 24:3,Jn 4:38,Jn 6:26,Jn 6:38,Jn 6:46,Jn 7:22,Jn 7:34,Jn 7:35,Jn 7:36,Jn 10:28,Jn 11:52,Jn 12:6,Jn 12:42,Jn 14:22,Jn 15:16,Jn 19:6,Ac 1:7,Ac 3:6,Ac 5:22,Ac 7:11,Ac 7:48,Ac 28:19,Ro 1:21,Ro 5:15,Ro 5:16,Ro 8:7,Ro 10:3,Ro 15:3,Ro 15:20,1 Co 7:12,1 Co 7:28,1 Co 7:28,1 Co 7:36,2 Co 12:20,Eph 4:20,Php 1:17,Php 4:11,Col 2:1,2 Th 3:14,Heb 11:5,Heb 12:8,Heb 12:17,2 Pe 3:10,1 Jn 1:10,1 Jn 3:6,1 Jn 3:6,1 Jn 4:20,1 Jn 5:18,2 Jn 5,3 Jn 11,Re 14:5,Re 16:20,Re 20:11,Re 20:15
οὔ	οὐ	particle	Mt 5:37,2 Co 1:17,2 Co 1:18,Jas 5:12
