Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
πληρώσεις	πληρόω	futr	actv	indicative	2p	—	—	sg	verb	Ac 2:28
πληρωθῶσιν	πληρόω	aor	pass	subjunctive	3p	—	—	pl	verb	Mt 26:54,Mt 26:56,Mk 14:49,Lk 21:24,Re 6:11
πληρωθείσης	πληρόω	aor	pass	participle	—	fem	gen	sg	verb	Ac 24:27
ἐπληρώθη	πληρόω	aor	pass	indicative	3p	—	—	sg	verb	Mt 2:17,Mt 13:48,Mt 27:9,Jn 12:3,Ac 19:21,Jas 2:23
πληρῶσαι	πληρόω	aor	actv	infinitive	—	—	—	—	verb	Mt 3:15,Mt 5:17,Col 1:25
πληρωθέντων	πληρόω	aor	pass	participle	—	neu	gen	pl	verb	Ac 7:30
πληρώσῃ	πληρόω	aor	actv	subjunctive	3p	—	—	sg	verb	Eph 4:10,2 Th 1:11
πληρούμενον	πληρόω	pres	pass	participle	—	neu	nom	sg	verb	Lk 2:40
πεπλήρωμαι	πληρόω	perfect	pass	indicative	1p	—	—	sg	verb	2 Co 7:4,Php 4:18
πεπληρωκέναι	πληρόω	perfect	actv	infinitive	—	—	—	—	verb	Ro 15:19
πληρώσατέ	πληρόω	aor	actv	imperative	2p	—	—	pl	verb	Php 2:2
πεπληρωμένα	πληρόω	perfect	pass	participle	—	neu	acc	pl	verb	Re 3:2
πεπληρωμένοι	πληρόω	perfect	pass	participle	—	mas	nom	pl	verb	Ro 15:14,Php 1:11,Col 2:10
πεπληρωμένη	πληρόω	perfect	pass	participle	—	fem	nom	sg	verb	Jn 16:24,1 Jn 1:4,2 Jn 12
πληροῦσθε	πληρόω	pres	pass	imperative	2p	—	—	pl	verb	Eph 5:18
πληρώσαι	πληρόω	aor	actv	optative	3p	—	—	sg	verb	Ro 15:13
πληρωθήσονται	πληρόω	futr	pass	indicative	3p	—	—	pl	verb	Lk 1:20
πεπληρωμένην	πληρόω	perfect	pass	participle	—	fem	acc	sg	verb	Jn 17:13
πληρωθῶ	πληρόω	aor	pass	subjunctive	1p	—	—	sg	verb	2 Ti 1:4
πεπληρωμένους	πληρόω	perfect	pass	participle	—	mas	acc	pl	verb	Ro 1:29
πεπλήρωται	πληρόω	perfect	pass	indicative	3p	—	—	sg	verb	Mk 1:15,Lk 4:21,Jn 3:29,Jn 7:8,Ga 5:14
πληρωθῇ	πληρόω	aor	pass	subjunctive	3p	—	—	sg	verb	Mt 1:22,Mt 2:15,Mt 2:23,Mt 4:14,Mt 8:17,Mt 12:17,Mt 13:35,Mt 21:4,Lk 22:16,Jn 12:38,Jn 13:18,Jn 15:11,Jn 15:25,Jn 17:12,Jn 18:9,Jn 18:32,Jn 19:24,Jn 19:36,Ro 8:4,2 Co 10:6
πληρώσαντες	πληρόω	aor	actv	participle	—	mas	nom	pl	verb	Ac 12:25
πληροῖς	πληρόω	pres	actv	subjunctive	2p	—	—	sg	verb	Col 4:17
πληροῦν	πληρόω	pres	actv	infinitive	—	—	—	—	verb	Lk 9:31
πληρωθῆτε	πληρόω	aor	pass	subjunctive	2p	—	—	pl	verb	Eph 3:19,Col 1:9
πεπλήρωκεν	πληρόω	perfect	actv	indicative	3p	—	—	sg	verb	Jn 16:6,Ro 13:8
ἐπλήρωσαν	πληρόω	aor	actv	indicative	3p	—	—	pl	verb	Ac 13:27,Ac 14:26
πληρωθῆναι	πληρόω	aor	pass	infinitive	—	—	—	—	verb	Lk 24:44,Ac 1:16
πληρωθήσεται	πληρόω	futr	pass	indicative	3p	—	—	sg	verb	Lk 3:5
ἐπληροῦντο	πληρόω	impft	pass	indicative	3p	—	—	pl	verb	Ac 9:23,Ac 13:52
πεπληρώκατε	πληρόω	perfect	actv	indicative	2p	—	—	pl	verb	Ac 5:28
ἐπληροῦτο	πληρόω	impft	pass	indicative	3p	—	—	sg	verb	Ac 7:23
πληρώσει	πληρόω	futr	actv	indicative	3p	—	—	sg	verb	Php 4:19
ἐπλήρου	πληρόω	impft	actv	indicative	3p	—	—	sg	verb	Ac 13:25
πληρουμένου	πληρόω	pres	mid	participle	—	mas	gen	sg	verb	Eph 1:23
πληρώσατε	πληρόω	aor	actv	imperative	2p	—	—	pl	verb	Mt 23:32
ἐπλήρωσεν	πληρόω	aor	actv	indicative	3p	—	—	sg	verb	Lk 7:1,Ac 2:2,Ac 3:18,Ac 5:3
