Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐποιοῦντο	ποιέω	impft	mid	indicative	3p	—	—	pl	verb	Ac 27:18
ποιήσει	ποιέω	futr	actv	indicative	3p	—	—	sg	verb	Mt 18:35,Mt 21:40,Mk 9:39,Mk 12:9,Lk 18:8,Lk 20:15,Jn 7:31,Jn 14:12,Jn 14:12,Ac 13:22,Ro 9:28,1 Co 7:37,1 Co 7:38,1 Co 10:13,1 Th 5:24,Heb 13:6,Re 11:7
ποιεῖσθε	ποιέω	pres	mid	imperative	2p	—	—	pl	verb	Ro 13:14
ποιῶ	ποιέω	pres	actv	subjunctive	1p	—	—	sg	verb	Jn 6:38
πεποιήκαμεν	ποιέω	perfect	actv	indicative	1p	—	—	pl	verb	Lk 17:10
ποιεῖν	ποιέω	pres	actv	infinitive	—	—	—	—	verb	Mt 6:1,Mt 7:18,Mt 7:18,Mt 12:2,Mt 12:12,Mk 2:23,Jn 3:2,Jn 5:19,Jn 5:27,Jn 5:30,Jn 6:6,Jn 7:17,Jn 8:44,Jn 9:16,Jn 9:33,Jn 15:5,Ac 1:1,Ac 7:19,Ac 9:6,Ac 16:21,Ac 16:30,Ac 22:26,Ro 1:28,Ro 7:21,Jas 4:17
ἐποίησεν	ποιέω	aor	actv	indicative	3p	—	—	sg	verb	Mt 1:24,Mt 12:3,Mt 13:26,Mt 13:28,Mt 13:58,Mt 19:4,Mt 20:5,Mt 21:15,Mt 21:31,Mt 22:2,Mt 26:12,Mt 26:13,Mt 27:23,Mk 2:25,Mk 3:14,Mk 3:16,Mk 5:20,Mk 6:21,Mk 10:6,Mk 14:8,Mk 14:9,Mk 15:14,Lk 1:68,Lk 3:19,Lk 5:29,Lk 6:3,Lk 6:10,Lk 8:8,Lk 8:39,Lk 8:39,Lk 11:40,Lk 16:8,Lk 17:9,Lk 19:18,Lk 23:22,Jn 2:11,Jn 4:45,Jn 4:46,Jn 4:54,Jn 6:14,Jn 7:31,Jn 8:40,Jn 9:6,Jn 9:11,Jn 9:14,Jn 10:41,Jn 11:45,Jn 11:46,Jn 15:24,Jn 19:7,Jn 20:30,Jn 21:25,Ac 2:22,Ac 2:36,Ac 7:24,Ac 7:50,Ac 9:13,Ac 10:39,Ac 12:8,Ac 14:11,Ac 14:15,Ac 14:27,Ac 15:4,Ac 15:12,Ac 21:19,2 Co 5:21,Eph 3:11,Heb 1:2,Heb 7:27,1 Pe 2:22,Re 1:6
ποιοῦντα	ποιέω	pres	actv	participle	—	mas	acc	sg	verb	Mt 24:46,Lk 12:43,Jn 5:19,Ac 24:12
ποιοῦντος	ποιέω	pres	actv	participle	—	mas	gen	sg	verb	Mt 6:3
πεποίηκεν	ποιέω	perfect	actv	indicative	3p	—	—	sg	verb	Mk 5:19,Mk 7:37,Lk 1:25,Heb 11:28,1 Jn 5:10
