Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐρωτήσωσιν	ἐρωτάω	aor	actv	subjunctive	3p	—	—	pl	verb	Jn 1:19
ἐρωτᾷ	ἐρωτάω	pres	actv	indicative	3p	—	—	sg	verb	Lk 11:37,Lk 14:32,Jn 16:5
ἐρωτῆσαί	ἐρωτάω	aor	actv	infinitive	—	—	—	—	verb	Ac 23:20
ἠρώτα	ἐρωτάω	impft	actv	indicative	3p	—	—	sg	verb	Mt 16:13,Mk 7:26,Mk 8:5,Jn 4:47,Ac 3:3
ἐρωτήσατε	ἐρωτάω	aor	actv	imperative	2p	—	—	pl	verb	Jn 9:21
ἐρωτῶν	ἐρωτάω	pres	actv	participle	—	mas	nom	sg	verb	Lk 7:3
ἐρωτᾷς	ἐρωτάω	pres	actv	indicative	2p	—	—	sg	verb	Mt 19:17,Jn 18:21
ἐρωτῶντες	ἐρωτάω	pres	actv	participle	—	mas	nom	pl	verb	Jn 8:7
ἐρωτήσετε	ἐρωτάω	futr	actv	indicative	2p	—	—	pl	verb	Jn 16:23
Ἐρωτῶμεν	ἐρωτάω	pres	actv	indicative	1p	—	—	pl	verb	1 Th 5:12,2 Th 2:1
ἐρωτᾶν	ἐρωτάω	pres	actv	infinitive	—	—	—	—	verb	Jn 16:19
ἐρωτήσω	ἐρωτάω	aor	actv	subjunctive	1p	—	—	sg	verb	Lk 22:68
ἠρώτων	ἐρωτάω	impft	actv	indicative	3p	—	—	pl	verb	Mk 4:10,Jn 4:31,Jn 4:40,Jn 9:15,Jn 12:21,Ac 1:6,Ac 16:39
ἠρώτησαν	ἐρωτάω	aor	actv	indicative	3p	—	—	pl	verb	Lk 4:38,Jn 1:21,Jn 1:25,Jn 5:12,Jn 9:2,Jn 9:19,Jn 19:31,Ac 10:48
ἐρώτησον	ἐρωτάω	aor	actv	imperative	2p	—	—	sg	verb	Jn 18:21
ἐρωτῶ	ἐρωτάω	pres	actv	indicative	1p	—	—	sg	verb	Lk 14:18,Lk 14:19,Lk 16:27,Jn 17:9,Jn 17:9,Jn 17:15,Jn 17:20,Php 4:3,2 Jn 5
ἠρώτησεν	ἐρωτάω	aor	actv	indicative	3p	—	—	sg	verb	Lk 5:3,Lk 8:37,Lk 23:3,Jn 18:19,Jn 19:38,Ac 23:18
ἐρωτᾷ	ἐρωτάω	pres	actv	subjunctive	3p	—	—	sg	verb	Lk 19:31,Jn 16:30
ἐρωτώντων	ἐρωτάω	pres	actv	participle	—	mas	gen	pl	verb	Ac 18:20
ἐρωτῶμεν	ἐρωτάω	pres	actv	indicative	1p	—	—	pl	verb	1 Th 4:1
ἐρωτῆσαι	ἐρωτάω	aor	actv	infinitive	—	—	—	—	verb	Lk 9:45
ἠρώτουν	ἐρωτάω	impft	actv	indicative	3p	—	—	pl	verb	Mt 15:23
ἐρωτήσω	ἐρωτάω	futr	actv	indicative	1p	—	—	sg	verb	Mt 21:24,Lk 20:3,Jn 14:16,Jn 16:26
Ἠρώτα	ἐρωτάω	impft	actv	indicative	3p	—	—	sg	verb	Lk 7:36
ἐρωτήσῃ	ἐρωτάω	aor	actv	subjunctive	3p	—	—	sg	verb	1 Jn 5:16
