Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
δοξάζητε	δοξάζω	pres	actv	subjunctive	2p	—	—	pl	verb	Ro 15:6
δόξασόν	δοξάζω	aor	actv	imperative	2p	—	—	sg	verb	Jn 12:28,Jn 17:1,Jn 17:5
δοξάζων	δοξάζω	pres	actv	participle	—	mas	nom	sg	verb	Lk 5:25,Lk 17:15,Lk 18:43,Jn 8:54
δοξασθῶσιν	δοξάζω	aor	pass	subjunctive	3p	—	—	pl	verb	Mt 6:2
δεδόξασται	δοξάζω	perfect	pass	indicative	3p	—	—	sg	verb	2 Co 3:10
δοξαζέτω	δοξάζω	pres	actv	imperative	3p	—	—	sg	verb	1 Pe 4:16
δοξάσω	δοξάζω	futr	actv	indicative	1p	—	—	sg	verb	Jn 12:28
δοξάζηται	δοξάζω	pres	pass	subjunctive	3p	—	—	sg	verb	2 Th 3:1,1 Pe 4:11
δοξάζειν	δοξάζω	pres	actv	infinitive	—	—	—	—	verb	Mk 2:12
ἐδόξαζον	δοξάζω	impft	actv	indicative	3p	—	—	pl	verb	Lk 5:26,Lk 7:16,Ac 4:21,Ac 13:48,Ac 21:20,Ga 1:24
δοξαζόμενος	δοξάζω	pres	pass	participle	—	mas	nom	sg	verb	Lk 4:15
ἐδόξασεν	δοξάζω	aor	actv	indicative	3p	—	—	sg	verb	Ac 3:13,Ro 8:30,Heb 5:5,Re 18:7
ἐδόξασα	δοξάζω	aor	actv	indicative	1p	—	—	sg	verb	Jn 12:28,Jn 17:4
ἐδόξασαν	δοξάζω	aor	actv	indicative	3p	—	—	pl	verb	Mt 9:8,Mt 15:31,Ac 11:18,Ro 1:21
δοξάζω	δοξάζω	pres	actv	indicative	1p	—	—	sg	verb	Ro 11:13
δοξάσωσιν	δοξάζω	aor	actv	subjunctive	3p	—	—	pl	verb	Mt 5:16,1 Pe 2:12
δοξάσω	δοξάζω	aor	actv	subjunctive	1p	—	—	sg	verb	Jn 8:54
δοξασθῇ	δοξάζω	aor	pass	subjunctive	3p	—	—	sg	verb	Jn 11:4,Jn 12:23,Jn 14:13
δοξάσῃ	δοξάζω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 17:1
δοξάζεται	δοξάζω	pres	pass	indicative	3p	—	—	sg	verb	1 Co 12:26
δοξάσαι	δοξάζω	aor	actv	infinitive	—	—	—	—	verb	Ro 15:9
δοξάζοντες	δοξάζω	pres	actv	participle	—	mas	nom	pl	verb	Lk 2:20,2 Co 9:13
δεδόξασμαι	δοξάζω	perfect	pass	indicative	1p	—	—	sg	verb	Jn 17:10
δεδοξασμένῃ	δοξάζω	perfect	pass	participle	—	fem	dat	sg	verb	1 Pe 1:8
δεδοξασμένον	δοξάζω	perfect	pass	participle	—	neu	nom	sg	verb	2 Co 3:10
δοξάσει	δοξάζω	futr	actv	indicative	3p	—	—	sg	verb	Jn 13:32,Jn 13:32,Jn 16:14,Jn 21:19,Re 15:4
δοξάσατε	δοξάζω	aor	actv	imperative	2p	—	—	pl	verb	1 Co 6:20
ἐδοξάσθη	δοξάζω	aor	pass	indicative	3p	—	—	sg	verb	Jn 7:39,Jn 12:16,Jn 13:31,Jn 13:31,Jn 13:32,Jn 15:8
ἐδόξαζεν	δοξάζω	impft	actv	indicative	3p	—	—	sg	verb	Lk 13:13,Lk 23:47
