Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
εὐηγγελισάμεθα	εὐαγγελίζω	aor	mid	indicative	1p	—	—	pl	verb	Ga 1:8
εὐαγγελισθὲν	εὐαγγελίζω	aor	pass	participle	—	neu	acc	sg	verb	Ga 1:11
εὐαγγελίζωμαι	εὐαγγελίζω	pres	mid	subjunctive	1p	—	—	sg	verb	1 Co 9:16,Ga 1:16
εὐαγγελιζομένῳ	εὐαγγελίζω	pres	mid	participle	—	mas	dat	sg	verb	Ac 8:12
εὐαγγελίσωμαι	εὐαγγελίζω	aor	mid	subjunctive	1p	—	—	sg	verb	1 Co 9:16
εὐαγγελιζομένου	εὐαγγελίζω	pres	mid	participle	—	mas	gen	sg	verb	Lk 20:1
εὐαγγελιζόμεθα	εὐαγγελίζω	pres	mid	indicative	1p	—	—	pl	verb	Ac 13:32
εὐαγγελισθὲν	εὐαγγελίζω	aor	pass	participle	—	neu	nom	sg	verb	1 Pe 1:25
εὐαγγελισάμενοί	εὐαγγελίζω	aor	mid	participle	—	mas	nom	pl	verb	Ac 14:21
εὐαγγελιζόμενος	εὐαγγελίζω	pres	mid	participle	—	mas	nom	sg	verb	Lk 8:1,Ac 10:36,1 Co 9:18
εὐαγγελίζομαι	εὐαγγελίζω	pres	mid	indicative	1p	—	—	sg	verb	Lk 2:10
εὐηγγελίσθη	εὐαγγελίζω	aor	pass	indicative	3p	—	—	sg	verb	1 Pe 4:6
εὐαγγελισθέντες	εὐαγγελίζω	aor	pass	participle	—	mas	nom	pl	verb	Heb 4:6
εὐηγγελίσατο	εὐαγγελίζω	aor	mid	indicative	3p	—	—	sg	verb	Ac 8:35,Eph 2:17
εὐαγγελίζεσθαι	εὐαγγελίζω	pres	mid	infinitive	—	—	—	—	verb	Ro 15:20,1 Co 1:17
εὐαγγελίζεται	εὐαγγελίζω	pres	mid	indicative	3p	—	—	sg	verb	Ga 1:9,Ga 1:23
εὐηγγελίζοντο	εὐαγγελίζω	impft	mid	indicative	3p	—	—	pl	verb	Ac 8:25
εὐηγγέλισεν	εὐαγγελίζω	aor	actv	indicative	3p	—	—	sg	verb	Re 10:7
εὐαγγελίζονται	εὐαγγελίζω	pres	pass	indicative	3p	—	—	pl	verb	Mt 11:5,Lk 7:22
εὐαγγελισαμένων	εὐαγγελίζω	aor	mid	participle	—	mas	gen	pl	verb	1 Pe 1:12
εὐαγγελίζηται	εὐαγγελίζω	pres	mid	subjunctive	3p	—	—	sg	verb	Ga 1:8
εὐαγγελίσασθαι	εὐαγγελίζω	aor	mid	infinitive	—	—	—	—	verb	Lk 4:18,Ac 16:10,Ro 1:15,2 Co 10:16,Eph 3:8
εὐαγγελίζεται	εὐαγγελίζω	pres	pass	indicative	3p	—	—	sg	verb	Lk 16:16
εὐαγγελίσαι	εὐαγγελίζω	aor	actv	infinitive	—	—	—	—	verb	Re 14:6
εὐαγγελισαμένου	εὐαγγελίζω	aor	mid	participle	—	mas	gen	sg	verb	1 Th 3:6
εὐαγγελιζόμενοι	εὐαγγελίζω	pres	mid	participle	—	mas	nom	pl	verb	Lk 9:6,Ac 5:42,Ac 8:4,Ac 11:20,Ac 14:7,Ac 14:15,Ac 15:35
εὐηγγελίζετο	εὐαγγελίζω	impft	mid	indicative	3p	—	—	sg	verb	Lk 3:18,Ac 8:40,Ac 17:18
εὐαγγελιζομένων	εὐαγγελίζω	pres	mid	participle	—	mas	gen	pl	verb	Ro 10:15
εὐαγγελίσασθαί	εὐαγγελίζω	aor	mid	infinitive	—	—	—	—	verb	Lk 1:19,Lk 4:43
εὐηγγελισμένοι	εὐαγγελίζω	perfect	pass	participle	—	mas	nom	pl	verb	Heb 4:2
εὐηγγελισάμην	εὐαγγελίζω	aor	mid	indicative	1p	—	—	sg	verb	1 Co 15:1,1 Co 15:2,2 Co 11:7,Ga 4:13
