Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
κηρυχθῇ	κηρύσσω	aor	pass	subjunctive	3p	—	—	sg	verb	Mt 26:13,Mk 14:9
ἐκήρυξεν	κηρύσσω	aor	actv	indicative	3p	—	—	sg	verb	Ac 10:37,1 Pe 3:19
ἐκήρυσσεν	κηρύσσω	impft	actv	indicative	3p	—	—	sg	verb	Mk 1:7,Ac 8:5,Ac 9:20
ἐκήρυξαν	κηρύσσω	aor	actv	indicative	3p	—	—	pl	verb	Mk 6:12,Mk 16:20
κηρύξας	κηρύσσω	aor	actv	participle	—	mas	nom	sg	verb	1 Co 9:27
κηρύσσομεν	κηρύσσω	pres	actv	indicative	1p	—	—	pl	verb	Ro 10:8,1 Co 1:23,1 Co 15:11,2 Co 4:5
κηρύσσοντος	κηρύσσω	pres	actv	participle	—	mas	gen	sg	verb	Ro 10:14
κηρύσσετε	κηρύσσω	pres	actv	imperative	2p	—	—	pl	verb	Mt 10:7
κηρύσσεται	κηρύσσω	pres	pass	indicative	3p	—	—	sg	verb	1 Co 15:12
κηρύσσει	κηρύσσω	pres	actv	indicative	3p	—	—	sg	verb	Ac 19:13,2 Co 11:4
κηρύσσουσιν	κηρύσσω	pres	actv	indicative	3p	—	—	pl	verb	Php 1:15
κηρύσσοντας	κηρύσσω	pres	actv	participle	—	mas	acc	pl	verb	Ac 15:21
κηρύξατε	κηρύσσω	aor	actv	imperative	2p	—	—	pl	verb	Mt 10:27,Mk 16:15
κήρυξον	κηρύσσω	aor	actv	imperative	2p	—	—	sg	verb	2 Ti 4:2
κηρυχθήσεται	κηρύσσω	futr	pass	indicative	3p	—	—	sg	verb	Mt 24:14,Lk 12:3
κηρύσσω	κηρύσσω	pres	actv	indicative	1p	—	—	sg	verb	Ga 2:2,Ga 5:11
κηρυχθῆναι	κηρύσσω	aor	pass	infinitive	—	—	—	—	verb	Mk 13:10,Lk 24:47
ἐκήρυσσον	κηρύσσω	impft	actv	indicative	3p	—	—	pl	verb	Mk 7:36
κηρύξω	κηρύσσω	aor	actv	subjunctive	1p	—	—	sg	verb	Mk 1:38
κηρύξωσιν	κηρύσσω	aor	actv	subjunctive	3p	—	—	pl	verb	Ro 10:15
ἐκηρύχθη	κηρύσσω	aor	pass	indicative	3p	—	—	sg	verb	1 Ti 3:16
κηρυχθείς	κηρύσσω	aor	pass	participle	—	mas	nom	sg	verb	2 Co 1:19
κηρυχθέντος	κηρύσσω	aor	pass	participle	—	neu	gen	sg	verb	Col 1:23
ἐκηρύξαμεν	κηρύσσω	aor	actv	indicative	1p	—	—	pl	verb	2 Co 11:4,1 Th 2:9
κηρύξαι	κηρύσσω	aor	actv	infinitive	—	—	—	—	verb	Lk 4:18,Lk 4:19,Ac 10:42
κηρύσσειν	κηρύσσω	pres	actv	infinitive	—	—	—	—	verb	Mt 4:17,Mt 11:1,Mk 1:45,Mk 3:14,Mk 5:20,Lk 9:2
κηρύσσων	κηρύσσω	pres	actv	participle	—	mas	nom	sg	verb	Mt 3:1,Mt 4:23,Mt 9:35,Mk 1:4,Mk 1:14,Mk 1:39,Lk 3:3,Lk 4:44,Lk 8:1,Lk 8:39,Ac 20:25,Ac 28:31,Ro 2:21
κηρύσσοντα	κηρύσσω	pres	actv	participle	—	mas	acc	sg	verb	Re 5:2
