Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐπράξατε	πράσσω	aor	actv	indicative	2p	—	—	pl	verb	Ac 3:17
πεπραγμένον	πράσσω	perfect	pass	participle	—	neu	nom	sg	verb	Lk 23:15,Ac 26:26
πράσσῃς	πράσσω	pres	actv	subjunctive	2p	—	—	sg	verb	Ro 2:25
πράσσοντι	πράσσω	pres	actv	participle	—	mas	dat	sg	verb	Ro 13:4
πράσσω	πράσσω	pres	actv	indicative	1p	—	—	sg	verb	Ro 7:15,Ro 7:19,1 Co 9:17,Eph 6:21
πέπραχά	πράσσω	perfect	actv	indicative	1p	—	—	sg	verb	Ac 25:11
πράσσων	πράσσω	pres	actv	participle	—	mas	nom	sg	verb	Jn 3:20
πράσσεις	πράσσω	pres	actv	indicative	2p	—	—	sg	verb	Ro 2:1
πράσσειν	πράσσω	pres	actv	infinitive	—	—	—	—	verb	Lk 22:23,Ac 5:35,Ac 19:36,1 Th 4:11
πραξάντων	πράσσω	aor	actv	participle	—	mas	gen	pl	verb	Ac 19:19,Ro 9:11
ἐπράξαμεν	πράσσω	aor	actv	indicative	1p	—	—	pl	verb	Lk 23:41
πράξας	πράσσω	aor	actv	participle	—	mas	nom	sg	verb	1 Co 5:2
ἔπραξαν	πράσσω	aor	actv	indicative	3p	—	—	pl	verb	2 Co 12:21
πράξαντες	πράσσω	aor	actv	participle	—	mas	nom	pl	verb	Jn 5:29
ἔπραξεν	πράσσω	aor	actv	indicative	3p	—	—	sg	verb	Lk 23:41,2 Co 5:10
πράσσοντες	πράσσω	pres	actv	participle	—	mas	nom	pl	verb	Ro 1:32,Ga 5:21
πράσσετε	πράσσω	pres	actv	imperative, indicative	2p	—	—	pl	verb	Lk 3:13,Php 4:9
πράξῃς	πράσσω	aor	actv	subjunctive	2p	—	—	sg	verb	Ac 16:28
πεπραχέναι	πράσσω	perfect	actv	infinitive	—	—	—	—	verb	Ac 25:25
πράσσοντας	πράσσω	pres	actv	participle	—	mas	acc	pl	verb	Ac 26:20,Ro 2:2,Ro 2:3
πρᾶξαι	πράσσω	aor	actv	infinitive	—	—	—	—	verb	Ac 26:9
πράσσει	πράσσω	pres	actv	indicative	3p	—	—	sg	verb	Ac 26:31
ἔπραξα	πράσσω	aor	actv	indicative	1p	—	—	sg	verb	Lk 19:23
πράξετε	πράσσω	futr	actv	indicative	2p	—	—	pl	verb	Ac 15:29
πράσσουσιν	πράσσω	pres	actv	participle	—	mas	dat	pl	verb	Ro 1:32
πράσσουσιν	πράσσω	pres	actv	indicative	3p	—	—	pl	verb	Ac 17:7
