Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἅψηται	ἅπτομαι	aor	mid	subjunctive	3p	—	—	sg	verb	Mk 8:22,Mk 10:13
ἁψάμενος	ἅπτομαι	aor	mid	participle	—	mas	nom	sg	verb	Mt 17:7,Lk 22:51
ἅψαντες	ἅπτομαι	aor	actv	participle	—	mas	nom	pl	verb	Ac 28:2
ἅψωμαι	ἅπτομαι	aor	mid	subjunctive	1p	—	—	sg	verb	Mt 9:21,Mk 5:28
ἅψῃ	ἅπτομαι	aor	mid	subjunctive	2p	—	—	sg	verb	Col 2:21
ἅπτου	ἅπτομαι	pres	mid	imperative	2p	—	—	sg	verb	Jn 20:17
ἅπτεται	ἅπτομαι	pres	mid	indicative	3p	—	—	sg	verb	Lk 7:39,1 Jn 5:18
ἥψαντο	ἅπτομαι	aor	mid	indicative	3p	—	—	pl	verb	Mt 14:36,Mk 6:56
ἅψωνται	ἅπτομαι	aor	mid	subjunctive	3p	—	—	pl	verb	Mt 14:36,Mk 3:10,Mk 6:56
ἁψάμενός	ἅπτομαι	aor	mid	participle	—	mas	nom	sg	verb	Lk 8:45
ἅπτηται	ἅπτομαι	pres	mid	subjunctive	3p	—	—	sg	verb	Lk 18:15
ἥψατό	ἅπτομαι	aor	mid	indicative	3p	—	—	sg	verb	Lk 8:46
ἅψας	ἅπτομαι	aor	actv	participle	—	mas	nom	sg	verb	Lk 8:16,Lk 11:33
ἅπτεσθε	ἅπτομαι	pres	mid	imperative	2p	—	—	pl	verb	2 Co 6:17
ἥψατο	ἅπτομαι	aor	mid	indicative	3p	—	—	sg	verb	Mt 8:3,Mt 8:15,Mt 9:20,Mt 9:29,Mt 20:34,Mk 1:41,Mk 5:27,Mk 5:30,Mk 5:31,Mk 7:33,Lk 5:13,Lk 7:14,Lk 8:44,Lk 8:47
ἅπτει	ἅπτομαι	pres	actv	indicative	3p	—	—	sg	verb	Lk 15:8
ἅπτεσθαι	ἅπτομαι	pres	mid	infinitive	—	—	—	—	verb	Lk 6:19,1 Co 7:1
