Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
εἰσερχόμενον	εἰσέρχομαι	pres	either middle or passive	participle	—	neu	nom	sg	verb	Mt 15:11
εἰσῆλθον	εἰσέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Mt 25:10,Mt 27:53,Mk 5:13,Lk 8:33,Lk 9:52,Jn 18:28,Ac 1:13,Ac 5:21,Ac 16:40,Heb 4:6
εἰσέρχησθε	εἰσέρχομαι	pres	either middle or passive	subjunctive	2p	—	—	pl	verb	Lk 10:8
εἰσήλθατε	εἰσέρχομαι	aor	actv	indicative	2p	—	—	pl	verb	Lk 11:52
εἰσελθόντες	εἰσέρχομαι	aor	actv	participle	—	mas	nom	pl	verb	Ac 5:10,Ac 13:14,Ac 16:15,Ac 21:8,Ac 23:33
εἰσελθόντα	εἰσέρχομαι	aor	actv	participle	—	neu	nom	pl	verb	Mt 12:45,Lk 11:26
εἰσελθόντων	εἰσέρχομαι	aor	actv	participle	—	mas	gen	pl	verb	Lk 22:10,Ac 25:23
εἰσερχομένου	εἰσέρχομαι	pres	either middle or passive	participle	—	mas	gen	sg	verb	Lk 17:12
εἰσελεύσεται	εἰσέρχομαι	futr	mid	indicative	3p	—	—	sg	verb	Mt 7:21,Mt 19:23,Jn 10:9
εἴσελθε	εἰσέρχομαι	aor	actv	imperative	2p	—	—	sg	verb	Mt 6:6,Mt 25:21,Mt 25:23,Ac 9:6
εἰσῆλθεν	εἰσέρχομαι	aor	actv	indicative	3p	—	—	sg	verb	Mt 2:21,Mt 12:4,Mt 21:12,Mt 24:38,Mk 2:26,Mk 3:1,Mk 7:17,Mk 11:11,Mk 15:43,Lk 1:40,Lk 4:16,Lk 4:38,Lk 6:4,Lk 7:1,Lk 8:30,Lk 10:38,Lk 17:27,Lk 19:7,Lk 24:29,Jn 13:27,Jn 18:1,Jn 19:9,Jn 20:5,Jn 20:6,Jn 20:8,Ac 3:8,Ac 5:7,Ac 9:17,Ac 10:24,Ac 10:27,Ac 11:8,Ac 14:20,Ac 17:2,Ac 18:7,Ro 5:12,Heb 6:20,Heb 9:12,Heb 9:24,Re 11:11,Ac 1:21
εἰσήλθομεν	εἰσέρχομαι	aor	actv	indicative	1p	—	—	pl	verb	Ac 11:12,Ac 28:16
εἰσελθάτω	εἰσέρχομαι	aor	actv	imperative	3p	—	—	sg	verb	Mk 13:15
εἰσέρχεσθε	εἰσέρχομαι	pres	either middle or passive	indicative	2p	—	—	pl	verb	Mt 23:13
εἰσελθεῖν	εἰσέρχομαι	aor	actv	infinitive	—	—	—	—	verb	Mt 12:29,Mt 18:8,Mt 18:9,Mt 19:17,Mt 19:24,Mt 23:13,Mk 1:45,Mk 9:43,Mk 9:45,Mk 9:47,Mk 10:24,Mk 10:25,Lk 6:6,Lk 8:32,Lk 8:41,Lk 8:51,Lk 9:34,Lk 13:24,Lk 13:24,Lk 14:23,Lk 15:28,Lk 18:25,Lk 18:25,Lk 22:40,Lk 24:26,Jn 3:4,Jn 3:5,Ac 10:25,Ac 14:1,Ac 14:22,Ac 19:30,Heb 3:19,Heb 4:1,Heb 4:6,Heb 4:11,Re 15:8
Εἰσελθὼν	εἰσέρχομαι	aor	actv	participle	—	mas	nom	sg	verb	Mt 22:11,Ac 19:8
