Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
περιπατοῦσιν	περιπατέω	pres	actv	indicative	3p	—	—	pl	verb	Mt 11:5,Mk 7:5,Lk 7:22,Php 3:18
περιεπατήσατε	περιπατέω	aor	actv	indicative	2p	—	—	pl	verb	Eph 2:2
περιπατεῖς	περιπατέω	pres	actv	indicative	2p	—	—	sg	verb	Ro 14:15,3 Jn 3
περιεπάτουν	περιπατέω	impft	actv	indicative	3p	—	—	pl	verb	Jn 6:66
περιπατῆτε	περιπατέω	pres	actv	subjunctive	2p	—	—	pl	verb	1 Th 4:12,2 Jn 6
περιπατήσωμεν	περιπατέω	aor	actv	subjunctive	1p	—	—	pl	verb	Ro 6:4,Ro 13:13,Eph 2:10
περιπατεῖ	περιπατέω	pres	actv	indicative	3p	—	—	sg	verb	Eph 4:17,1 Pe 5:8,1 Jn 2:11
περιεπάτησεν	περιπατέω	aor	actv	indicative	3p	—	—	sg	verb	Mt 14:29,Ac 14:8,1 Jn 2:6
περιπατῶν	περιπατέω	pres	actv	participle	—	mas	nom	sg	verb	Mt 14:25,Mk 6:48,Ac 3:8,Re 2:1,Jn 12:35
περιεπατήσατέ	περιπατέω	aor	actv	indicative	2p	—	—	pl	verb	Col 3:7
περιπατοῦντες	περιπατέω	pres	actv	participle	—	mas	nom	pl	verb	Lk 11:44,Lk 24:17,2 Co 4:2,2 Co 10:3,Heb 13:9
περιπάτει	περιπατέω	pres	actv	imperative	2p	—	—	sg	verb	Mt 9:5,Mk 2:9,Lk 5:23,Jn 5:8,Jn 5:11,Jn 5:12,Ac 3:6
περιπατοῦντα	περιπατέω	pres	actv	participle	—	neuter, masculine	acc	plural, singular	verb	3 Jn 4
περιπατοῦντος	περιπατέω	pres	actv	participle	—	mas	gen	sg	verb	Mk 11:27,2 Th 3:6
περιπατοῦμεν	περιπατέω	pres	actv	indicative	1p	—	—	pl	verb	2 Co 5:7
περιπατεῖτε	περιπατέω	pres	actv	imperative	2p	—	—	pl	verb	Ga 5:16,Eph 5:2,Eph 5:8,Col 2:6,Col 4:5,Jn 12:35
περιπατῇ	περιπατέω	pres	actv	subjunctive	3p	—	—	sg	verb	Jn 11:9,Jn 11:10,Re 16:15
περιπατοῦσιν	περιπατέω	pres	actv	participle	—	mas	dat	pl	verb	Mk 16:12,Ro 8:4
περιπατήσουσιν	περιπατέω	futr	actv	indicative	3p	—	—	pl	verb	Re 3:4,Re 21:24
περιπατεῖν	περιπατέω	pres	actv	infinitive	—	—	—	—	verb	Mk 12:38,Lk 20:46,Jn 7:1,Ac 3:12,Ac 21:21,Eph 4:17,1 Th 2:12,1 Th 4:1,1 Jn 2:6,Re 9:20
περιπατοῦντι	περιπατέω	pres	actv	participle	—	mas	dat	sg	verb	Jn 1:36
περιεπάτεις	περιπατέω	impft	actv	indicative	2p	—	—	sg	verb	Jn 21:18
περιεπατήσαμεν	περιπατέω	aor	actv	indicative	1p	—	—	pl	verb	2 Co 12:18
περιπατῶμεν	περιπατέω	pres	actv	subjunctive	1p	—	—	pl	verb	1 Jn 1:6,1 Jn 1:7,2 Jn 6
περιπατήσῃ	περιπατέω	aor	actv	subjunctive	3p	—	—	sg	verb	Jn 8:12
περιπατεῖτε	περιπατέω	pres	actv	indicative	2p	—	—	pl	verb	1 Co 3:3,Eph 5:15,1 Th 4:1
περιπατοῦντα	περιπατέω	pres	actv	participle	—	mas	acc	sg	verb	Mt 14:26,Mk 6:49,Jn 6:19,Ac 3:9
περιπατείτω	περιπατέω	pres	actv	imperative	3p	—	—	sg	verb	1 Co 7:17
περιεπάτει	περιπατέω	impft	actv	indicative	3p	—	—	sg	verb	Mk 5:42,Jn 5:9,Jn 7:1,Jn 10:23,Jn 11:54,Ac 3:8,Ac 14:10
Περιπατῶν	περιπατέω	pres	actv	participle	—	mas	nom	sg	verb	Mt 4:18
περιπατῆσαι	περιπατέω	aor	actv	infinitive	—	—	—	—	verb	Eph 4:1,Col 1:10
περιπατοῦντας	περιπατέω	pres	actv	participle	—	mas	acc	pl	verb	Mt 15:31,Mk 8:24,2 Co 10:2,Php 3:17,2 Th 3:11,2 Jn 4
