Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
περισσευθήσεται	περισσεύω	futr	pass	indicative	3p	—	—	sg	verb	Mt 13:12,Mt 25:29
ἐπερίσσευον	περισσεύω	impft	actv	indicative	3p	—	—	pl	verb	Ac 16:5
περισσεύοντος	περισσεύω	pres	actv	participle	—	neu	gen	sg	verb	Mk 12:44,Lk 21:4
περισσεῦον	περισσεύω	pres	actv	participle	—	neu	acc	sg	verb	Mt 14:20,Mt 15:37
περισσεύουσα	περισσεύω	pres	actv	participle	—	fem	nom	sg	verb	2 Co 9:12
περισσεῦσαν	περισσεύω	aor	actv	participle	—	neu	nom	sg	verb	Lk 9:17
περισσεύητε	περισσεύω	pres	actv	subjunctive	2p	—	—	pl	verb	1 Co 14:12,2 Co 8:7,2 Co 9:8,1 Th 4:1
περισσεύειν	περισσεύω	pres	actv	infinitive	—	—	—	—	verb	Lk 12:15,Ro 15:13,Php 4:12,Php 4:12,1 Th 4:10
περισσεύοντες	περισσεύω	pres	actv	participle	—	mas	nom	pl	verb	1 Co 15:58,Col 2:7
περισσεύομεν	περισσεύω	pres	actv	indicative	1p	—	—	pl	verb	1 Co 8:8
περισσεύσῃ	περισσεύω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 5:20,2 Co 4:15
περισσεύω	περισσεύω	pres	actv	indicative	1p	—	—	sg	verb	Php 4:18
περισσεύῃ	περισσεύω	pres	actv	subjunctive	3p	—	—	sg	verb	Php 1:9,Php 1:26
περισσεύετε	περισσεύω	pres	actv	indicative	2p	—	—	pl	verb	2 Co 8:7
περισσεύσαντα	περισσεύω	aor	actv	participle	—	neu	acc	pl	verb	Jn 6:12
περισσεύει	περισσεύω	pres	actv	indicative	3p	—	—	sg	verb	2 Co 1:5,2 Co 1:5,2 Co 3:9
περισσεῦσαι	περισσεύω	aor	actv	infinitive	—	—	—	—	verb	2 Co 9:8
περισσεύσαι	περισσεύω	aor	actv	optative	3p	—	—	sg	verb	1 Th 3:12
ἐπερίσσευσεν	περισσεύω	aor	actv	indicative	3p	—	—	sg	verb	Ro 3:7,Ro 5:15,2 Co 8:2,Eph 1:8
ἐπερίσσευσαν	περισσεύω	aor	actv	indicative	3p	—	—	pl	verb	Jn 6:13
περισσεύονται	περισσεύω	pres	mid	indicative	3p	—	—	pl	verb	Lk 15:17
