Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀνεῴχθη	ἀνοίγω	aor	pass	indicative	3p	—	—	sg	verb	Lk 1:64
ἠνοίχθη	ἀνοίγω	aor	pass	indicative	3p	—	—	sg	verb	Re 20:12
ἀνοῖξαι	ἀνοίγω	aor	actv	infinitive	—	—	—	—	verb	Jn 10:21,Ac 26:18,Re 5:2,Re 5:3,Re 5:4,Re 5:5,Re 5:9
ἀνεῳγμένης	ἀνοίγω	perfect	pass	participle	—	fem	gen	sg	verb	2 Co 2:12
ἀνεῳγμένος	ἀνοίγω	perfect	pass	participle	—	mas	nom	sg	verb	Ro 3:13
ἀνεῳγμένων	ἀνοίγω	perfect	pass	participle	—	mas	gen	pl	verb	Ac 9:8
ἀνεῳγμένον	ἀνοίγω	perfect	pass	participle	—	mas	acc	sg	verb	Ac 10:11
ἠνεῳγμένη	ἀνοίγω	perfect	pass	participle	—	fem	nom	sg	verb	Re 4:1
ἠνοίχθησαν	ἀνοίγω	aor	pass	indicative	3p	—	—	pl	verb	Re 20:12
ἄνοιξον	ἀνοίγω	aor	actv	imperative	2p	—	—	sg	verb	Mt 25:11,Lk 13:25
ἠνέῳξέν	ἀνοίγω	aor	actv	indicative	3p	—	—	sg	verb	Jn 9:17,Jn 9:32
ἀνοιγήσεται	ἀνοίγω	futr	pass	indicative	3p	—	—	sg	verb	Mt 7:7,Mt 7:8,Lk 11:9,Lk 11:10
ἠνεῳγμένον	ἀνοίγω	perfect	pass	participle	—	neu	acc	sg	verb	Re 10:2,Re 10:8
ἀνέῳξεν	ἀνοίγω	aor	actv	indicative	3p	—	—	sg	verb	Jn 9:14
ἠνεῴχθησαν	ἀνοίγω	aor	pass	indicative	3p	—	—	pl	verb	Mt 3:16,Mt 9:30,Ac 16:26
ἀνοίξῃ	ἀνοίγω	aor	actv	subjunctive	3p	—	—	sg	verb	Col 4:3,Re 3:20
ἀνοίγειν	ἀνοίγω	pres	actv	infinitive	—	—	—	—	verb	Ac 18:14
ἀνεῳγμένας	ἀνοίγω	perfect	pass	participle	—	fem	acc	pl	verb	Ac 16:27
ἀνοίξας	ἀνοίγω	aor	actv	participle	—	mas	nom	sg	verb	Mt 17:27,Jn 11:37,Ac 5:19,Mt 5:2,Ac 8:35
ἀνοιγῶσιν	ἀνοίγω	aor	pass	subjunctive	3p	—	—	pl	verb	Mt 20:33
ἀνεῴχθησαν	ἀνοίγω	aor	pass	indicative	3p	—	—	pl	verb	Mt 27:52
ἠνοίγησαν	ἀνοίγω	aor	pass	indicative	3p	—	—	pl	verb	Mk 7:35
ἠνεῳγμένον	ἀνοίγω	perfect	pass	participle	—	mas	acc	sg	verb	Re 19:11
ἀνοίξωσιν	ἀνοίγω	aor	actv	subjunctive	3p	—	—	pl	verb	Lk 12:36
ἀνέῳγεν	ἀνοίγω	perfect	actv	indicative	3p	—	—	sg	verb	1 Co 16:9,2 Co 6:11
ἠνεῴχθησάν	ἀνοίγω	aor	pass	indicative	3p	—	—	pl	verb	Jn 9:10
ἀνεῳγότα	ἀνοίγω	perfect	active, passive	participle	—	mas	acc	sg	verb	Jn 1:51
ἀνοίγει	ἀνοίγω	pres	actv	indicative	3p	—	—	sg	verb	Jn 10:3,Re 3:7,Ac 8:32
ἤνοιξεν	ἀνοίγω	aor	actv	indicative	3p	—	—	sg	verb	Jn 9:21,Ac 9:40,Ac 12:14,Ac 14:27,Re 6:1,Re 6:3,Re 6:5,Re 6:7,Re 6:9,Re 6:12,Re 8:1,Re 9:2,Re 12:16,Re 13:6
ἠνεῳγμένην	ἀνοίγω	perfect	pass	participle	—	fem	acc	sg	verb	Re 3:8
ἀνοίγων	ἀνοίγω	pres	actv	participle	—	mas	nom	sg	verb	Re 3:7
ἤνοιξέν	ἀνοίγω	aor	actv	indicative	3p	—	—	sg	verb	Jn 9:26,Jn 9:30
ἀνοίξω	ἀνοίγω	futr	actv	indicative	1p	—	—	sg	verb	Mt 13:35
Ἀνοίξας	ἀνοίγω	aor	actv	participle	—	mas	nom	sg	verb	Ac 10:34
ἀνεῳχθῆναι	ἀνοίγω	aor	pass	infinitive	—	—	—	—	verb	Lk 3:21
ἀνοίξαντες	ἀνοίγω	aor	actv	participle	—	mas	nom	pl	verb	Mt 2:11,Ac 5:23,Ac 12:16
ἠνοίγη	ἀνοίγω	aor	pass	indicative	3p	—	—	sg	verb	Ac 12:10,Re 11:19,Re 15:5
