Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀπολύσῃ	ἀπολύω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 5:31,Mt 14:22,Mt 19:9,Mk 10:11,Mk 15:11
ἀπολύσω	ἀπολύω	futr	actv	indicative	1p	—	—	sg	verb	Lk 23:16,Lk 23:22
ἀπολύων	ἀπολύω	pres	actv	participle	—	mas	nom	sg	verb	Mt 5:32,Lk 16:18
ἀπολύσῃς	ἀπολύω	aor	actv	subjunctive	2p	—	—	sg	verb	Jn 19:12
ἀπόλυσον	ἀπολύω	aor	actv	imperative	2p	—	—	sg	verb	Mt 14:15,Mt 15:23,Mk 6:36,Lk 9:12,Lk 23:18,Ac 16:35
ἀπολύεις	ἀπολύω	pres	actv	indicative	2p	—	—	sg	verb	Lk 2:29
ἀπελύοντο	ἀπολύω	impft	mid	indicative	3p	—	—	pl	verb	Ac 28:25
ἀπολέλυσαι	ἀπολύω	perfect	pass	indicative	2p	—	—	sg	verb	Lk 13:12
ἀπολύσας	ἀπολύω	aor	actv	participle	—	mas	nom	sg	verb	Mt 14:23,Mt 15:39
Ἀπολυθέντες	ἀπολύω	aor	pass	participle	—	mas	nom	pl	verb	Ac 4:23
ἀπολυθέντες	ἀπολύω	aor	pass	participle	—	mas	nom	pl	verb	Ac 15:30
ἀπελύθησαν	ἀπολύω	aor	pass	indicative	3p	—	—	pl	verb	Ac 15:33
ἀπολῦσαί	ἀπολύω	aor	actv	infinitive	—	—	—	—	verb	Jn 19:10
ἀπολελυμένην	ἀπολύω	perfect	pass	participle	—	fem	acc	sg	verb	Mt 5:32,Lk 16:18
ἀπολελυμένον	ἀπολύω	perfect	pass	participle	—	mas	acc	sg	verb	Heb 13:23
ἀπολύσασα	ἀπολύω	aor	actv	participle	—	fem	nom	sg	verb	Mk 10:12
ἀπολύετε	ἀπολύω	pres	actv	imperative	2p	—	—	pl	verb	Lk 6:37
ἀπολύσω	ἀπολύω	aor	actv	subjunctive	1p	—	—	sg	verb	Mt 27:17,Mt 27:21,Mk 8:3,Mk 15:9,Jn 18:39,Jn 18:39
ἀπολυθήσεσθε	ἀπολύω	futr	pass	indicative	2p	—	—	pl	verb	Lk 6:37
ἀπολυθῆτε	ἀπολύω	aor	pass	subjunctive	2p	—	—	pl	verb	Ac 16:36
ἀπολελύσθαι	ἀπολύω	perfect	pass	infinitive	—	—	—	—	verb	Ac 26:32
ἀπέλυσαν	ἀπολύω	aor	actv	indicative	3p	—	—	pl	verb	Ac 4:21,Ac 5:40,Ac 13:3,Ac 17:9
ἀπολύειν	ἀπολύω	pres	actv	infinitive	—	—	—	—	verb	Mt 27:15,Ac 3:13
ἀπολῦσαι	ἀπολύω	aor	actv	infinitive	—	—	—	—	verb	Mt 1:19,Mt 15:32,Mt 19:3,Mt 19:7,Mt 19:8,Mk 10:2,Mk 10:4,Lk 23:20,Jn 19:12,Ac 28:18
ἀπέλυεν	ἀπολύω	impft	actv	indicative	3p	—	—	sg	verb	Mk 15:6
ἀπολύει	ἀπολύω	pres	actv	indicative	3p	—	—	sg	verb	Mk 6:45
ἀπέλυσεν	ἀπολύω	aor	actv	indicative	3p	—	—	sg	verb	Mt 18:27,Mt 27:26,Mk 8:9,Mk 15:15,Lk 8:38,Lk 14:4,Lk 23:25,Ac 19:40,Ac 23:22
