Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἔκβαλε	ἐκβάλλω	aor	actv	imperative	2p	—	—	sg	verb	Mt 7:5,Mk 9:47,Lk 6:42,Ga 4:30,Re 11:2
ἐκβαλοῦσα	ἐκβάλλω	aor	actv	participle	—	fem	nom	sg	verb	Jas 2:25
ἐκβάλω	ἐκβάλλω	aor	actv	subjunctive	1p	—	—	sg	verb	Mt 7:4,Lk 6:42,Jn 6:37
ἐκβαλοῦσιν	ἐκβάλλω	futr	actv	indicative	3p	—	—	pl	verb	Mk 16:17
ἐκβάλλεις	ἐκβάλλω	pres	actv	indicative	2p	—	—	sg	verb	Mt 8:31
ἐκβαλλομένους	ἐκβάλλω	pres	pass	participle	—	mas	acc	pl	verb	Lk 13:28
ἐκβληθήσονται	ἐκβάλλω	futr	pass	indicative	3p	—	—	pl	verb	Mt 8:12
ἐκβάλετε	ἐκβάλλω	aor	actv	imperative	2p	—	—	pl	verb	Mt 22:13,Mt 25:30
ἐκβαλόντες	ἐκβάλλω	aor	actv	participle	—	mas	nom	pl	verb	Lk 20:15,Ac 7:58
ἐκβάλλοντα	ἐκβάλλω	pres	actv	participle	—	mas	acc	sg	verb	Mk 9:38,Lk 9:49
ἐξέβαλλον	ἐκβάλλω	impft	actv	indicative	3p	—	—	pl	verb	Mk 6:13
ἐκβληθέντος	ἐκβάλλω	aor	pass	participle	—	neu	gen	sg	verb	Mt 9:33
ἐξεβλήθη	ἐκβάλλω	aor	pass	indicative	3p	—	—	sg	verb	Mt 9:25
ἐκβληθήσεται	ἐκβάλλω	futr	pass	indicative	3p	—	—	sg	verb	Jn 12:31
ἐκβάλλων	ἐκβάλλω	pres	actv	participle	—	mas	nom	sg	verb	Mk 1:39,Lk 11:14
ἐκβαλεῖν	ἐκβάλλω	aor	actv	infinitive	—	—	—	—	verb	Mt 7:5,Mt 17:19,Mk 9:28,Lk 6:42
ἐκβαλλόμενοι	ἐκβάλλω	pres	mid	participle	—	mas	nom	pl	verb	Ac 27:38
ἐκβάλωσιν	ἐκβάλλω	aor	actv	subjunctive	3p	—	—	pl	verb	Mk 9:18,Lk 6:22,Lk 9:40
ἐκβαλὼν	ἐκβάλλω	aor	actv	participle	—	mas	nom	sg	verb	Mk 5:40,Lk 10:35,Ac 9:40
ἐκβεβλήκει	ἐκβάλλω	pluperfect	actv	indicative	3p	—	—	sg	verb	Mk 16:9
ἐκβάλλετε	ἐκβάλλω	pres	actv	imperative	2p	—	—	pl	verb	Mt 10:8
ἐκβάλλειν	ἐκβάλλω	pres	actv	infinitive	—	—	—	—	verb	Mt 10:1,Mk 3:15,Mk 3:23,Mk 11:15,Lk 11:18,Lk 19:45
ἐξέβαλον	ἐκβάλλω	aor	actv	indicative	3p	—	—	pl	verb	Mt 21:39,Mk 12:8,Lk 4:29,Lk 20:12,Jn 9:34,Jn 9:35,Ac 13:50
ἐξέβαλεν	ἐκβάλλω	aor	actv	indicative	3p	—	—	sg	verb	Mt 8:16,Mt 21:12,Mk 1:34,Mk 1:43,Jn 2:15
ἐκβάλλει	ἐκβάλλω	pres	actv	indicative	3p	—	—	sg	verb	Mt 9:34,Mt 12:24,Mt 12:26,Mt 12:35,Mt 12:35,Mt 13:52,Mk 1:12,Mk 3:22,Lk 11:15,3 Jn 10
ἐκβάλλεται	ἐκβάλλω	pres	pass	indicative	3p	—	—	sg	verb	Mt 15:17
ἐκβάλῃ	ἐκβάλλω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 9:38,Mt 12:20,Mk 7:26,Lk 10:2,Jn 10:4
ἐξεβάλομεν	ἐκβάλλω	aor	actv	indicative	1p	—	—	pl	verb	Mt 7:22
ἐκβάλλουσιν	ἐκβάλλω	pres	actv	indicative	3p	—	—	pl	verb	Mt 12:27,Lk 11:19,Ac 16:37
ἐκβάλλω	ἐκβάλλω	pres	actv	indicative	1p	—	—	sg	verb	Mt 12:27,Mt 12:28,Lk 11:19,Lk 11:20,Lk 13:32
