Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ὑποτεταγμένα	ὑποτάσσω	perfect	pass	participle	—	neu	acc	pl	verb	Heb 2:8
ὑποτασσομένας	ὑποτάσσω	pres	pass	participle	—	fem	acc	pl	verb	Tt 2:5
ὑποταγήσεται	ὑποτάσσω	futr	pass	indicative	3p	—	—	sg	verb	1 Co 15:28
ὑποτασσέσθωσαν	ὑποτάσσω	pres	pass	imperative	3p	—	—	pl	verb	1 Co 14:34
Ὑποτασσόμενοι	ὑποτάσσω	pres	pass	participle	—	mas	nom	pl	verb	Eph 5:21
ὑπέταξας	ὑποτάσσω	aor	actv	indicative	2p	—	—	sg	verb	Heb 2:8
ὑποτέτακται	ὑποτάσσω	perfect	pass	indicative	3p	—	—	sg	verb	1 Co 15:27
ὑποτάξαντα	ὑποτάσσω	aor	actv	participle	—	mas	acc	sg	verb	Ro 8:20
ὑποτάσσησθε	ὑποτάσσω	pres	pass	subjunctive	2p	—	—	pl	verb	1 Co 16:16
ὑποτάσσεται	ὑποτάσσω	pres	pass	indicative	3p	—	—	sg	verb	Lk 10:17,Lk 10:20,Ro 8:7,1 Co 14:32,Eph 5:24
ὑποταγέντων	ὑποτάσσω	aor	pass	participle	—	mas	gen	pl	verb	1 Pe 3:22
Ὑποτάγητε	ὑποτάσσω	aor	pass	imperative	2p	—	—	pl	verb	1 Pe 2:13
ὑποταγῇ	ὑποτάσσω	aor	pass	subjunctive	3p	—	—	sg	verb	1 Co 15:28
ὑπετάγησαν	ὑποτάσσω	aor	pass	indicative	3p	—	—	pl	verb	Ro 10:3
ὑποτάξαι	ὑποτάσσω	aor	actv	infinitive	—	—	—	—	verb	Php 3:21,Heb 2:8
ὑποτασσέσθω	ὑποτάσσω	pres	passive, middle	imperative	3p	—	—	sg	verb	Ro 13:1
ὑποτάσσεσθαι	ὑποτάσσω	pres	passive, middle	infinitive	—	—	—	—	verb	Ro 13:5,Tt 2:9,Tt 3:1
ὑποταγησόμεθα	ὑποτάσσω	futr	pass	indicative	1p	—	—	pl	verb	Heb 12:9
ὑπέταξεν	ὑποτάσσω	aor	actv	indicative	3p	—	—	sg	verb	1 Co 15:27,Eph 1:22,Heb 2:5
ὑποτασσόμενος	ὑποτάσσω	pres	pass	participle	—	mas	nom	sg	verb	Lk 2:51
ὑποτάξαντι	ὑποτάσσω	aor	actv	participle	—	mas	dat	sg	verb	1 Co 15:28
ὑποτάξαντος	ὑποτάσσω	aor	actv	participle	—	mas	gen	sg	verb	1 Co 15:27
ὑπετάγη	ὑποτάσσω	aor	pass	indicative	3p	—	—	sg	verb	Ro 8:20
ὑποτάσσεσθε	ὑποτάσσω	pres	mid	imperative	2p	—	—	pl	verb	Col 3:18
ὑποτασσόμεναι	ὑποτάσσω	pres	pass	participle	—	fem	nom	pl	verb	1 Pe 3:1,1 Pe 3:5
ὑποτάγητε	ὑποτάσσω	aor	pass	imperative	2p	—	—	pl	verb	Jas 4:7,1 Pe 5:5
ὑποτασσόμενοι	ὑποτάσσω	pres	pass	participle	—	mas	nom	pl	verb	1 Pe 2:18
