Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
εὑρήσομεν	εὑρίσκω	futr	actv	indicative	1p	—	—	pl	verb	Jn 7:35
εὗρον	εὑρίσκω	aor	actv	indicative	1p	—	—	sg	verb	Mt 8:10,Lk 7:9,Lk 15:6,Lk 15:9,Lk 23:14,Lk 23:22,Ac 13:22,Ac 17:23,Ac 23:29
εὑρών	εὑρίσκω	aor	actv	participle	—	mas	nom	sg	verb	Ac 12:19,Ac 18:2
εὑρέθη	εὑρίσκω	aor	pass	indicative	3p	—	—	sg	verb	Mt 1:18,Lk 9:36,Lk 15:24,Lk 15:32,Ac 8:40,Ro 7:10,1 Pe 2:22,Re 5:4,Re 12:8,Re 14:5,Re 18:24,Re 20:11,Re 20:15
εὕρηκά	εὑρίσκω	perfect	actv	indicative	1p	—	—	sg	verb	Re 3:2
εὑρισκόμεθα	εὑρίσκω	pres	pass	indicative	1p	—	—	pl	verb	1 Co 15:15
εὑρεθήσεται	εὑρίσκω	futr	pass	indicative	3p	—	—	sg	verb	2 Pe 3:10
εὑράμενος	εὑρίσκω	aor	mid	participle	—	mas	nom	sg	verb	Heb 9:12
εὑρήσετε	εὑρίσκω	futr	actv	indicative	2p	—	—	pl	verb	Mt 7:7,Mt 11:29,Mt 21:2,Mk 11:2,Lk 2:12,Lk 11:9,Lk 19:30,Jn 21:6
εὕρῃ	εὑρίσκω	aor	actv	subjunctive	3p	—	—	sg	verb	Mk 13:36,Lk 12:38,Lk 15:4,Lk 15:8,Ac 9:2
εὑρόντες	εὑρίσκω	aor	actv	participle	—	mas	nom	pl	verb	Lk 2:45,Lk 5:19,Jn 6:25,Ac 13:28,Ac 17:6,Ac 21:2,Ac 24:5,Ac 28:14
εὑρίσκει	εὑρίσκω	pres	actv	indicative	3p	—	—	sg	verb	Mt 7:8,Mt 12:43,Mt 12:44,Mt 26:40,Mk 14:37,Lk 11:10,Lk 11:25,Jn 1:41,Jn 1:43,Jn 1:45,Jn 5:14,Ac 10:27
εὑρεθῶσιν	εὑρίσκω	aor	pass	subjunctive	3p	—	—	pl	verb	2 Co 11:12
