Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
Ἔλαβον	λαμβάνω	aor	actv	indicative	3p	—	—	pl	verb	Heb 11:35
λάβωσιν	λαμβάνω	aor	actv	subjunctive	3p	—	—	pl	verb	Ac 8:15,1 Co 9:25,Heb 9:15
λάβωμεν	λαμβάνω	aor	actv	subjunctive	1p	—	—	pl	verb	Ga 3:14,Heb 4:16
λάβετε	λαμβάνω	aor	actv	imperative	2p	—	—	pl	verb	Mt 26:26,Mk 14:22,Lk 22:17,Jn 18:31,Jn 19:6,Jn 20:22,Jas 5:10
ἔλαβον	λαμβάνω	aor	actv	indicative	3p	—	—	pl	verb	Mt 20:9,Mt 20:10,Mt 25:3,Mt 25:4,Mt 27:30,Mk 14:65,Jn 1:12,Jn 12:13,Jn 17:8,Jn 19:23,Jn 19:40,Ac 10:47,Heb 11:36,Re 17:12,Re 20:4,Mt 12:14,Mt 22:15,Mt 27:1
λάβοι	λαμβάνω	aor	actv	optative	3p	—	—	sg	verb	Ac 25:16
λαμβάνετε	λαμβάνω	pres	actv	indicative	2p	—	—	pl	verb	Jn 3:11,2 Co 11:4,Jas 4:3
λαμβανόμενον	λαμβάνω	pres	pass	participle	—	neu	nom	sg	verb	1 Ti 4:4
λαμβάνοντες	λαμβάνω	pres	actv	participle	—	mas	nom	pl	verb	Mt 17:24,Jn 5:44,Ro 5:17,Heb 7:5,3 Jn 7
λαμβάνω	λαμβάνω	pres	actv	indicative	1p	—	—	sg	verb	Jn 5:34,Jn 5:41
λαβεῖν	λαμβάνω	aor	actv	infinitive	—	—	—	—	verb	Mt 5:40,Mt 15:26,Mt 16:5,Mt 21:34,Mk 7:27,Mk 8:14,Lk 6:34,Lk 19:12,Jn 6:21,Jn 10:18,Jn 14:17,Ac 1:25,Ac 3:3,Ac 3:5,Ac 10:43,Ac 15:14,Ac 26:18,Heb 10:26,Re 4:11,Re 5:9,Re 5:12,Re 6:4
εἴληφα	λαμβάνω	perfect	actv	indicative	1p	—	—	sg	verb	Re 2:28
λαμβάνουσιν	λαμβάνω	pres	actv	indicative	3p	—	—	pl	verb	Mt 17:25,Mk 4:16,Heb 7:8,Re 17:12
λαβοῦσα	λαμβάνω	aor	actv	participle	—	fem	nom	sg	verb	Mt 13:33,Lk 13:21,Jn 12:3,Ro 7:8,Ro 7:11,Heb 2:3
λαμβάνετε	λαμβάνω	pres	actv	imperative	2p	—	—	pl	verb	2 Jn 10
λαμβάνων	λαμβάνω	pres	actv	participle	—	mas	nom	sg	verb	Mt 13:20,Jn 12:48,Jn 13:20,Jn 13:20,Heb 7:9,Re 2:17
λαβοῦσαι	λαμβάνω	aor	actv	participle	—	fem	nom	pl	verb	Mt 25:1,Mt 25:3
λάβητε	λαμβάνω	aor	actv	subjunctive	2p	—	—	pl	verb	Re 18:4
εἴληφας	λαμβάνω	perfect	actv	indicative	2p	—	—	sg	verb	Re 3:3,Re 11:17
λαβόντας	λαμβάνω	aor	actv	participle	—	mas	acc	pl	verb	Re 19:20
λαμβάνετέ	λαμβάνω	pres	actv	indicative	2p	—	—	pl	verb	Jn 5:43
λήμψεσθε	λαμβάνω	futr	mid	indicative	2p	—	—	pl	verb	Mt 21:22,Jn 5:43,Jn 16:24,Ac 1:8,Ac 2:38
λαβόντες	λαμβάνω	aor	actv	participle	—	mas	nom	pl	verb	Mt 20:11,Mt 21:35,Mt 21:39,Mt 26:52,Mt 27:6,Mt 28:15,Mk 12:3,Mk 12:8,Ac 9:25,Ac 17:9,Ac 17:15,Heb 11:13,Mt 27:7,Mt 28:12,Heb 11:29
λαμβανόμενος	λαμβάνω	pres	pass	participle	—	mas	nom	sg	verb	Heb 5:1
λαβέτω	λαμβάνω	aor	actv	imperative	3p	—	—	sg	verb	Ac 1:20,Re 22:17
ἔλαβον	λαμβάνω	aor	actv	indicative	third person, first person	—	—	plural, singular	verb	Mt 27:9
λαμβάνειν	λαμβάνω	pres	actv	infinitive	—	—	—	—	verb	Jn 3:27,Jn 7:39,Ac 20:35,Heb 11:8
λαμβάνεις	λαμβάνω	pres	actv	indicative	2p	—	—	sg	verb	Lk 20:21
λαβὼν	λαμβάνω	aor	actv	participle	—	mas	nom	sg	verb	Mt 13:31,Mt 14:19,Mt 17:27,Mt 25:16,Mt 25:18,Mt 25:20,Mt 26:26,Mt 26:27,Mt 27:24,Mt 27:48,Mt 27:59,Mk 6:41,Mk 8:6,Mk 9:36,Mk 14:22,Mk 14:23,Lk 6:4,Lk 9:16,Lk 13:19,Lk 20:29,Lk 22:19,Lk 24:30,Lk 24:43,Jn 3:33,Jn 13:4,Jn 13:30,Jn 18:3,Ac 2:33,Ac 9:19,Ac 16:3,Ac 16:24,Ac 26:10,Ac 27:35,2 Co 11:8,2 Ti 1:5,Heb 9:19,2 Pe 1:9,2 Pe 1:17
ἔλαβες	λαμβάνω	aor	actv	indicative	2p	—	—	sg	verb	1 Co 4:7,1 Co 4:7
ἐλάβετε	λαμβάνω	aor	actv	indicative	2p	—	—	pl	verb	Mt 10:8,Mt 16:9,Mt 16:10,Mk 11:24,Ac 7:53,Ac 19:2,Ro 8:15,Ro 8:15,2 Co 11:4,Ga 3:2,Col 4:10,1 Jn 2:27
ἐλάμβανον	λαμβάνω	impft	actv	indicative	3p	—	—	pl	verb	Ac 8:17
εἰληφὼς	λαμβάνω	perfect	actv	participle	—	mas	nom	sg	verb	Mt 25:24
λήμψονται	λαμβάνω	futr	mid	indicative	3p	—	—	pl	verb	Mt 20:10,Mk 12:40,Lk 20:47,Ro 13:2
εἴληφεν	λαμβάνω	perfect	actv	indicative	3p	—	—	sg	verb	1 Co 10:13,Re 5:7,Re 8:5
λάβῃ	λαμβάνω	aor	actv	subjunctive	3p	—	—	sg	verb	Mk 10:30,Mk 12:2,Mk 12:19,Lk 20:28,Jn 6:7,1 Co 14:5,Jas 5:7,Re 3:11
ἔλαβεν	λαμβάνω	aor	actv	indicative	3p	—	—	sg	verb	Mt 8:17,Mt 15:36,Mk 12:20,Mk 12:21,Mk 15:23,Lk 5:26,Lk 7:16,Lk 20:31,Jn 6:11,Jn 19:1,Jn 19:27,Jn 19:30,Ac 24:27,Ro 4:11,1 Co 11:23,Heb 2:2,Heb 11:11,1 Pe 4:10,Re 5:8,Jn 13:12,Ac 28:15
λαβόντα	λαμβάνω	aor	actv	participle	—	mas	acc	sg	verb	Lk 19:15
λημψόμεθα	λαμβάνω	futr	mid	indicative	1p	—	—	pl	verb	Jas 3:1
ἐλάβομεν	λαμβάνω	aor	actv	indicative	1p	—	—	pl	verb	Mt 16:7,Lk 5:5,Jn 1:16,Ro 1:5,Ro 5:11,1 Co 2:12,2 Jn 4
λάβω	λαμβάνω	aor	actv	subjunctive	1p	—	—	sg	verb	Jn 10:17
ἔλαβον	λαμβάνω	aor	actv	indicative	1p	—	—	sg	verb	Jn 10:18,Ac 20:24,2 Co 11:24,2 Co 12:16,Php 3:12,Re 10:10
λαμβάνει	λαμβάνω	pres	actv	indicative	3p	—	—	sg	verb	Mt 7:8,Lk 9:39,Lk 11:10,Jn 3:32,Jn 4:36,Jn 7:23,Jn 13:20,Jn 13:20,Jn 13:26,Jn 16:15,Jn 21:13,1 Co 9:24,2 Co 11:20,Heb 5:4,Re 14:9,Re 14:11,Mt 10:38,Ga 2:6
λήμψεται	λαμβάνω	futr	mid	indicative	3p	—	—	sg	verb	Mt 10:41,Mt 10:41,Mt 19:29,Jn 16:14,1 Co 3:8,1 Co 3:14,Jas 1:12
λαμβάνῃ	λαμβάνω	pres	actv	subjunctive	3p	—	—	sg	verb	Ac 8:19
λαβών	λαμβάνω	aor	actv	participle	—	mas	nom	sg	verb	1 Co 4:7,Php 2:7
λήμψεταί	λαμβάνω	futr	mid	indicative	3p	—	—	sg	verb	Jas 1:7
λαμβάνομεν	λαμβάνω	pres	actv	indicative	1p	—	—	pl	verb	1 Jn 3:22,1 Jn 5:9
λάβε	λαμβάνω	aor	actv	imperative	2p	—	—	sg	verb	Re 10:8,Re 10:9
