Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
πίνων	πίνω	pres	actv	participle	—	mas	nom	sg	verb	Mt 11:19,Lk 7:34,Jn 4:13,Jn 6:54,Jn 6:56,1 Co 11:29,Mt 11:18,Lk 7:33
πίητε	πίνω	aor	actv	subjunctive	2p	—	—	pl	verb	Mt 6:25,Lk 12:29,Jn 6:53
πιεῖν	πίνω	aor	actv	infinitive	—	—	—	—	verb	Mt 20:22,Mt 27:34,Mt 27:34,Mk 10:38,Ac 23:12,Ac 23:21,Ro 14:21,Re 16:6
πίνουσιν	πίνω	pres	actv	indicative	3p	—	—	pl	verb	Lk 5:33
πεῖν	πίνω	aor	actv	infinitive	—	—	—	—	verb	Jn 4:7,Jn 4:9,Jn 4:10,1 Co 9:4,1 Co 10:7
πίνω	πίνω	pres	actv	subjunctive	1p	—	—	sg	verb	Mt 26:29,Mk 14:25
ἔπιεν	πίνω	aor	actv	indicative	3p	—	—	sg	verb	Jn 4:12,Ac 9:9
πίῃ	πίνω	aor	actv	subjunctive	3p	—	—	sg	verb	Lk 1:15,Jn 4:14
πίνοντες	πίνω	pres	actv	participle	—	mas	nom	pl	verb	Mt 24:38,Lk 10:7
πίνειν	πίνω	pres	actv	infinitive	—	—	—	—	verb	Mt 20:22,Lk 12:45,1 Co 10:21,1 Co 11:22
πίνετε	πίνω	pres	actv	indicative	2p	—	—	pl	verb	1 Co 10:31,Lk 5:30
ἐπίομεν	πίνω	aor	actv	indicative	1p	—	—	pl	verb	Lk 13:26
πίω	πίνω	aor	actv	subjunctive	1p	—	—	sg	verb	Mt 26:29,Mt 26:42,Mk 14:25,Lk 22:18,Jn 18:11,Lk 17:8
πίνητε	πίνω	pres	actv	subjunctive	2p	—	—	pl	verb	1 Co 11:25,1 Co 11:26,Lk 22:30
ἔπιον	πίνω	aor	actv	indicative	3p	—	—	pl	verb	Mk 14:23,1 Co 10:4
πίετε	πίνω	aor	actv	imperative	2p	—	—	pl	verb	Mt 26:27
πίεσαι	πίνω	futr	mid	indicative	2p	—	—	sg	verb	Lk 17:8
πιὼν	πίνω	aor	actv	participle	—	mas	nom	sg	verb	Lk 5:39
πινέτω	πίνω	pres	actv	imperative	3p	—	—	sg	verb	Jn 7:37,1 Co 11:28
πίεσθε	πίνω	futr	mid	indicative	2p	—	—	pl	verb	Mt 20:23,Mk 10:39
πίνω	πίνω	pres	actv	indicative	1p	—	—	sg	verb	Mk 10:38,Mk 10:39
πίνει	πίνω	pres	actv	indicative	3p	—	—	sg	verb	1 Co 11:29
πιοῦσα	πίνω	aor	actv	participle	—	fem	nom	sg	verb	Heb 6:7
πέπωκαν	πίνω	perfect	actv	indicative	3p	—	—	pl	verb	Re 18:3
πίε	πίνω	aor	actv	imperative	2p	—	—	sg	verb	Lk 12:19
πίνῃ	πίνω	pres	actv	subjunctive	3p	—	—	sg	verb	1 Co 11:27,Mt 24:49
πίωμεν	πίνω	aor	actv	subjunctive	1p	—	—	pl	verb	Mt 6:31,1 Co 15:32
ἔπινον	πίνω	impft	actv	indicative	3p	—	—	pl	verb	Lk 17:27,Lk 17:28,1 Co 10:4
πίεται	πίνω	futr	mid	indicative	3p	—	—	sg	verb	Re 14:10
πίωσιν	πίνω	aor	actv	subjunctive	3p	—	—	pl	verb	Mk 16:18
