Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
πέσητε	πίπτω	aor	actv	subjunctive	2p	—	—	pl	verb	Jas 5:12
πεσοῦνται	πίπτω	futr	either middle or passive	indicative	3p	—	—	pl	verb	Mt 15:14,Mt 24:29,Lk 21:24,Re 4:10
πεσόντα	πίπτω	aor	actv	participle	—	mas	acc	sg	verb	Lk 10:18
πίπτοντες	πίπτω	pres	actv	participle	—	mas	nom	pl	verb	Mk 13:25
πεσεῖται	πίπτω	futr	mid	indicative	3p	—	—	sg	verb	Mt 10:29,Lk 14:5
ἔπιπτεν	πίπτω	impft	actv	indicative	3p	—	—	sg	verb	Mk 14:35
ἔπεσεν	πίπτω	aor	actv	indicative	3p	—	—	sg	verb	Mt 7:25,Mt 7:27,Mt 13:4,Mt 13:5,Mt 13:7,Mt 13:8,Mk 4:4,Mk 4:5,Mk 4:7,Mk 4:8,Lk 8:5,Lk 8:7,Lk 8:8,Lk 13:4,Jn 11:32,Ac 1:26,Ac 5:10,Ac 20:9,Heb 3:17,Re 8:10,Re 8:10,Re 11:13,Re 14:8,Re 14:8,Re 18:2,Re 18:2,Mt 26:39,Lk 17:16,Ac 13:11
ἔπεσα	πίπτω	aor	actv	indicative	1p	—	—	sg	verb	Re 1:17,Re 19:10,Re 22:8
πέπτωκας	πίπτω	perfect	actv	indicative	2p	—	—	sg	verb	Re 2:5
πεσόν	πίπτω	aor	actv	participle	—	neu	nom	sg	verb	Lk 8:14
πεσεῖν	πίπτω	aor	actv	infinitive	—	—	—	—	verb	Lk 16:17
πεπτωκότα	πίπτω	perfect	actv	participle	—	mas	acc	sg	verb	Re 9:1
πεσόντες	πίπτω	aor	actv	participle	—	mas	nom	pl	verb	Mt 2:11
πέσωσιν	πίπτω	aor	actv	subjunctive	3p	—	—	pl	verb	Ro 11:11
πεσὼν	πίπτω	aor	actv	participle	—	mas	nom	sg	verb	Mt 4:9,Mt 18:26,Mt 18:29,Mt 21:44,Mk 9:20,Lk 8:41,Lk 20:18,Jn 12:24,Ac 5:5,Ac 9:4,Ac 10:25,Lk 5:12,1 Co 14:25
πίπτει	πίπτω	pres	actv	indicative	3p	—	—	sg	verb	Mt 17:15,Mk 5:22,Lk 11:17,Ro 14:4,1 Co 13:8
πεπτωκυῖαν	πίπτω	perfect	actv	participle	—	fem	acc	sg	verb	Ac 15:16
πεσόντας	πίπτω	aor	actv	participle	—	mas	acc	pl	verb	Ro 11:22
πέσετε	πίπτω	aor	actv	imperative	2p	—	—	pl	verb	Lk 23:30,Re 6:16
ἔπεσαν	πίπτω	aor	actv	indicative	3p	—	—	pl	verb	Mt 17:6,Jn 18:6,1 Co 10:8,Heb 11:30,Re 5:8,Re 5:14,Re 6:13,Re 7:11,Re 16:19,Re 17:10,Re 19:4,Re 11:16
πέσῃ	πίπτω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 21:44,Lk 20:18,1 Co 10:12,Heb 4:11,Re 7:16
ἔπεσά	πίπτω	aor	actv	indicative	1p	—	—	sg	verb	Ac 22:7
πιπτόντων	πίπτω	pres	actv	participle	—	neu	gen	pl	verb	Mt 15:27,Lk 16:21
