Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀνέβημεν	ἀναβαίνω	aor	actv	indicative	1p	—	—	pl	verb	Ac 21:6
ἀναβήσεται	ἀναβαίνω	futr	mid	indicative	3p	—	—	sg	verb	Ro 10:6
ἀναβὰς	ἀναβαίνω	aor	actv	participle	—	mas	nom	sg	verb	Mt 15:29,Mk 15:8,Ac 18:22,Ac 20:11,Ac 25:9,Eph 4:8,Eph 4:10
ἀναβαινόντων	ἀναβαίνω	pres	actv	participle	—	mas	gen	pl	verb	Lk 2:42,Jn 12:20
ἀναβάντων	ἀναβαίνω	aor	actv	participle	—	mas	gen	pl	verb	Mt 14:32
ἀνέβησαν	ἀναβαίνω	aor	actv	indicative	3p	—	—	pl	verb	Mt 13:7,Mk 4:7,Lk 18:10,Jn 7:10,Jn 11:55,Ac 1:13,Ac 8:39,Ac 10:4,Re 11:12,Re 20:9
ἀνάβητε	ἀναβαίνω	aor	actv	imperative	2p	—	—	pl	verb	Jn 7:8
ἀνάβα	ἀναβαίνω	aor	actv	imperative	2p	—	—	sg	verb	Re 4:1
ἀναβάντες	ἀναβαίνω	aor	actv	participle	—	mas	nom	pl	verb	Lk 5:19
ἀνέβαινον	ἀναβαίνω	impft	actv	indicative	3p	—	—	pl	verb	Ac 3:1
ἀναβαίνοντα	ἀναβαίνω	pres	actv	participle	—	neuter, masculine	nominative, accusative	plural, singular	verb	Mk 4:8
ἀναβαίνουσιν	ἀναβαίνω	pres	actv	indicative	3p	—	—	pl	verb	Lk 24:38
ἀναβαίνομεν	ἀναβαίνω	pres	actv	indicative	1p	—	—	pl	verb	Mt 20:18,Mk 10:33,Lk 18:31
ἀναβαῖνον	ἀναβαίνω	pres	actv	participle	—	neu	acc	sg	verb	Re 13:1,Re 13:11
ἀναβαίνοντα	ἀναβαίνω	pres	actv	participle	—	mas	acc	sg	verb	Jn 6:62,Re 7:2
ἀνέβην	ἀναβαίνω	aor	actv	indicative	1p	—	—	sg	verb	Ac 24:11,Ga 2:1,Ga 2:2
ἀναβαίνοντες	ἀναβαίνω	pres	actv	participle	—	mas	nom	pl	verb	Mk 10:32
ἀναβαίνω	ἀναβαίνω	pres	actv	indicative	1p	—	—	sg	verb	Jn 7:8,Jn 20:17
Ἀνέβη	ἀναβαίνω	aor	actv	indicative	3p	—	—	sg	verb	Lk 2:4
ἀναβαίνων	ἀναβαίνω	pres	actv	participle	—	mas	nom	sg	verb	Mt 20:17,Mk 1:10,Lk 19:28,Jn 10:1
ἀναβάντα	ἀναβαίνω	aor	actv	participle	—	mas	acc	sg	verb	Mt 17:27,Ac 8:31
ἀναβαῖνον	ἀναβαίνω	pres	actv	participle	—	neu	nom	sg	verb	Re 11:7
ἀνέβη	ἀναβαίνω	aor	actv	indicative	3p	—	—	sg	verb	Mt 3:16,Mt 5:1,Mt 14:23,Mk 6:51,Lk 9:28,Lk 19:4,Jn 2:13,Jn 5:1,Jn 7:10,Jn 7:14,Jn 21:11,Ac 2:34,Ac 10:9,Ac 11:2,Ac 21:31,Ac 25:1,1 Co 2:9,Eph 4:9,Re 8:4,Re 9:2,Ac 7:23
ἀναβαίνειν	ἀναβαίνω	pres	actv	infinitive	—	—	—	—	verb	Ac 15:2,Ac 21:12,Re 17:8
ἀναβαίνει	ἀναβαίνω	pres	actv	indicative	3p	—	—	sg	verb	Mk 3:13,Mk 4:32,Re 14:11,Re 19:3
ἀναβέβηκα	ἀναβαίνω	perfect	actv	indicative	1p	—	—	sg	verb	Jn 20:17
ἀναβαίνοντας	ἀναβαίνω	pres	actv	participle	—	mas	acc	pl	verb	Jn 1:51
ἀναβέβηκεν	ἀναβαίνω	perfect	actv	indicative	3p	—	—	sg	verb	Jn 3:13
ἀνεβαίνομεν	ἀναβαίνω	impft	actv	indicative	1p	—	—	pl	verb	Ac 21:15
ἀνάβατε	ἀναβαίνω	aor	actv	imperative	2p	—	—	pl	verb	Re 11:12
