Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἀπέθανον	ἀποθνῄσκω	aor	actv	indicative	3p	—	—	pl	verb	Mt 8:32,Lk 20:31,Jn 6:49,Jn 6:58,Jn 8:53,Ro 5:15,2 Co 5:14,Heb 11:13,Heb 11:37,Re 8:11
ἀποθανὼν	ἀποθνῄσκω	aor	actv	participle	—	mas	nom	sg	verb	Ro 6:7,Heb 11:4
ἀποθανεῖσθε	ἀποθνῄσκω	futr	mid	indicative	2p	—	—	pl	verb	Jn 8:21,Jn 8:24,Jn 8:24
ἀποθνῄσκουσιν	ἀποθνῄσκω	pres	actv	indicative	3p	—	—	pl	verb	1 Co 15:22
ἀποθανόντες	ἀποθνῄσκω	aor	actv	participle	—	mas	nom	pl	verb	Ro 7:6
ἀποθνῄσκων	ἀποθνῄσκω	pres	actv	participle	—	mas	nom	sg	verb	Mk 12:20,Heb 11:21
ἀποθάνωμεν	ἀποθνῄσκω	aor	actv	subjunctive	1p	—	—	pl	verb	Jn 11:16
ἀποθανών	ἀποθνῄσκω	aor	actv	participle	—	mas	nom	sg	verb	Ro 8:34
ἀπεθάνετε	ἀποθνῄσκω	aor	actv	indicative	2p	—	—	pl	verb	Col 2:20,Col 3:3
ἀπέθανον	ἀποθνῄσκω	aor	actv	indicative	1p	—	—	sg	verb	Ro 7:10,Ga 2:19
ἀποθανεῖν	ἀποθνῄσκω	aor	actv	infinitive	—	—	—	—	verb	Mt 26:35,Lk 16:22,Lk 20:36,Jn 4:49,Jn 18:14,Jn 19:7,Ac 7:4,Ac 9:37,Ac 21:13,Ac 25:11,Ro 5:7,1 Co 9:15,Php 1:21,Heb 9:27,Re 3:2,Re 9:6
ἀποθνῄσκομεν	ἀποθνῄσκω	pres	actv	indicative	1p	—	—	pl	verb	Ro 14:8,1 Co 15:32
ἀποθνῄσκω	ἀποθνῄσκω	pres	actv	indicative	1p	—	—	sg	verb	1 Co 15:31
ἀπέθνῃσκεν	ἀποθνῄσκω	impft	actv	indicative	3p	—	—	sg	verb	Lk 8:42
ἀπέθανεν	ἀποθνῄσκω	aor	actv	indicative	3p	—	—	sg	verb	Mt 9:24,Mt 22:27,Mk 5:35,Mk 5:39,Mk 9:26,Mk 12:21,Mk 12:22,Mk 15:44,Lk 8:52,Lk 8:53,Lk 16:22,Lk 20:29,Lk 20:32,Jn 8:52,Jn 8:53,Jn 11:14,Jn 11:21,Jn 11:32,Ro 5:6,Ro 5:8,Ro 6:10,Ro 6:10,Ro 14:9,Ro 14:15,1 Co 8:11,1 Co 15:3,2 Co 5:14,2 Co 5:15,Ga 2:21,1 Th 4:14,Re 8:9,Re 16:3
ἀποθνῄσκωμεν	ἀποθνῄσκω	pres	actv	subjunctive	1p	—	—	pl	verb	Ro 14:8,Ro 14:8
ἀποθνῄσκοντες	ἀποθνῄσκω	pres	actv	participle	—	mas	nom	pl	verb	2 Co 6:9,Heb 7:8,Re 14:13
ἀποθανόντα	ἀποθνῄσκω	aor	actv	participle	—	neu	nom	pl	verb	Jud 12
ἀποθνῄσκειν	ἀποθνῄσκω	pres	actv	infinitive	—	—	—	—	verb	Jn 4:47,Jn 11:51,Jn 12:33,Jn 18:32,Ro 8:13
ἀποθάνῃ	ἀποθνῄσκω	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 22:24,Mk 12:19,Lk 20:28,Jn 6:50,Jn 11:25,Jn 11:26,Jn 11:37,Jn 11:50,Jn 12:24,Jn 12:24,Ro 7:2,Ro 7:3,1 Co 15:36
ἀποθανόντος	ἀποθνῄσκω	aor	actv	participle	—	mas	gen	sg	verb	1 Th 5:10
ἀποθανεῖται	ἀποθνῄσκω	futr	mid	indicative	3p	—	—	sg	verb	Ro 5:7
ἀποθνῄσκει	ἀποθνῄσκω	pres	actv	indicative	3p	—	—	sg	verb	Jn 21:23,Jn 21:23,Ro 6:9,Ro 14:7,Heb 10:28
ἀποθανόντι	ἀποθνῄσκω	aor	actv	participle	—	mas	dat	sg	verb	2 Co 5:15
ἀπεθάνομεν	ἀποθνῄσκω	aor	actv	indicative	1p	—	—	pl	verb	Ro 6:2,Ro 6:8
