Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἐξήλθομεν	ἐξέρχομαι	aor	actv	indicative	1p	—	—	pl	verb	Ac 16:13
Ἐξερχόμενοι	ἐξέρχομαι	pres	either middle or passive	participle	—	mas	nom	pl	verb	Mt 27:32
ἐξεληλυθός	ἐξέρχομαι	perfect	actv	participle	—	neu	acc	sg	verb	Mk 7:30
ἐξελεύσονται	ἐξέρχομαι	futr	mid	indicative	3p	—	—	pl	verb	Mt 13:49,Ac 7:7
ἐξήρχετο	ἐξέρχομαι	impft	either middle or passive	indicative	3p	—	—	sg	verb	Lk 4:41,Lk 6:19
ἐξέρχεσθε	ἐξέρχομαι	pres	either middle or passive	imperative	2p	—	—	pl	verb	Mt 25:6,Lk 9:4
ἐξῆλθαν	ἐξέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Ac 16:40,1 Jn 2:19
ἐξελθόντος	ἐξέρχομαι	aor	actv	participle	—	mas	gen	sg	verb	Mk 5:2,Lk 11:53
ἐξελθόντα	ἐξέρχομαι	aor	actv	participle	—	neu	nom	pl	verb	Mk 5:13,Lk 8:33
ἐξῆλθες	ἐξέρχομαι	aor	actv	indicative	2p	—	—	sg	verb	Jn 16:30
ἐξελθὼν	ἐξέρχομαι	aor	actv	participle	—	mas	nom	sg	verb	Mt 13:1,Mt 14:14,Mt 15:21,Mt 18:28,Mt 20:3,Mt 20:5,Mt 20:6,Mt 24:1,Mt 26:75,Mk 1:45,Mk 6:34,Mk 7:31,Lk 1:22,Lk 4:42,Lk 14:18,Lk 15:28,Lk 22:39,Lk 22:62,Ac 7:4,Ac 12:9,Ac 12:17
Ἐξελθόντα	ἐξέρχομαι	aor	actv	participle	—	mas	acc	sg	verb	Mt 26:71
ἐξέρχονται	ἐξέρχομαι	pres	either middle or passive	indicative	3p	—	—	pl	verb	Mt 15:19,Lk 4:36
Ἐξελθόντες	ἐξέρχομαι	aor	actv	participle	—	mas	nom	pl	verb	Mt 12:14
ἐξελθόντι	ἐξέρχομαι	aor	actv	participle	—	mas	dat	sg	verb	Lk 8:27
ἐξελήλυθεν	ἐξέρχομαι	perfect	actv	indicative	3p	—	—	sg	verb	Mk 7:29,1 Th 1:8
Ἐξῆλθεν	ἐξέρχομαι	aor	actv	indicative	3p	—	—	sg	verb	Jn 18:29,Jn 20:3,Ac 11:25
ἐξελθοῦσαι	ἐξέρχομαι	aor	actv	participle	—	fem	nom	pl	verb	Mk 16:8
ἐξελεύσεται	ἐξέρχομαι	futr	mid	indicative	3p	—	—	sg	verb	Mt 2:6,Jn 10:9,Re 20:8
ἐξῆλθον	ἐξέρχομαι	aor	actv	indicative	1p	—	—	sg	verb	Mt 12:44,Mk 1:38,Lk 11:24,Jn 8:42,Jn 16:27,Jn 16:28,Jn 17:8,2 Co 2:13,Php 4:15
ἐξελθοῦσα	ἐξέρχομαι	aor	actv	participle	—	fem	nom	sg	verb	Mt 15:22,Mk 6:24,Ac 28:3
ἐξερχόμενοι	ἐξέρχομαι	pres	either middle or passive	participle	—	mas	nom	pl	verb	Mt 8:28,Mt 10:14,Lk 9:5,Lk 9:6
ἐξήλθατε	ἐξέρχομαι	aor	actv	indicative	2p	—	—	pl	verb	Mt 11:7,Mt 11:8,Mt 11:9,Mt 26:55,Mk 14:48,Lk 7:24,Lk 7:25,Lk 7:26,Lk 22:52
ἐξερχομένων	ἐξέρχομαι	pres	either middle or passive	participle	—	mas	gen	pl	verb	Mt 9:32
ἐξελθόντων	ἐξέρχομαι	aor	actv	participle	—	mas	gen	pl	verb	Mk 6:54,Mk 11:12
ἐξέλθητε	ἐξέρχομαι	aor	actv	subjunctive	2p	—	—	pl	verb	Mt 10:11,Mt 24:26,Mk 6:10
ἐξήρχοντο	ἐξέρχομαι	impft	either middle or passive	indicative	3p	—	—	pl	verb	Jn 8:9,Ac 8:7
ἐξελθούσῃ	ἐξέρχομαι	aor	actv	participle	—	fem	dat	sg	verb	Re 19:21
ἐξέλθῃ	ἐξέρχομαι	aor	actv	subjunctive	3p	—	—	sg	verb	Mt 12:43,Lk 11:24,Re 3:12
ἐξεληλύθει	ἐξέρχομαι	pluperfect	actv	indicative	3p	—	—	sg	verb	Lk 8:2,Lk 8:38
ἐξέρχεται	ἐξέρχομαι	pres	either middle or passive	indicative	3p	—	—	sg	verb	Mt 15:18,Mt 24:27,Jas 3:10
ἐξέλθατε	ἐξέρχομαι	aor	actv	imperative	2p	—	—	pl	verb	2 Co 6:17,Re 18:4
ἐξελθοῦσαν	ἐξέρχομαι	aor	actv	participle	—	fem	acc	sg	verb	Mk 5:30
ἐξερχώμεθα	ἐξέρχομαι	pres	either middle or passive	subjunctive	1p	—	—	pl	verb	Heb 13:13
ἐξελθόντος	ἐξέρχομαι	aor	actv	participle	—	neu	gen	sg	verb	Lk 11:14
ἐξεληλυθότας	ἐξέρχομαι	perfect	actv	participle	—	mas	acc	pl	verb	Heb 7:5
ἐξέλθῃς	ἐξέρχομαι	aor	actv	subjunctive	2p	—	—	sg	verb	Mt 5:26,Lk 12:59
ἐξελθόντες	ἐξέρχομαι	aor	actv	participle	—	mas	nom	pl	verb	Mt 8:32,Mt 9:31,Mt 22:10,Mt 27:53,Mk 1:29,Mk 3:6,Mk 6:12,Mk 9:30,Mk 16:20,Lk 10:10,Ac 12:10,Ac 15:24,Ac 16:36,Ac 16:40,Ac 21:5,Ac 21:8,Heb 3:16
ἐξῆλθον	ἐξέρχομαι	aor	actv	indicative	3p	—	—	pl	verb	Mt 25:1,Mt 26:30,Mk 3:21,Mk 8:11,Mk 14:16,Mk 14:26,Lk 8:35,Jn 4:30,Jn 12:13,Jn 21:3,2 Jn 7,3 Jn 7,Re 9:3,Re 15:6
ἐξεληλυθυῖαν	ἐξέρχομαι	perfect	actv	participle	—	fem	acc	sg	verb	Lk 8:46
