Result	Lemma	Gender	Case	Number	Part of Speech	Reference
δικαίαν	δίκαιος	fem	acc	sg	adjective	Jn 7:24,2 Pe 2:8
δίκαιαι	δίκαιος	fem	nom	pl	adjective	Re 15:3,Re 16:7,Re 19:2
δικαίων	δίκαιος	mas	gen	pl	adjective	Mt 13:49,Mt 23:29,Lk 1:17,Lk 14:14,Ac 24:15,Heb 12:23
δίκαιος	δίκαιος	mas	nom	sg	adjective	Mt 1:19,Lk 2:25,Lk 23:47,Lk 23:50,Ac 10:22,Ro 1:17,Ro 3:10,Ga 3:11,2 Ti 4:8,Heb 11:4,1 Pe 3:18,1 Pe 4:18,2 Pe 2:8,1 Jn 1:9,Re 16:5,Re 22:11
δικαίου	δίκαιος	mas	gen	sg	adjective	Mt 10:41,Mt 10:41,Mt 23:35,Ac 7:52,Ro 5:7,Jas 5:16
δίκαιε	δίκαιος	mas	voc	sg	adjective	Jn 17:25
δικαίοις	δίκαιος	mas	dat	pl	adjective	Lk 15:7
δικαίας	δίκαιος	fem	gen	sg	adjective	2 Th 1:5
δικαίους	δίκαιος	mas	acc	pl	adjective	Mt 5:45,Mt 9:13,Mk 2:17,Lk 5:32,Lk 20:20,1 Pe 3:12
δίκαιόν	δίκαιος	neu	nom	sg	adjective	Ac 4:19
δίκαιός	δίκαιος	mas	nom	sg	adjective	Heb 10:38,1 Jn 2:29,1 Jn 3:7,1 Jn 3:7
δίκαιον	δίκαιος	neu	acc	sg	adjective	Lk 12:57,Col 4:1,2 Pe 1:13
δικαία	δίκαιος	fem	nom	sg	adjective	Jn 5:30,Ro 7:12
δίκαια	δίκαιος	neu	nom	pl	adjective	Php 4:8,1 Jn 3:12
δίκαιον	δίκαιος	neu	nominative, accusative	sg	adjective	Mt 20:4
δικαίῳ	δίκαιος	mas	dat	sg	adjective	Mt 27:19,1 Ti 1:9
δίκαιον	δίκαιος	mas	acc	sg	adjective	Mt 10:41,Mk 6:20,Ac 3:14,Ac 22:14,Ro 3:26,Tt 1:8,Jas 5:6,1 Jn 2:1
δίκαιοι	δίκαιος	mas	nom	pl	adjective	Mt 13:17,Mt 13:43,Mt 23:28,Mt 25:37,Mt 25:46,Lk 1:6,Lk 18:9,Ro 2:13,Ro 5:19
δίκαιον	δίκαιος	masculine, neuter	accusative, nominative	sg	adjective	2 Pe 2:7
δίκαιον	δίκαιος	neu	nom	sg	adjective	Mt 23:35,Eph 6:1,Php 1:7,2 Th 1:6
