Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ἦτε	εἰμί	impft	actv	indicative	2p	—	—	pl	verb	Jn 9:41,Jn 15:19,Ro 6:17,Ro 6:20,Ro 6:20,1 Co 6:11,1 Co 12:2,Eph 2:12,Eph 5:8,1 Pe 2:25
ἐστὲ	εἰμί	pres	actv	indicative	2p	—	—	pl	verb	Lk 11:44,Lk 24:38,Jn 8:44,Jn 10:26,Ro 8:9,1 Co 5:2,1 Co 6:19,1 Co 15:17,2 Co 3:3,2 Co 13:5,Ga 5:18,Eph 2:19,Eph 2:19,Col 2:10,1 Th 5:4
ἔσται	εἰμί	futr	mid	indicative	3p	—	—	sg	verb	Mt 5:21,Mt 5:22,Mt 5:22,Mt 5:22,Mt 6:21,Mt 6:22,Mt 6:23,Mt 8:12,Mt 10:15,Mt 11:22,Mt 11:24,Mt 12:11,Mt 12:40,Mt 12:45,Mt 13:40,Mt 13:42,Mt 13:49,Mt 13:50,Mt 16:19,Mt 16:19,Mt 16:22,Mt 18:18,Mt 18:18,Mt 19:27,Mt 20:26,Mt 20:26,Mt 20:27,Mt 22:13,Mt 22:28,Mt 23:11,Mt 24:3,Mt 24:21,Mt 24:27,Mt 24:37,Mt 24:39,Mt 24:51,Mt 25:30,Mt 27:64,Mk 9:35,Mk 10:43,Mk 10:44,Mk 11:23,Mk 11:24,Mk 12:7,Mk 12:23,Mk 13:4,Mk 14:2,Lk 1:14,Lk 1:15,Lk 1:32,Lk 1:33,Lk 1:34,Lk 1:45,Lk 1:66,Lk 2:10,Lk 3:5,Lk 4:7,Lk 6:35,Lk 6:40,Lk 10:12,Lk 10:14,Lk 11:30,Lk 11:36,Lk 12:20,Lk 12:34,Lk 12:55,Lk 13:28,Lk 14:10,Lk 15:7,Lk 17:24,Lk 17:26,Lk 17:30,Lk 17:31,Lk 19:46,Lk 21:7,Lk 21:11,Lk 21:23,Lk 21:24,Lk 22:69,Jn 12:26,Jn 14:17,Jn 19:24,Ac 2:17,Ac 2:21,Ac 3:23,Ac 7:6,Ac 27:22,Ac 27:25,Ro 4:18,Ro 9:9,Ro 9:26,Ro 15:12,1 Co 11:27,2 Co 3:8,2 Co 11:15,2 Co 13:11,Php 4:9,Col 2:8,2 Ti 2:21,2 Ti 3:9,Heb 1:5,Heb 3:12,Jas 1:25,Jas 5:3,2 Jn 2,2 Jn 3,Re 10:6,Re 10:9,Re 21:3,Re 21:4,Re 21:4,Re 21:7,Re 21:25,Re 22:3,Re 22:3,Re 22:5,Re 22:14
ὦμεν	εἰμί	pres	actv	subjunctive	1p	—	—	pl	verb	2 Co 1:9,2 Co 13:7,Eph 4:14
ὄντας	εἰμί	pres	actv	participle	—	mas	acc	pl	verb	Ac 9:2,Ac 16:3,Ac 22:5,Ac 28:17,Ro 16:11,Eph 2:1,Eph 2:5,Php 1:7,Col 1:21,Col 2:13,2 Ti 2:19
ὦ	εἰμί	pres	actv	subjunctive	1p	—	—	sg	verb	Jn 9:5,Php 2:28
ὄντος	εἰμί	pres	actv	participle	—	neu	gen	sg	verb	Ac 7:5
εἰμὶ	εἰμί	pres	actv	indicative	1p	—	—	sg	verb	Mt 3:11,Mt 8:8,Mk 1:7,Lk 3:16,Lk 15:19,Lk 15:21,Lk 18:11,Jn 1:20,Jn 1:27,Jn 3:28,Jn 3:28,Jn 7:34,Jn 7:36,Jn 8:23,Jn 12:26,Jn 13:13,Jn 14:3,Jn 16:32,Jn 17:11,Jn 17:14,Jn 17:16,Jn 17:24,Ac 13:25,Ac 13:25,1 Co 9:1,1 Co 9:1,1 Co 9:2,1 Co 12:15,1 Co 12:15,1 Co 12:16,1 Co 12:16,1 Co 15:9,2 Pe 1:13,Re 18:7
ἐστέ	εἰμί	pres	actv	indicative	2p	—	—	pl	verb	Lk 13:25,Lk 13:27,Jn 8:23,Jn 8:23,Jn 8:47,Jn 15:19,Ac 19:15,1 Co 4:8,Ga 3:29,Ga 4:28
Εἰσὶν	εἰμί	pres	actv	indicative	3p	—	—	pl	verb	Tt 1:10
