Result	Lemma	Gender	Case	Number	Part of Speech	Reference
κακοὶ	κακός	mas	nom	pl	adjective	Mk 7:21
κακῷ	κακός	neu	dat	sg	adjective	Ro 13:3
κακὰ	κακός	neu	nom	pl	adjective	Tt 1:12
κακαί	κακός	fem	nom	pl	adjective	1 Co 15:33
κακῶν	κακός	neu	gen	pl	adjective	Ro 1:30,1 Co 10:6,1 Ti 6:10,Jas 1:13
κακοῦ	κακός	neu	gen	sg	adjective	Jn 18:23,Ro 12:17,Ro 12:21,1 Th 5:15,Heb 5:14,1 Pe 3:9,1 Pe 3:10,1 Pe 3:11
κακόν	κακός	neu	nom	sg	adjective	Jas 3:8
κακὸς	κακός	mas	nom	sg	adjective	Mt 24:48
κακὸν	κακός	neu	acc	sg	adjective	Mt 27:23,Lk 23:22,Ac 23:9,Ro 7:19,Ro 12:17,Ro 13:4,Ro 13:4,Ro 13:10,2 Co 13:7,1 Th 5:15,1 Pe 3:9,3 Jn 11,Jn 18:30
κακόν	κακός	neu	acc	sg	adjective	Mk 15:14,Ac 16:28,Ac 28:5,Ro 2:9,Ro 12:21,Ro 16:19,1 Co 13:5
κακούς	κακός	mas	acc	pl	adjective	Re 2:2
κακά	κακός	neu	acc	pl	adjective	Lk 16:25,Ro 3:8,1 Pe 3:12
κακοὺς	κακός	mas	acc	pl	adjective	Mt 21:41,Php 3:2
κακὰ	κακός	neu	acc	pl	adjective	Ac 9:13,2 Ti 4:14
κακὸν	κακός	neu	nom	sg	adjective	Ro 7:21,Ro 14:20,Re 16:2
κακήν	κακός	fem	acc	sg	adjective	Col 3:5
