Result	Lemma	Gender	Case	Number	Part of Speech	Reference
νεκρὸς	νεκρός	mas	nom	sg	adjective	Lk 7:15,Lk 15:24,Lk 15:32,Re 1:18,Re 3:1,Re 2:8
νεκροῦ	νεκρός	mas	gen	sg	adjective	Re 16:3
νεκρόν	νεκρός	mas	acc	sg	adjective	Ac 28:6
νεκρῶν	νεκρός	neu	gen	pl	adjective	Heb 6:1,Heb 9:14
νεκρὰν	νεκρός	fem	acc	sg	adjective	Ac 5:10
νεκρόν	νεκρός	neu	nom	sg	adjective	Jas 2:26
νεκροῖς	νεκρός	mas	dat	pl	adjective	Heb 9:17,1 Pe 4:6
νεκρά	νεκρός	fem	nom	sg	adjective	Ro 7:8,Jas 2:17,Jas 2:26
νεκρούς	νεκρός	mas	acc	pl	adjective	Mt 8:22,Lk 9:60,2 Co 1:9,2 Ti 4:1,1 Pe 4:5,Re 20:12
νεκροί	νεκρός	mas	nom	pl	adjective	Mt 28:4,Lk 20:37,1 Co 15:35
νεκρῶν	νεκρός	mas	gen	pl	adjective	Mt 14:2,Mt 17:9,Mt 22:31,Mt 22:32,Mt 23:27,Mt 27:64,Mt 28:7,Mk 6:14,Mk 9:9,Mk 9:10,Mk 12:25,Mk 12:26,Mk 12:27,Lk 9:7,Lk 16:30,Lk 16:31,Lk 20:35,Lk 20:38,Lk 24:5,Lk 24:46,Jn 2:22,Jn 12:1,Jn 12:9,Jn 12:17,Jn 20:9,Jn 21:14,Ac 3:15,Ac 4:2,Ac 4:10,Ac 10:41,Ac 10:42,Ac 13:30,Ac 13:34,Ac 17:3,Ac 17:31,Ac 17:32,Ac 23:6,Ac 24:21,Ac 26:23,Ro 1:4,Ro 4:24,Ro 6:4,Ro 6:9,Ro 6:13,Ro 7:4,Ro 8:11,Ro 8:11,Ro 10:7,Ro 10:9,Ro 11:15,Ro 14:9,1 Co 15:12,1 Co 15:12,1 Co 15:13,1 Co 15:20,1 Co 15:21,1 Co 15:29,1 Co 15:42,Ga 1:1,Eph 1:20,Eph 5:14,Php 3:11,Col 1:18,Col 2:12,1 Th 1:10,2 Ti 2:8,Heb 6:2,Heb 11:19,Heb 13:20,1 Pe 1:3,1 Pe 1:21,Re 1:5,Re 11:18,Re 20:5
νεκρὸν	νεκρός	neu	nom	sg	adjective	Ro 8:10
νεκρός	νεκρός	mas	nom	sg	adjective	Mk 9:26,Ac 20:9,Re 1:17
νεκροὺς	νεκρός	mas	acc	pl	adjective	Mt 8:22,Mt 10:8,Lk 9:60,Jn 5:21,Ac 26:8,Ro 4:17,Eph 2:1,Eph 2:5,Col 2:13,Heb 11:35,Re 20:13,Re 20:13,Ro 6:11
νεκροὶ	νεκρός	mas	nom	pl	adjective	Mt 11:5,Lk 7:22,Jn 5:25,1 Co 15:15,1 Co 15:16,1 Co 15:29,1 Co 15:32,1 Co 15:52,1 Th 4:16,Re 14:13,Re 20:12
