Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πιστοί	πιστός	masculine, feminine	nom	pl	adjective	1 Ti 6:2,Re 17:14
πιστός	πιστός	mas	nom	sg	adjective	Mt 25:21,Mt 25:23,Lk 16:10,Jn 20:27,1 Co 4:2,1 Jn 1:9,Re 1:5,Re 2:13
πιστόν	πιστός	mas	acc	sg	adjective	1 Ti 1:12
πιστῶν	πιστός	mas	gen	pl	adjective	1 Ti 4:10,1 Ti 4:12
πιστὸς	πιστός	mas	nom	sg	adjective	Mt 24:45,Lk 12:42,Lk 16:10,Lk 19:17,1 Co 1:9,1 Co 7:25,1 Co 10:13,2 Co 1:18,Eph 6:21,Col 1:7,Col 4:7,1 Th 5:24,1 Ti 1:15,1 Ti 3:1,1 Ti 4:9,2 Ti 2:11,Heb 2:17,Heb 3:5,Heb 10:23,Re 2:10,Re 3:14,Re 19:11,2 Ti 2:13
πιστῆς	πιστός	fem	gen	sg	adjective	Ac 16:1
πιστὸν	πιστός	neu	nominative, accusative	sg	adjective	1 Co 4:17
πιστὸν	πιστός	neu	acc	sg	adjective	3 Jn 5
πιστά	πιστός	neu	acc	pl	adjective	Ac 13:34,Tt 1:6
Πιστὸς	πιστός	mas	nom	sg	adjective	2 Th 3:3,Tt 3:8
πιστὴ	πιστός	fem	nom	sg	adjective	1 Ti 5:16
πιστοῦ	πιστός	mas	gen	sg	adjective	Tt 1:9,1 Pe 5:12
πιστῷ	πιστός	mas	dat	sg	adjective	2 Co 6:15,Ga 3:9,Col 4:9,1 Pe 4:19
πιστὰς	πιστός	fem	acc	pl	adjective	1 Ti 3:11
πιστέ	πιστός	mas	voc	sg	adjective	Mt 25:21,Mt 25:23
πιστοὺς	πιστός	mas	acc	pl	adjective	1 Ti 6:2,1 Pe 1:21
πιστοὶ	πιστός	masculine, feminine	nom	pl	adjective	Lk 16:11,Lk 16:12,Ac 10:45,Re 21:5,Re 22:6
πιστὸν	πιστός	mas	acc	sg	adjective	Heb 3:2,Heb 11:11
πιστὴν	πιστός	fem	acc	sg	adjective	Ac 16:15
πιστοῖς	πιστός	mas	dat	pl	adjective	Eph 1:1,Col 1:2,1 Ti 4:3,2 Ti 2:2
