Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πονηρὸν	πονηρός	neu	nom	sg	adjective	Re 16:2,Ac 19:15
πονηροῖς	πονηρός	mas	dat	pl	adjective	3 Jn 10
πονηρούς	πονηρός	mas	acc	pl	adjective	Mt 22:10,Lk 6:35
πονηροῖς	πονηρός	neu	dat	pl	adjective	Col 1:21,2 Jn 11
πονηρὲ	πονηρός	mas	voc	sg	adjective	Mt 25:26,Lk 19:22
πονηρὰ	πονηρός	neu	nom	pl	adjective	Mk 7:23,Jn 3:19,1 Jn 3:12
πονηρά	πονηρός	fem	nom	sg	adjective	Lk 11:29,Jas 4:16
πονηρὸν	πονηρός	mas	acc	sg	adjective	1 Co 5:13
πονηρέ	πονηρός	mas	voc	sg	adjective	Mt 18:32
πονηρῷ	πονηρός	mas	dat	sg	adjective	Mt 5:39,1 Jn 5:19
πονηροῦ	πονηρός	neu	gen	sg	adjective	1 Th 5:22,2 Ti 4:18
πονηρᾶς	πονηρός	fem	gen	sg	adjective	Heb 10:22
πονηροὶ	πονηρός	mas	nom	pl	adjective	Mt 7:11,Mt 12:34,Lk 11:13,2 Ti 3:13
πονηραί	πονηρός	fem	nom	pl	adjective	Eph 5:16,1 Ti 6:4
πονηρῶν	πονηρός	neu	gen	pl	adjective	Lk 3:19,Ac 25:18,Lk 7:21,Lk 8:2
πονηρόν	πονηρός	neu	acc	sg	adjective	Lk 6:45,Ac 28:21,Ro 12:9
πονηρὰ	πονηρός	neu	acc	pl	adjective	Mt 9:4,Ac 19:12,Ac 19:13
πονηρός	πονηρός	mas	nom	sg	adjective	Mk 7:22,Mt 20:15
πονηρά	πονηρός	neu	nom	pl	adjective	Jn 7:7
πονηροῦ	πονηρός	mas	gen	sg	adjective	Mt 5:37,Mt 6:13,Mt 12:35,Mt 13:38,Lk 6:45,Jn 17:15,2 Th 3:3,1 Jn 3:12,Ga 1:4,Eph 6:16
πονηρόν	πονηρός	mas	acc	sg	adjective	1 Jn 2:13,1 Jn 2:14
πονηρότερα	πονηρός	neu	acc	pl	adjective	Mt 12:45,Lk 11:26
πονηρῶν	πονηρός	mas	gen	pl	adjective	2 Th 3:2,Jas 2:4
πονηρὸν	πονηρός	neu	acc	sg	adjective	Mt 5:11,Lk 6:22
πονηρᾷ	πονηρός	fem	dat	sg	adjective	Mt 12:45,Eph 6:13
πονηροί	πονηρός	mas	nom	pl	adjective	Mt 15:19
πονηρά	πονηρός	neu	acc	pl	adjective	Mt 12:35
πονηρὰ	πονηρός	fem	nom	sg	adjective	Mt 12:39,Mt 16:4,Heb 3:12
πονηροὺς	πονηρός	mas	acc	pl	adjective	Mt 5:45,Mt 7:17,Mt 7:18,Mt 13:49,Ac 17:5
πονηρόν	πονηρός	neu	nom	sg	adjective	Ac 18:14,Ac 19:16
πονηρὸς	πονηρός	mas	nom	sg	adjective	Mt 6:23,Mt 12:35,Mt 13:19,Lk 6:45,Lk 11:34,1 Jn 5:18
