Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἀγαθὸν	ἀγαθός	neu	acc	sg	adjective	Mt 19:16,Mk 3:4,Ro 9:11,Ro 13:3,Ro 15:2,2 Co 5:10,Ga 6:10,Php 1:6,1 Th 5:15,2 Ti 2:21,2 Ti 3:17,Tt 1:16,Tt 3:1
ἀγαθοῦ	ἀγαθός	neu	gen	sg	adjective	Mt 19:17,Ro 2:7,Ro 7:13,Phm 6,1 Pe 3:13
ἀγαθός	ἀγαθός	mas	nom	sg	adjective	Mt 19:17,Mt 20:15,Jn 7:12
ἀγαθῷ	ἀγαθός	neu	dat	sg	adjective	Ro 12:9,Ro 12:21,Ro 13:3,Col 1:10,2 Th 2:17,1 Ti 5:10,Heb 13:21
ἀγαθὲ	ἀγαθός	mas	voc	sg	adjective	Mt 25:21,Mt 25:23,Lk 19:17
ἀγαθοῦ	ἀγαθός	mas	gen	sg	adjective	Mt 12:35,Lk 6:45,Ro 5:7
ἀγαθέ	ἀγαθός	mas	voc	sg	adjective	Mk 10:17,Lk 18:18
ἀγαθὸν	ἀγαθός	neu	nom	sg	adjective	Mt 7:17,Mt 7:18,Jn 1:46,Ro 7:13,Ro 12:2
ἀγαθὰς	ἀγαθός	fem	acc	pl	adjective	1 Pe 3:10
ἀγαθά	ἀγαθός	neu	acc	pl	adjective	Mt 12:35,Lk 12:18,Lk 16:25,Ro 10:15
ἀγαθόν	ἀγαθός	neu	nom	sg	adjective	Phm 14
ἀγαθῆς	ἀγαθός	fem	gen	sg	adjective	1 Ti 1:5,1 Pe 3:21
ἀγαθούς	ἀγαθός	mas	acc	pl	adjective	Mt 22:10
ἀγαθῶν	ἀγαθός	mas	gen	pl	adjective	Jas 3:17
ἀγαθὴ	ἀγαθός	fem	nom	sg	adjective	Jas 1:17
ἀγαθῶν	ἀγαθός	neu	gen	pl	adjective	1 Ti 2:10,Heb 9:11,Heb 10:1,Ac 9:36
ἀγαθοὺς	ἀγαθός	mas	acc	pl	adjective	Mt 5:45
ἀγαθῶν	ἀγαθός	neuter, masculine	gen	pl	adjective	Lk 1:53
ἀγαθά	ἀγαθός	neu	nom	pl	adjective	Ro 3:8
ἀγαθόν	ἀγαθός	neu	acc	sg	adjective	Lk 6:45,Ro 2:10,Ro 7:19,Ro 8:28,Ro 13:4,Ro 16:19,2 Co 9:8,Eph 4:28,Eph 6:8,1 Pe 3:11,3 Jn 11
ἀγαθάς	ἀγαθός	fem	acc	pl	adjective	Tt 2:5
ἀγαθῇ	ἀγαθός	fem	dat	sg	adjective	Lk 8:15,Ac 23:1
ἀγαθή	ἀγαθός	fem	nom	sg	adjective	Ro 7:12
ἀγαθοῖς	ἀγαθός	neu	dat	pl	adjective	Ga 6:6,Eph 2:10
ἀγαθὸς	ἀγαθός	mas	nom	sg	adjective	Mt 12:35,Mk 10:18,Lk 18:19,Lk 23:50,Ac 11:24,Eph 4:29,Lk 6:45
ἀγαθήν	ἀγαθός	fem	acc	sg	adjective	Tt 2:10,1 Pe 3:16
ἀγαθοῖς	ἀγαθός	mas	dat	pl	adjective	1 Pe 2:18
ἀγαθόν	ἀγαθός	neu	nominative, accusative	sg	adjective	Ro 7:18,Ro 14:16
ἀγαθὰ	ἀγαθός	neu	acc	pl	adjective	Mt 7:11,Mt 7:11,Mt 12:34,Lk 11:13,Lk 12:19,Jn 5:29
ἀγαθόν	ἀγαθός	mas	acc	sg	adjective	Mk 10:18,Lk 18:19
ἀγαθὴν	ἀγαθός	fem	acc	sg	adjective	Lk 8:8,Lk 10:42,1 Th 3:6,2 Th 2:16,1 Ti 1:19,1 Pe 3:16
