Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἀγαπητοί	ἀγαπητός	mas	voc	pl	adjective	Ro 12:19,1 Co 10:14,1 Co 15:58,2 Co 7:1,2 Co 12:19,Php 2:12,Php 4:1,Heb 6:9,Jas 1:16,Jas 1:19,Jas 2:5,2 Pe 3:1,2 Pe 3:8,2 Pe 3:14,2 Pe 3:17,Jud 17,Jud 20
ἀγαπητοῦ	ἀγαπητός	mas	gen	sg	adjective	Col 1:7
ἀγαπητὸν	ἀγαπητός	neu	nominative, accusative	sg	adjective	1 Co 4:17
ἀγαπητὰ	ἀγαπητός	neu	nom	pl	adjective	Eph 5:1
ἀγαπητῷ	ἀγαπητός	mas	dat	sg	adjective	Col 4:9,Phm 1,3 Jn 1
ἀγαπητός	ἀγαπητός	mas	nom	sg	adjective	Mt 3:17,Mt 12:18,Mt 17:5,Mk 1:11,Mk 9:7,Lk 3:22,2 Pe 1:17
ἀγαπητήν	ἀγαπητός	fem	acc	sg	adjective	Ro 16:12
ἀγαπητοὶ	ἀγαπητός	mas	voc	pl	adjective	1 Jn 3:2
ἀγαπητοῖς	ἀγαπητός	mas	dat	pl	adjective	Ac 15:25,Ro 1:7
ἀγαπητόν	ἀγαπητός	mas	acc	sg	adjective	Mk 12:6,Lk 20:13,Ro 16:5,Ro 16:8,Ro 16:9,Phm 16
ἀγαπητὸς	ἀγαπητός	mas	nom	sg	adjective	Eph 6:21,Col 4:7,Col 4:14,2 Pe 3:15
Ἀγαπητοί	ἀγαπητός	mas	voc	pl	adjective	1 Pe 2:11,1 Pe 4:12,1 Jn 2:7,1 Jn 3:21,1 Jn 4:1,1 Jn 4:7,1 Jn 4:11,Jud 3
Ἀγαπητέ	ἀγαπητός	mas	voc	sg	adjective	3 Jn 2,3 Jn 5,3 Jn 11
ἀγαπητὰ	ἀγαπητός	neu	accusative, nominative	pl	adjective	1 Co 4:14
ἀγαπητοὶ	ἀγαπητός	mas	nom	pl	adjective	Ro 11:28,Php 4:1,1 Th 2:8,1 Ti 6:2
ἀγαπητῷ	ἀγαπητός	neuter, masculine	dat	sg	adjective	2 Ti 1:2
