Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἁγία	ἅγιος	fem	nom	sg	adjective	Ac 7:33,Ro 7:12,Ro 11:16,Ro 11:16,1 Co 7:34,Eph 5:27
ἅγιά	ἅγιος	neu	nom	pl	adjective	1 Co 7:14
ἅγιον	ἅγιος	neu	nom	sg	adjective	Mk 13:11,Lk 1:35,Lk 1:35,Lk 2:25,Lk 12:12,Jn 14:26,Ac 1:16,Ac 10:44,Ac 11:15,Ac 13:2,Ac 19:2,Ac 19:6,Ac 20:23,Ac 20:28,Ac 21:11,Ac 28:25,Heb 3:7,Heb 10:15,1 Pe 2:9
ἅγιοι	ἅγιος	mas	voc	pl	adjective	Heb 3:1
ἅγιον	ἅγιος	mas	acc	sg	adjective	Mk 6:20,Ac 3:14,Ac 4:27,Ac 21:28,Eph 2:21,Php 4:21,1 Pe 1:15
ἅγιον	ἅγιος	neu	nominative, accusative	sg	adjective	Lk 1:49,Lk 2:23,Ac 5:32
ἅγια	ἅγιος	neu	acc	pl	adjective	Heb 9:12,Heb 9:24,Heb 9:25,Heb 13:11
ἅγιός	ἅγιος	mas	nom	sg	adjective	1 Co 3:17
ἁγίῳ	ἅγιος	mas	dat	sg	adjective	Mt 24:15
ἁγίων	ἅγιος	neu	gen	pl	adjective	Heb 8:2,Heb 9:8,Heb 10:19
Ἅγια	ἅγιος	fem	nom	sg	adjective	Heb 9:2,Heb 9:3
ἅγιοι	ἅγιος	mas	nom	pl	adjective	1 Co 6:2,2 Co 13:12,Php 4:22,Col 3:12,1 Pe 1:15,1 Pe 1:16
ἅγιον	ἅγιος	neu	accusative, nominative	sg	adjective	Lk 3:22,Heb 9:1,1 Pe 2:5
ἅγιαι	ἅγιος	fem	nom	pl	adjective	1 Pe 3:5
ἁγίου	ἅγιος	mas	gen	sg	adjective	Ac 4:30,Ac 6:13,Ac 10:22,1 Jn 2:20
ἁγιωτάτῃ	ἅγιος	fem	dat	sg	adjective	Jud 20
ἅγιοι	ἅγιος	mas	vocative, nominative	pl	adjective	Re 18:20
ἁγίων	ἅγιος	mas	gen	pl	adjective	Mt 27:52,Mk 8:38,Lk 1:70,Lk 9:26,Ac 3:21,Ac 26:10,Ro 8:27,Ro 12:13,Ro 15:26,Ro 16:2,1 Co 6:1,1 Co 14:33,2 Co 9:12,Eph 2:19,Eph 3:8,Eph 4:12,Eph 6:18,Col 1:12,1 Th 3:13,1 Ti 5:10,Phm 7,2 Pe 3:2,Re 5:8,Re 8:3,Re 8:4,Re 13:7,Re 13:10,Re 14:10,Re 14:12,Re 16:6,Re 17:6,Re 18:24,Re 19:8,Re 20:9
ἁγίοις	ἅγιος	mas	dat	pl	adjective	Ac 9:13,Ro 1:7,Ro 15:25,Ro 15:31,1 Co 1:2,1 Co 16:15,2 Co 1:1,Eph 1:1,Eph 1:18,Eph 3:5,Eph 3:18,Eph 5:3,Php 1:1,Col 1:2,Col 1:26,2 Th 1:10,Heb 6:10,Jud 3,Re 11:18
Ἁγίων	ἅγιος	neu	gen	pl	adjective	Heb 9:3
ἅγιος	ἅγιος	mas	nom	sg	adjective	Mk 1:24,Lk 4:34,Jn 6:69,Ro 7:12,1 Pe 1:16,Re 3:7,Re 4:8,Re 4:8,Re 4:8,Re 6:10,Re 20:6,Re 22:11
ἁγίαις	ἅγιος	fem	dat	pl	adjective	Ro 1:2,2 Pe 3:11,Jud 14
ἅγιε	ἅγιος	mas	voc	sg	adjective	Jn 17:11
ἁγίου	ἅγιος	neu	gen	sg	adjective	Mt 1:18,Mt 1:20,Mt 12:32,Mt 28:19,Lk 1:15,Lk 1:41,Lk 1:67,Lk 2:26,Lk 4:1,Ac 1:2,Ac 1:8,Ac 2:4,Ac 2:33,Ac 2:38,Ac 4:8,Ac 4:25,Ac 4:31,Ac 6:5,Ac 7:55,Ac 9:17,Ac 9:31,Ac 10:45,Ac 11:24,Ac 13:4,Ac 13:9,Ac 13:52,Ac 16:6,Ro 5:5,Ro 15:13,1 Co 6:19,2 Co 13:13,1 Th 1:6,2 Ti 1:14,Tt 3:5,Heb 2:4,Heb 6:4,Heb 9:8,2 Pe 1:21
ἅγιον	ἅγιος	neu	acc	sg	adjective	Mt 7:6,Mk 3:29,Lk 11:13,Lk 12:10,Jn 20:22,Ac 5:3,Ac 8:15,Ac 8:17,Ac 8:19,Ac 10:47,Ac 15:8,Ac 19:2,Eph 4:30,1 Th 4:8
ἁγίας	ἅγιος	fem	gen	sg	adjective	Lk 1:72,2 Pe 2:21,Re 22:19
ἁγίᾳ	ἅγιος	fem	dat	sg	adjective	2 Ti 1:9
ἁγίῳ	ἅγιος	neu	dat	sg	adjective	Mt 3:11,Mk 1:8,Mk 12:36,Lk 3:16,Lk 10:21,Jn 1:33,Ac 1:5,Ac 7:51,Ac 10:38,Ac 11:16,Ac 15:28,Ro 9:1,Ro 14:17,Ro 15:16,Ro 16:16,1 Co 12:3,1 Co 16:20,2 Co 6:6,2 Co 13:12,Eph 1:13,1 Th 1:5,1 Th 5:26,1 Pe 1:12,2 Pe 1:18,Jud 20
ἁγίαν	ἅγιος	fem	acc	sg	adjective	Mt 4:5,Mt 27:53,Ro 12:1,Re 11:2,Re 21:2,Re 21:10
ἁγίους	ἅγιος	mas	acc	pl	adjective	Ac 9:32,Ac 9:41,Ro 16:15,1 Co 16:1,2 Co 8:4,2 Co 9:1,Eph 1:4,Eph 1:15,Col 1:4,Col 1:22,Phm 5,Heb 13:24
