Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ἕτερον	ἕτερος	neu	acc	sg	adjective	Ac 17:21,2 Co 11:4,2 Co 11:4,Ga 1:6
ἕτερον	ἕτερος	neu	nom	sg	adjective	Lk 8:6,Lk 8:7,Lk 8:8,Lk 9:29,Ac 4:12,Ac 23:6,1 Ti 1:10
ἑτέρους	ἕτερος	mas	acc	pl	adjective	Mt 15:30,Lk 10:1,Ac 27:1,2 Ti 2:2
ἕτεροι	ἕτερος	mas	nom	pl	adjective	Mt 16:14,Lk 11:16,Lk 23:32,Ac 2:13,Ac 17:34,Heb 11:36
ἑτέρῳ	ἕτερος	neu	dat	sg	adjective	Mt 21:30,Lk 5:7,Lk 6:6
ἑτέρα	ἕτερος	fem	nom	sg	adjective	Lk 17:35,Jn 19:37,Ro 8:39,Ro 13:9,1 Co 15:40,1 Co 15:40
ἕτεραι	ἕτερος	fem	nom	pl	adjective	Lk 8:3
ἑτέρᾳ	ἕτερος	fem	dat	sg	adjective	Mk 16:12,Ac 20:15,Ac 27:3,Jas 2:25
ἑτέρας	ἕτερος	fem	gen	sg	adjective	Heb 7:13,Jud 7
ἑτέροις	ἕτερος	mas	dat	pl	adjective	Ac 2:40
ἑτέραν	ἕτερος	fem	acc	sg	adjective	Mt 10:23,Lk 9:56,Lk 16:18
ἑτέροις	ἕτερος	neu	dat	pl	adjective	Mt 11:16
ἕτερος	ἕτερος	mas	nom	sg	adjective	Mt 8:21,Lk 7:41,Lk 9:61,Lk 14:19,Lk 14:20,Lk 17:34,Lk 18:10,Lk 19:20,Lk 22:58,Lk 23:40,Ac 1:20,Ac 7:18,1 Co 3:4,1 Co 14:17,Heb 7:15
ἑτέρου	ἕτερος	mas	gen	sg	adjective	Mt 6:24,Lk 16:13,Ac 8:34,1 Co 4:6,1 Co 10:24,1 Co 10:29
ἑτέραις	ἕτερος	fem	dat	pl	adjective	Lk 4:43,Ac 2:4,Eph 3:5
ἕτερα	ἕτερος	neu	acc	pl	adjective	Mt 12:45,Lk 3:18,Lk 11:26,Lk 22:65
ἕτερον	ἕτερος	mas	acc	sg	adjective	Mt 6:24,Mt 11:3,Lk 9:59,Lk 16:13,Lk 20:11,Ac 12:17,Ac 17:7,Ro 2:1,Ro 2:21,Ro 7:23,Ro 13:8,1 Co 6:1,Ga 1:19,Ga 6:4,Heb 7:11
ἑτέρῳ	ἕτερος	mas	dat	sg	adjective	Lk 14:31,Lk 16:7,Ac 13:35,Ro 7:3,Ro 7:3,Ro 7:4,1 Co 12:9,1 Co 12:10,Heb 5:6
ἑτέρων	ἕτερος	mas	gen	pl	adjective	Ac 15:35,1 Co 14:21,2 Co 8:8,Php 2:4
