Result	Lemma	Gender	Case	Number	Part of Speech	Reference
αἰώνια	αἰώνιος	neu	nom	pl	adjective	2 Co 4:18
αἰώνιός	αἰώνιος	fem	nom	sg	adjective	Jn 12:50
αἰωνίοις	αἰώνιος	mas	dat	pl	adjective	Ro 16:25
αἰώνιος	αἰώνιος	fem	nom	sg	adjective	Jn 17:3,Ro 6:23,1 Jn 5:20
αἰωνίου	αἰώνιος	neu	gen	sg	adjective	Heb 9:14,Jud 7,Heb 6:2
αἰώνιον	αἰώνιος	neu	acc	sg	adjective	Mt 25:41,2 Co 4:17,Re 14:6,Mt 18:8
αἰωνίου	αἰώνιος	mas	gen	sg	adjective	Ro 16:26
αἰωνίων	αἰώνιος	mas	gen	pl	adjective	2 Ti 1:9,Tt 1:2
αἰώνιον	αἰώνιος	fem	acc	sg	adjective	Mt 19:16,Mt 19:29,Mt 25:46,Mt 25:46,Mk 10:17,Mk 10:30,Lk 10:25,Lk 18:18,Lk 18:30,Jn 3:15,Jn 3:16,Jn 3:36,Jn 4:14,Jn 4:36,Jn 5:24,Jn 5:39,Jn 6:27,Jn 6:40,Jn 6:47,Jn 6:54,Jn 10:28,Jn 12:25,Jn 17:2,Ac 13:48,Ro 2:7,Ro 5:21,Ro 6:22,2 Co 5:1,Ga 6:8,1 Ti 1:16,1 Pe 5:10,2 Pe 1:11,1 Jn 1:2,1 Jn 2:25,1 Jn 3:15,1 Jn 5:11,1 Jn 5:13,Jud 21
αἰωνίαν	αἰώνιος	fem	acc	sg	adjective	2 Th 2:16,Heb 9:12
αἰωνίου	αἰώνιος	fem	gen	sg	adjective	Mk 16:8,Jn 6:68,Ac 13:46,1 Ti 6:12,2 Ti 2:10,Tt 1:2,Tt 3:7,Heb 5:9,Heb 9:15,Heb 13:20
αἰώνιον	αἰώνιος	neu	nom	sg	adjective	1 Ti 6:16
αἰωνίου	αἰώνιος	neuter, feminine	gen	sg	adjective	Mk 3:29
αἰώνιον	αἰώνιος	mas	acc	sg	adjective	2 Th 1:9,Phm 15
αἰωνίους	αἰώνιος	fem	acc	pl	adjective	Lk 16:9
