Result	Lemma	Gender	Case	Number	Part of Speech	Reference
γυναῖκά	γυνή	fem	acc	sg	noun	Mt 1:20,1 Co 5:1
γυναῖκές	γυνή	fem	nom	pl	noun	Lk 8:2,Lk 24:22
γυναῖκας	γυνή	fem	acc	pl	noun	Mt 19:8,Ac 8:3,Ac 9:2,Ac 13:50,Ac 22:4,1 Co 7:29,Eph 5:25,Eph 5:28,Col 3:19,1 Ti 2:9
γυναῖκες	γυνή	fem	nom	pl	noun	Mt 27:55,Mk 15:40,Lk 23:49,Lk 23:55,Lk 24:24,Ac 8:12,1 Co 14:34,Eph 5:22,Eph 5:24,Heb 11:35,1 Pe 3:5
γυναικί	γυνή	fem	dat	sg	noun	1 Co 7:27,1 Co 7:33,Mt 26:10
γυνὴ	γυνή	fem	nom	sg	noun	Mt 9:20,Mt 9:22,Mt 13:33,Mt 15:22,Mt 26:7,Mt 27:19,Mk 5:25,Mk 5:33,Mk 7:25,Mk 7:26,Mk 12:22,Mk 14:3,Lk 1:5,Lk 1:24,Lk 7:37,Lk 7:39,Lk 8:3,Lk 8:43,Lk 8:47,Lk 10:38,Lk 11:27,Lk 13:11,Lk 13:21,Lk 15:8,Lk 20:32,Lk 20:33,Jn 4:7,Jn 4:9,Jn 4:17,Jn 4:28,Jn 8:4,Jn 8:9,Jn 16:21,Ac 5:7,Ac 16:14,Ac 17:34,Ro 7:2,1 Co 7:3,1 Co 7:4,1 Co 7:13,1 Co 7:14,1 Co 7:34,1 Co 11:8,1 Co 11:9,1 Co 11:10,1 Co 11:11,1 Co 11:12,1 Co 11:15,Eph 5:33,1 Ti 2:14,Re 12:1,Re 12:6,Re 17:4,Re 17:9,Re 17:18,Re 19:7,1 Co 11:5,1 Co 11:7
Γυναῖκας	γυνή	fem	acc	pl	noun	1 Ti 3:11
γυναῖκες	γυνή	fem	vocative, nominative	pl	noun	Col 3:18,1 Pe 3:1
γύναι	γυνή	fem	voc	sg	noun	Mt 15:28,Lk 13:12,Lk 22:57,Jn 2:4,Jn 4:21,Jn 8:10,Jn 19:26,Jn 20:13,Jn 20:15,1 Co 7:16
γυνή	γυνή	fem	nom	sg	noun	Mt 22:27,Mt 22:28,Mk 12:23,Lk 1:13,Lk 1:18,Lk 20:33,Jn 4:11,Jn 4:15,Jn 4:19,Jn 4:25,1 Co 7:4,1 Ti 5:9,1 Co 11:6
γυναικός	γυνή	fem	gen	sg	noun	Mt 19:10,Ac 5:2,1 Co 7:27,1 Co 11:12,Ga 4:4
Γυνὴ	γυνή	fem	nom	sg	noun	1 Co 7:39,1 Ti 2:11
γυναικὶ	γυνή	fem	dat	sg	noun	Mt 19:5,Jn 4:42,Ac 5:1,Ac 24:24,1 Co 7:3,1 Co 7:14,1 Co 14:35,1 Ti 2:12,Re 12:14,Re 12:16,Re 12:17,1 Co 11:6
γυναιξίν	γυνή	fem	dat	pl	noun	Mt 28:5,Ac 16:13
γυναῖκα	γυνή	fem	acc	sg	noun	Mt 1:24,Mt 5:28,Mt 5:31,Mt 5:32,Mt 14:3,Mt 18:25,Mt 19:3,Mt 19:9,Mt 22:24,Mt 22:25,Mk 6:17,Mk 6:18,Mk 10:2,Mk 10:7,Mk 10:11,Mk 12:19,Mk 12:19,Mk 12:20,Mk 12:23,Lk 4:26,Lk 7:44,Lk 7:44,Lk 7:50,Lk 14:20,Lk 14:26,Lk 16:18,Lk 18:29,Lk 20:28,Lk 20:28,Lk 20:29,Lk 20:33,Jn 8:3,Ac 18:2,1 Co 7:2,1 Co 7:10,1 Co 7:11,1 Co 7:12,1 Co 7:16,1 Co 7:27,1 Co 9:5,1 Co 11:9,Eph 5:28,Eph 5:31,Eph 5:33,Re 2:20,Re 12:13,Re 17:3,Re 17:6,Re 21:9,1 Co 11:13
γυναικὸς	γυνή	fem	gen	sg	noun	Lk 3:19,Lk 17:32,Jn 4:9,Jn 4:27,Jn 4:39,Ac 16:1,1 Co 11:8,1 Co 11:11,Eph 5:23,1 Ti 3:2,1 Ti 3:12,Tt 1:6,Re 12:4,Re 12:15,Re 17:7,1 Co 7:1,1 Co 11:3
γυναικῶν	γυνή	fem	gen	pl	noun	Mt 11:11,Mt 14:21,Mt 15:38,Lk 7:28,Lk 23:27,Ac 5:14,Ac 17:4,Ac 17:12,1 Pe 3:1,Re 9:8,Re 14:4
γυναιξὶν	γυνή	fem	dat	pl	noun	Lk 1:42,Ac 1:14,Ac 21:5,1 Ti 2:10
