Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πνεῦμά	πνεῦμα	neu	acc	sg	noun	Mt 12:18,Lk 23:46,Ac 7:59
πνεύματα	πνεῦμα	neu	acc	pl	noun	Mt 8:16,Mt 12:45,Lk 11:26,Heb 1:7,1 Jn 4:1,Re 3:1,Ac 8:7,Ac 19:12,Ac 19:13,Re 16:13
πνεύματι	πνεῦμα	neu	dat	sg	noun	Mt 3:11,Mt 5:3,Mt 12:28,Mt 22:43,Mk 1:8,Mk 2:8,Mk 8:12,Mk 12:36,Lk 1:17,Lk 1:80,Lk 2:27,Lk 3:16,Lk 4:1,Lk 10:21,Jn 1:33,Jn 4:23,Jn 4:24,Jn 13:21,Ac 1:5,Ac 6:10,Ac 7:51,Ac 10:38,Ac 11:16,Ac 15:28,Ac 16:18,Ac 18:25,Ac 19:21,Ac 20:22,Ro 2:29,Ro 8:9,Ro 8:13,Ro 8:14,Ro 8:16,Ro 9:1,Ro 12:11,Ro 14:17,Ro 15:16,1 Co 5:3,1 Co 6:11,1 Co 7:34,1 Co 12:3,1 Co 12:3,1 Co 12:9,1 Co 12:9,1 Co 12:13,1 Co 14:2,1 Co 14:15,1 Co 14:15,1 Co 14:16,2 Co 3:3,2 Co 6:6,2 Co 12:18,Ga 3:3,Ga 5:5,Ga 5:16,Ga 5:18,Ga 5:25,Ga 5:25,Ga 6:1,Eph 1:13,Eph 2:18,Eph 2:22,Eph 3:5,Eph 4:23,Eph 5:18,Eph 6:18,Php 1:27,Php 3:3,Col 1:8,Col 2:5,1 Th 1:5,2 Th 2:8,1 Ti 3:16,1 Pe 1:12,1 Pe 3:18,1 Pe 4:6,1 Jn 4:1,Jud 20,Re 1:10,Re 4:2,Re 17:3,Mk 1:23,Mk 5:2,Mk 9:25,Lk 8:29,Lk 9:42,Jn 11:33,Re 21:10
πνευμάτων	πνεῦμα	neu	gen	pl	noun	1 Co 14:12,Heb 12:9,Re 1:4,Re 22:6,Mt 10:1,Mk 6:7,Lk 6:18,Lk 7:21,Lk 8:2,Ac 5:16,1 Co 12:10
πνεύματος	πνεῦμα	neu	gen	sg	noun	Mt 1:18,Mt 4:1,Mt 12:31,Mt 12:32,Mt 28:19,Lk 1:15,Lk 1:41,Lk 1:67,Lk 2:26,Lk 4:1,Lk 4:14,Jn 3:5,Jn 3:6,Jn 3:8,Jn 7:39,Ac 1:2,Ac 1:8,Ac 2:4,Ac 2:33,Ac 2:38,Ac 4:8,Ac 4:25,Ac 4:31,Ac 6:3,Ac 6:5,Ac 7:55,Ac 9:17,Ac 9:31,Ac 10:45,Ac 11:24,Ac 11:28,Ac 13:4,Ac 13:9,Ac 13:52,Ac 16:6,Ac 21:4,Ro 5:5,Ro 7:6,Ro 8:2,Ro 8:5,Ro 8:6,Ro 8:11,Ro 8:23,Ro 8:27,Ro 15:13,Ro 15:19,Ro 15:30,1 Co 2:4,1 Co 2:10,1 Co 2:13,1 Co 2:14,1 Co 5:4,1 Co 12:7,1 Co 12:8,2 Co 1:22,2 Co 3:6,2 Co 3:8,2 Co 3:18,2 Co 5:5,2 Co 7:1,2 Co 13:13,Ga 3:14,Ga 5:17,Ga 6:8,Ga 6:18,Eph 2:2,Eph 3:16,Eph 4:3,Eph 6:17,Php 1:19,Php 2:1,Php 4:23,1 Th 1:6,2 Th 2:2,2 Th 2:13,2 Ti 1:14,Tt 3:5,Phm 25,Heb 2:4,Heb 4:12,Heb 6:4,Heb 9:8,Heb 9:14,Jas 2:26,1 Pe 1:2,1 Pe 3:4,2 Pe 1:21,1 Jn 3:24,1 Jn 4:13,Re 18:2
πνεῦμα	πνεῦμα	neu	acc	sg	noun	Mt 3:16,Mt 27:50,Mk 1:10,Mk 3:29,Mk 9:17,Lk 4:33,Lk 11:13,Lk 12:10,Lk 13:11,Lk 24:37,Jn 1:32,Jn 1:33,Jn 3:34,Jn 14:17,Jn 19:30,Jn 20:22,Ac 5:3,Ac 5:9,Ac 8:15,Ac 8:17,Ac 8:19,Ac 10:47,Ac 15:8,Ac 16:16,Ac 19:2,Ac 23:8,Ro 1:4,Ro 8:4,Ro 8:5,Ro 8:9,Ro 8:15,Ro 8:15,Ro 11:8,1 Co 2:12,1 Co 2:12,1 Co 7:40,1 Co 12:8,1 Co 12:13,1 Co 15:45,1 Co 16:18,2 Co 4:13,2 Co 11:4,Ga 3:2,Ga 3:5,Ga 4:6,Ga 4:29,Ga 6:8,Eph 1:17,Eph 4:30,1 Th 4:8,1 Th 5:19,2 Ti 1:7,Heb 10:29,1 Jn 4:2,1 Jn 4:6,1 Jn 4:6,Jud 19,Mk 3:30,Mk 7:25
πνεῦμα	πνεῦμα	neu	accusative, nominative	sg	noun	Lk 3:22,Re 13:15
πνεύμασιν	πνεῦμα	neu	dat	pl	noun	1 Ti 4:1,Heb 12:23,1 Pe 3:19,Mk 1:27,Lk 4:36
πνεῦμά	πνεῦμα	neu	nom	sg	noun	Lk 1:47,Jn 3:6,Jn 6:63,Jn 6:63,Ac 11:12,1 Co 6:17,1 Co 14:14,2 Co 3:17,1 Jn 5:6,1 Jn 5:6
πνεῦμα	πνεῦμα	neu	nom	sg	noun	Mt 10:20,Mt 26:41,Mk 1:12,Mk 9:20,Mk 13:11,Mk 14:38,Lk 1:35,Lk 2:25,Lk 4:18,Lk 8:55,Lk 9:39,Lk 12:12,Lk 24:39,Jn 3:8,Jn 4:24,Jn 7:39,Jn 14:26,Jn 15:26,Jn 16:13,Ac 1:16,Ac 2:4,Ac 8:29,Ac 8:39,Ac 10:19,Ac 10:44,Ac 11:15,Ac 13:2,Ac 16:7,Ac 17:16,Ac 19:2,Ac 19:6,Ac 20:23,Ac 20:28,Ac 21:11,Ac 23:9,Ac 28:25,Ro 8:9,Ro 8:10,Ro 8:11,Ro 8:16,Ro 8:26,Ro 8:26,1 Co 2:10,1 Co 2:11,1 Co 2:11,1 Co 3:16,1 Co 5:5,1 Co 12:4,1 Co 12:11,2 Co 3:6,2 Co 3:17,2 Co 7:13,Ga 5:17,Eph 4:4,1 Th 5:23,1 Ti 4:1,Heb 3:7,Heb 10:15,Jas 4:5,1 Pe 1:11,1 Pe 4:14,1 Jn 4:2,1 Jn 4:3,1 Jn 5:8,Re 2:7,Re 2:11,Re 2:17,Re 2:29,Re 3:6,Re 3:13,Re 3:22,Re 11:11,Re 14:13,Re 19:10,Re 22:17,Mt 12:43,Mk 1:26,Mk 5:8,Mk 9:25,Lk 11:24,Ac 19:15,Ac 19:16
πνεῦμα	πνεῦμα	neu	nominative, accusative	sg	noun	Ac 5:32,Ac 8:18
πνεύματός	πνεῦμα	neu	gen	sg	noun	Mt 1:20,Ac 2:17,Ac 2:18,1 Co 6:19,Ga 5:22,2 Ti 4:22
πνεύματί	πνεῦμα	neu	dat	sg	noun	Ro 1:9,1 Co 4:21,2 Co 2:13
πνεύματα	πνεῦμα	neu	nom	pl	noun	Lk 10:20,1 Co 14:32,Heb 1:14,Re 4:5,Re 5:6,Re 16:14,Mk 3:11,Mk 5:13
