Result	Lemma	Gender	Case	Number	Part of Speech	Reference
σώματί	σῶμα	neu	dat	sg	noun	Ga 6:17,Php 1:20
σώματα	σῶμα	neu	acc	pl	noun	Ro 1:24,Ro 8:11,Ro 12:1,Eph 5:28
σώματος	σῶμα	neu	gen	sg	noun	Ro 7:4,Ro 7:24,Ro 8:13,Ro 8:23,1 Co 7:4,1 Co 7:4,1 Co 10:16,1 Co 11:27,1 Co 12:12,1 Co 12:15,1 Co 12:15,1 Co 12:16,1 Co 12:16,1 Co 12:22,1 Co 12:23,2 Co 5:8,2 Co 5:10,2 Co 10:10,2 Co 12:2,2 Co 12:3,Eph 4:16,Eph 5:23,Eph 5:30,Col 1:24,Col 2:23,Heb 10:10,Jas 2:16,Jud 9,Jn 2:21,Eph 4:12,Col 1:18,Col 2:11
σῶμα	σῶμα	neu	nom	sg	noun	Mt 6:25,Lk 12:23,Lk 17:37,Lk 23:55,Jn 20:12,Ro 6:6,Ro 8:10,1 Co 6:13,1 Co 6:19,1 Co 10:17,1 Co 11:24,1 Co 12:12,1 Co 12:12,1 Co 12:14,1 Co 12:17,1 Co 12:19,1 Co 12:20,1 Co 12:27,1 Co 15:44,1 Co 15:44,1 Co 15:44,Eph 1:23,Eph 4:4,Eph 4:16,Col 2:17,Col 2:19,1 Th 5:23,Jas 2:26
σώματι	σῶμα	neu	dat	sg	noun	Mt 6:25,Mk 5:29,Lk 12:22,Ro 6:12,Ro 12:4,1 Co 5:3,1 Co 6:13,1 Co 6:20,1 Co 7:34,1 Co 12:18,1 Co 12:25,1 Co 15:35,2 Co 4:10,2 Co 4:10,2 Co 5:6,2 Co 12:2,2 Co 12:3,Eph 2:16,Php 3:21,Col 1:22,Col 3:15,Heb 13:3,1 Pe 2:24
σῶμα	σῶμα	neu	acc	sg	noun	Mt 10:28,Mt 10:28,Mt 27:58,Mt 27:59,Mk 15:43,Lk 12:4,Lk 23:52,Lk 24:3,Lk 24:23,Jn 19:38,Jn 19:38,Jn 19:40,Ac 9:40,Ro 4:19,1 Co 6:18,1 Co 9:27,1 Co 11:29,1 Co 12:13,1 Co 12:24,1 Co 15:37,1 Co 15:38,1 Co 15:38,Php 3:21,Heb 10:5,Heb 10:22,Jas 3:2,Jas 3:3,Jas 3:6
σώματα	σῶμα	neu	nom	pl	noun	Mt 27:52,Jn 19:31,1 Co 6:15,1 Co 15:40,1 Co 15:40,Heb 13:11
σῶμά	σῶμα	neu	nom	sg	noun	Mt 5:29,Mt 5:30,Mt 6:22,Mt 6:23,Mt 26:26,Mk 14:22,Lk 11:34,Lk 11:34,Lk 11:36,Lk 22:19,Ro 12:5,1 Co 6:16
σωμάτων	σῶμα	neu	gen	pl	noun	Re 18:13
σῶμά	σῶμα	neu	acc	sg	noun	Mk 14:8,1 Co 13:3
σώματός	σῶμα	neu	gen	sg	noun	Mt 6:22,Mt 26:12,Lk 11:34,1 Co 6:18
