Result	Lemma	Gender	Case	Number	Part of Speech	Reference
φωτός	φῶς	neu	gen	sg	noun	Jn 1:7,Jn 1:8,Ro 13:12,2 Co 11:14,1 Th 5:5
φῶς	φῶς	neu	nom	sg	noun	Mt 4:16,Mt 5:14,Mt 5:16,Mt 6:23,Mt 17:2,Lk 11:35,Jn 1:4,Jn 1:5,Jn 1:8,Jn 1:9,Jn 3:19,Jn 8:12,Jn 9:5,Jn 11:10,Jn 12:35,Ac 9:3,Ac 12:7,Eph 5:8,Eph 5:14,1 Jn 1:5,1 Jn 2:8,Re 18:23
φωτὸς	φῶς	neu	gen	sg	noun	Lk 16:8,Jn 12:36,Ac 22:11,Eph 5:8,Eph 5:9,Eph 5:13,Re 21:24,Re 22:5,Re 22:5
φῶτα	φῶς	neu	acc	pl	noun	Ac 16:29
φῶς	φῶς	neu	accusative, nominative	sg	noun	Lk 2:32,Ac 22:6
φωτί	φῶς	neu	dat	sg	noun	Mt 10:27,Col 1:12,1 Jn 1:7
φῶς	φῶς	neu	nominative, accusative	sg	noun	Jn 12:46,2 Co 4:6
φῶς	φῶς	neu	acc	sg	noun	Mt 4:16,Mk 14:54,Lk 8:16,Lk 11:33,Lk 22:56,Jn 3:19,Jn 3:20,Jn 3:20,Jn 3:21,Jn 8:12,Jn 11:9,Jn 12:35,Jn 12:36,Ac 13:47,Ac 22:9,Ac 26:13,Ac 26:18,Ac 26:23,Ro 2:19,1 Ti 6:16,1 Pe 2:9,Jn 12:36
φωτὶ	φῶς	neu	dat	sg	noun	Lk 12:3,Jn 5:35,2 Co 6:14,1 Jn 1:7,1 Jn 2:9,1 Jn 2:10
φώτων	φῶς	neu	gen	pl	noun	Jas 1:17
