Result	Lemma	Gender	Case	Number	Part of Speech	Reference
χειρὶ	χείρ	fem	dat	sg	noun	Mt 3:12,Lk 3:17,Jn 3:35,Ac 7:35,Ac 12:17,Ac 13:16,Ac 21:40,1 Co 16:21,Ga 3:19,Col 4:18,2 Th 3:17,Re 6:5,Re 10:2,Re 10:8,Re 14:14,Re 17:4,Re 1:16
χεῖρας	χείρ	fem	acc	pl	noun	Mt 15:2,Mt 17:22,Mt 18:8,Mt 19:13,Mt 19:15,Mt 22:13,Mt 26:45,Mt 27:24,Mk 5:23,Mk 6:5,Mk 7:3,Mk 8:23,Mk 8:25,Mk 9:31,Mk 9:43,Mk 10:16,Mk 14:41,Lk 9:44,Lk 13:13,Lk 24:7,Lk 24:40,Lk 24:50,Jn 11:44,Jn 13:3,Jn 13:9,Jn 20:20,Ac 9:12,Ac 21:11,Ac 21:11,Ac 28:17,2 Co 11:33,1 Ti 2:8,Heb 10:31,Heb 12:12,Jas 4:8,Mt 26:50,Mk 14:46,Mk 16:18,Lk 4:40,Lk 20:19,Lk 21:12,Lk 22:53,Jn 7:44,Ac 4:3,Ac 5:18,Ac 6:6,Ac 8:17,Ac 8:19,Ac 9:17,Ac 12:1,Ac 13:3,Ac 19:6,Ac 21:27,Ac 28:8,1 Ti 5:22
χεῖρες	χείρ	fem	nom	pl	noun	Ac 20:34,1 Jn 1:1
χείρ	χείρ	fem	nom	sg	noun	Mt 18:8,Mk 9:43,Ac 4:28,1 Co 12:15,Ac 7:50
χειρός	χείρ	fem	gen	sg	noun	Mk 1:31,Jn 10:28
χερσίν	χείρ	fem	dat	pl	noun	Mk 7:2,Lk 6:1,1 Co 4:12
χεῖρα	χείρ	fem	acc	sg	noun	Mt 8:3,Mt 12:10,Mt 12:13,Mt 12:49,Mt 14:31,Mt 26:23,Mt 26:51,Mk 1:41,Mk 3:1,Mk 3:3,Mk 3:5,Mk 7:32,Lk 5:13,Lk 6:8,Lk 15:22,Jn 20:25,Ac 9:41,Ac 19:33,Ac 26:1,1 Pe 5:6,Re 10:5,Re 14:9,Re 20:1,Re 20:4,Lk 9:62,Jn 7:30
χεῖράς	χείρ	fem	acc	pl	noun	Lk 23:46,Lk 24:39,Jn 20:27,Jn 21:18,Ro 10:21
χεὶρ	χείρ	fem	nom	sg	noun	Mt 5:30,Mk 3:5,Lk 1:66,Lk 6:6,Lk 6:10,Lk 22:21,Ac 11:21,Ac 13:11
χεῖρά	χείρ	fem	acc	sg	noun	Mt 9:18,Lk 6:10,Jn 20:27,Ac 4:30
χερσὶν	χείρ	fem	dat	pl	noun	Mt 15:20,Mk 7:5,Mk 16:18,Jn 20:25,Eph 4:28,1 Th 4:11,Re 7:9
χειρῶν	χείρ	fem	gen	pl	noun	Mt 4:6,Mk 6:2,Lk 4:11,Ac 5:12,Ac 7:41,Ac 12:7,Ac 14:3,Ac 17:25,Ac 19:11,Ac 19:26,Heb 1:10,Re 9:20,Ac 8:18,1 Ti 4:14,2 Ti 1:6,Heb 6:2
χειρὸς	χείρ	fem	gen	sg	noun	Mt 8:15,Mt 9:25,Mk 5:41,Mk 8:23,Mk 9:27,Lk 1:71,Lk 1:74,Lk 8:54,Jn 10:29,Jn 10:39,Ac 2:23,Ac 3:7,Ac 7:25,Ac 11:30,Ac 12:11,Ac 15:23,Ac 23:19,Ac 28:3,Ac 28:4,Heb 8:9,Re 8:4,Re 10:10,Re 13:16,Re 19:2
χειρί	χείρ	fem	dat	sg	noun	1 Co 12:21,Ga 6:11,Phm 19
