Result	Lemma	Gender	Case	Number	Part of Speech	Reference
Ἄνδρες	ἀνήρ	mas	voc	pl	noun	Ac 2:22,Ac 2:29,Ac 7:2,Ac 13:26,Ac 22:1
ἀνήρ	ἀνήρ	mas	nom	sg	noun	Lk 8:27,Jn 4:18,Ac 25:14,Ro 7:2,Ro 7:3,1 Co 7:4,1 Co 7:39,1 Co 13:11,Eph 5:23,Tt 1:6,1 Co 11:3
ἄνδρες	ἀνήρ	mas	vocative, nominative	pl	noun	Col 3:19,1 Pe 3:7
ἄνδρες	ἀνήρ	mas	nom	pl	noun	Mt 14:21,Mt 14:35,Mt 15:38,Mk 6:44,Lk 5:18,Lk 7:20,Lk 9:14,Lk 9:30,Lk 11:32,Lk 17:12,Lk 22:63,Lk 24:4,Jn 6:10,Ac 1:10,Ac 2:5,Ac 5:25,Ac 8:2,Ac 8:12,Ac 9:7,Ac 10:17,Ac 10:19,Ac 11:11,Ac 11:20,Ac 17:34,Ac 19:7,Ac 20:30,Ac 21:23,Ac 23:21,Eph 5:25,Eph 5:28,1 Ti 3:12
ἀνδρί	ἀνήρ	mas	dat	sg	noun	1 Co 7:3,1 Co 7:34
ἀνδρὸς	ἀνήρ	mas	gen	sg	noun	Lk 2:36,Lk 16:18,Jn 1:13,Ac 9:13,Ro 7:3,1 Co 7:10,1 Co 11:11,1 Ti 5:9,Jas 1:20,1 Co 11:3
Ἄνδρες	ἀνήρ	mas	nom	pl	noun	Mt 12:41
ἄνερ	ἀνήρ	mas	voc	sg	noun	1 Co 7:16
ἀνδράσιν	ἀνήρ	mas	dat	pl	noun	Ac 25:23,Eph 5:22,Eph 5:24,Col 3:18,Tt 2:5,1 Pe 3:1,1 Pe 3:5
ἀνδρῶν	ἀνήρ	mas	gen	pl	noun	Lk 11:31,Lk 14:24,Ac 1:21,Ac 4:4,Ac 5:14,Ac 5:36,Ac 17:12
Ἀνὴρ	ἀνήρ	mas	nom	sg	noun	Ac 5:1,Ac 8:9,Ac 10:1,1 Co 11:7
ἀνδρός	ἀνήρ	mas	gen	sg	noun	Ac 11:12,1 Co 11:8,1 Co 11:12,1 Ti 2:12,Ro 7:2,1 Co 11:7
ἀνὴρ	ἀνήρ	mas	nom	sg	noun	Mt 1:19,Lk 5:8,Lk 5:12,Lk 8:38,Lk 8:41,Lk 9:38,Lk 19:2,Lk 23:50,Lk 23:50,Lk 24:19,Jn 1:30,Ac 3:2,Ac 8:27,Ac 10:22,Ac 10:30,Ac 11:24,Ac 14:8,Ac 16:9,Ac 18:24,Ac 22:3,Ac 22:12,Ro 4:8,1 Co 7:3,1 Co 7:4,1 Co 7:14,1 Co 7:39,1 Co 11:8,1 Co 11:9,1 Co 11:11,1 Co 11:12,1 Co 11:14,Jas 1:8,Jas 1:12,Jas 2:2,Jas 3:2,1 Co 11:4
ἀνδρὶ	ἀνήρ	mas	dat	sg	noun	Mt 7:24,Mt 7:26,Mk 10:2,Lk 1:27,Lk 6:8,Lk 19:7,Ac 10:28,Ac 13:7,Ac 17:31,Ac 25:5,Ro 7:2,1 Co 7:11,2 Co 11:2,Jas 1:23,Re 21:2,Ro 7:3,Ro 7:3
ἄνδρα	ἀνήρ	mas	acc	sg	noun	Mt 1:16,Mk 6:20,Mk 10:12,Lk 1:34,Jn 4:16,Jn 4:17,Jn 4:17,Ac 2:22,Ac 3:14,Ac 5:9,Ac 5:10,Ac 6:5,Ac 9:12,Ac 13:6,Ac 13:21,Ac 13:22,Ac 21:11,Ac 23:27,Ac 23:30,Ac 24:5,Ac 25:17,1 Co 7:2,1 Co 7:11,1 Co 7:13,1 Co 7:13,1 Co 7:16,1 Co 11:9,Ga 4:27,Eph 4:13,Eph 5:33,1 Ti 3:2
ἄνδρας	ἀνήρ	mas	acc	pl	noun	Lk 9:32,Ac 6:3,Ac 6:11,Ac 8:3,Ac 9:2,Ac 9:38,Ac 10:5,Ac 10:21,Ac 11:3,Ac 15:22,Ac 15:22,Ac 15:25,Ac 17:5,Ac 19:37,Ac 21:26,Ac 21:38,Ac 22:4,Ro 11:4,1 Co 14:35,1 Ti 2:8,Jn 4:18
ἄνδρες	ἀνήρ	mas	voc	pl	noun	Ac 1:11,Ac 1:16,Ac 2:14,Ac 2:37,Ac 3:12,Ac 5:35,Ac 7:26,Ac 13:15,Ac 13:16,Ac 13:38,Ac 14:15,Ac 15:7,Ac 15:13,Ac 17:22,Ac 19:25,Ac 19:35,Ac 21:28,Ac 23:1,Ac 23:6,Ac 25:24,Ac 27:10,Ac 27:21,Ac 27:25,Ac 28:17
