Result	Lemma	Gender	Case	Number	Part of Speech	Reference
ὀνομάτων	ὄνομα	neu	gen	pl	noun	Ac 1:15,Ac 18:15
ὀνόματός	ὄνομα	neu	gen	sg	noun	Mt 19:29,Lk 21:12,Ac 9:16
ὄνομα	ὄνομα	neu	nom	sg	noun	Mk 6:14,Mk 14:32,Lk 1:5,Lk 1:26,Lk 1:27,Lk 1:27,Lk 1:49,Lk 1:63,Lk 2:21,Lk 2:25,Lk 8:41,Lk 24:13,Jn 1:6,Jn 3:1,Jn 18:10,Ac 3:16,Ac 13:6,Ac 13:8,Ro 2:24,2 Th 1:12,1 Ti 6:1,Re 6:8,Re 8:11,Re 9:11,Re 13:8,Re 17:5,Re 17:8,Re 19:13,Re 22:4
ὀνόματα	ὄνομα	neu	nom	pl	noun	Lk 10:20,Php 4:3,Re 21:12
ὄνομά	ὄνομα	neu	nom	sg	noun	Mt 6:9,Mk 5:9,Mk 5:9,Lk 8:30,Lk 11:2,Ac 4:12,Ro 9:17
ὄνομα	ὄνομα	neu	nominative, accusative	sg	noun	Ac 19:17
ὀνόματά	ὄνομα	neu	nom	pl	noun	Mt 10:2
ὀνόματι	ὄνομα	neu	dat	sg	noun	Mt 7:22,Mt 7:22,Mt 7:22,Mt 12:21,Mt 21:9,Mt 23:39,Mt 27:32,Mk 5:22,Mk 9:41,Mk 11:9,Lk 1:5,Lk 1:59,Lk 1:61,Lk 5:27,Lk 10:38,Lk 13:35,Lk 16:20,Lk 19:2,Lk 19:38,Lk 23:50,Lk 24:18,Lk 24:47,Jn 5:43,Jn 5:43,Jn 10:25,Jn 12:13,Jn 20:31,Ac 2:38,Ac 3:6,Ac 4:7,Ac 4:10,Ac 4:17,Ac 4:18,Ac 5:1,Ac 5:28,Ac 5:34,Ac 5:40,Ac 8:9,Ac 9:10,Ac 9:11,Ac 9:12,Ac 9:27,Ac 9:28,Ac 9:33,Ac 9:36,Ac 10:1,Ac 10:48,Ac 11:28,Ac 12:13,Ac 15:14,Ac 16:1,Ac 16:14,Ac 16:18,Ac 17:34,Ac 18:2,Ac 18:7,Ac 18:24,Ac 19:24,Ac 20:9,Ac 21:10,Ac 27:1,Ac 28:7,1 Co 5:4,1 Co 6:11,Eph 5:20,Php 2:10,Col 3:17,2 Th 3:6,Heb 13:15,Jas 5:10,Jas 5:14,1 Pe 4:14,1 Jn 3:23
ὄνομα	ὄνομα	neu	accusative, nominative	sg	noun	Re 2:17,Re 9:11
ὄνομά	ὄνομα	neu	acc	sg	noun	Mt 10:22,Mt 24:9,Mk 13:13,Lk 21:17,Jn 15:21,Jn 17:26,Ac 9:14,Ac 9:15,Heb 2:12,Re 2:3,Re 2:13,Re 3:8,Re 3:12,Re 11:18,Re 15:4
ὀνόματα	ὄνομα	neu	acc	pl	noun	Mk 3:17,Re 3:4,Re 13:1,Re 17:3,Re 21:12,Re 21:14
ὄνομα	ὄνομα	neu	acc	sg	noun	Mt 1:21,Mt 1:23,Mt 1:25,Mt 10:41,Mt 10:41,Mt 10:42,Mt 18:20,Mt 28:19,Mk 3:16,Lk 1:13,Lk 1:31,Lk 6:22,Jn 1:12,Jn 2:23,Jn 10:3,Jn 12:28,Jn 17:6,Ac 2:21,Ac 8:16,Ac 9:21,Ac 19:5,Ac 19:13,Ac 22:16,Ac 26:9,Ro 10:13,1 Co 1:2,1 Co 1:13,1 Co 1:15,Php 2:9,Php 2:9,Heb 1:4,Heb 6:10,Jas 2:7,1 Jn 2:12,3 Jn 15,Re 3:1,Re 3:5,Re 3:5,Re 3:12,Re 3:12,Re 13:6,Re 13:17,Re 14:1,Re 14:1,Re 16:9,Re 19:12,Re 19:16,Jn 3:18,2 Ti 2:19,1 Jn 5:13
ὀνόματα	ὄνομα	neu	nominative, accusative	pl	noun	Re 11:13
ὀνόματος	ὄνομα	neu	gen	sg	noun	Ac 3:16,Ac 4:30,Ac 5:41,Ac 8:12,Ac 10:43,Ac 15:26,Ac 21:13,Ro 1:5,1 Co 1:10,Eph 1:21,3 Jn 7,Re 13:17,Re 14:11,Re 15:2
ὄνομά	ὄνομα	neu	nominative, accusative	sg	noun	Ac 15:17
ὀνόματί	ὄνομα	neu	dat	sg	noun	Mt 18:5,Mt 24:5,Mk 9:37,Mk 9:38,Mk 9:39,Mk 13:6,Mk 16:17,Lk 9:48,Lk 9:49,Lk 10:17,Lk 21:8,Jn 14:13,Jn 14:14,Jn 14:26,Jn 15:16,Jn 16:23,Jn 16:24,Jn 16:26,Jn 17:11,Jn 17:12,Ro 15:9
