Result	Lemma	Gender	Case	Number	Part of Speech	Reference
δύναμιν	δύναμις	fem	acc	sg	noun	Mt 22:29,Mt 25:15,Mk 5:30,Mk 6:5,Mk 9:39,Mk 12:24,Lk 8:46,Lk 9:1,Lk 10:19,Lk 24:49,Ac 1:8,1 Co 1:24,1 Co 4:19,1 Co 14:11,1 Co 15:24,2 Co 1:8,2 Co 8:3,2 Co 8:3,Eph 3:20,Php 3:10,2 Ti 1:8,2 Ti 3:5,Heb 7:16,Heb 11:11,Heb 11:34,2 Pe 1:16,Re 3:8,Re 4:11,Re 5:12,Re 13:2,Re 17:13
δυνάμεις	δύναμις	fem	acc	pl	noun	Mt 7:22,Mt 13:58,Ac 8:13,1 Co 12:28,Ga 3:5,Heb 6:5
δυνάμεσιν	δύναμις	fem	dat	pl	noun	Ac 2:22,2 Co 12:12,Heb 2:4
δυνάμεως	δύναμις	fem	gen	sg	noun	Mt 24:30,Mt 26:64,Mk 13:26,Mk 14:62,Lk 21:27,Lk 22:69,Ac 6:8,1 Co 2:4,1 Co 6:14,2 Co 4:7,2 Co 13:4,2 Co 13:4,Eph 1:19,Eph 1:21,Eph 3:7,2 Th 1:7,2 Ti 1:7,Heb 1:3,2 Pe 1:3,Re 15:8,Re 18:3
δυνάμεις	δύναμις	fem	nom	pl	noun	Mt 11:20,Mt 11:21,Mt 11:23,Mt 13:54,Mt 14:2,Mt 24:29,Mk 6:2,Mk 6:14,Mk 13:25,Lk 10:13,Lk 21:26,Ro 8:38,1 Co 12:29
δύναμίν	δύναμις	fem	acc	sg	noun	Ro 9:17,Re 11:17
δυνάμεων	δύναμις	fem	gen	pl	noun	Lk 19:37,1 Co 12:10,1 Pe 3:22
δυνάμει	δύναμις	fem	dat	sg	noun	Mk 9:1,Lk 1:17,Lk 4:14,Lk 4:36,Ac 3:12,Ac 4:7,Ac 4:33,Ac 10:38,Ro 1:4,Ro 15:13,Ro 15:19,Ro 15:19,1 Co 2:5,1 Co 4:20,1 Co 5:4,1 Co 15:43,2 Co 6:7,Eph 3:16,Col 1:11,Col 1:29,1 Th 1:5,2 Th 1:11,2 Th 2:9,1 Pe 1:5,2 Pe 2:11,Re 1:16
Δυνάμεις	δύναμις	fem	acc	pl	noun	Ac 19:11
δύναμις	δύναμις	fem	nom	sg	noun	Lk 1:35,Lk 5:17,Lk 6:19,Ac 8:10,Ro 1:16,Ro 1:20,1 Co 1:18,1 Co 15:56,2 Co 12:9,2 Co 12:9,Re 7:12,Re 12:10,Re 19:1
