Result	Lemma	Gender	Case	Number	Part of Speech	Reference
πατήρ	πατήρ	mas	nom	sg	noun	Mt 6:4,Mt 6:6,Mt 6:18,Mt 11:26,Mt 11:27,Mt 15:13,Mt 16:17,Mt 18:35,Mk 13:32,Mk 14:36,Lk 2:48,Lk 10:21,Lk 10:22,Lk 15:27,Lk 22:29,Jn 5:17,Jn 5:36,Jn 6:32,Jn 8:16,Jn 8:18,Jn 8:19,Jn 8:54,Jn 10:29,Jn 12:26,Jn 12:50,Jn 14:23,Jn 14:31,Jn 15:1,Jn 15:8,Jn 15:9,Jn 20:21,Ro 8:15,Ga 4:6,Heb 12:7,1 Jn 3:1
πατρί	πατήρ	mas	dat	sg	noun	Mt 6:6,Mt 6:18,Lk 12:53,Lk 15:12,Jn 4:21,Jn 10:38,Jn 14:20,1 Co 15:24,Eph 5:20
πατέρες	πατήρ	mas	nom	pl	noun	Lk 6:23,Lk 6:26,Lk 11:47,Jn 4:20,Jn 6:31,Jn 6:49,Jn 6:58,Ac 7:11,Ac 7:15,Ac 7:39,Ac 7:45,Ac 7:51,Ac 7:52,Ac 15:10,Ro 9:5,1 Co 10:1,Eph 6:4,Heb 3:9,2 Pe 3:4
πατρὶ	πατήρ	mas	dat	sg	noun	Mt 6:1,Mt 15:5,Mk 7:11,Mk 7:12,Lk 1:62,Lk 9:42,Lk 15:29,Jn 4:23,Jn 8:38,Jn 14:10,Jn 14:11,Ac 7:2,Php 2:22,Php 4:20,Col 1:3,Col 1:12,Col 3:17,1 Th 1:1,2 Th 1:1,Heb 12:9,Jas 1:27,1 Jn 2:24,Jud 1,Re 1:6
πατράσιν	πατήρ	mas	dat	pl	noun	Ac 7:44,Heb 1:1,Heb 8:9
Πάτερ	πατήρ	mas	voc	sg	noun	Mt 6:9,Lk 11:2,Jn 17:24
πάτερ	πατήρ	mas	voc	sg	noun	Mt 11:25,Mt 26:39,Mt 26:42,Lk 10:21,Lk 15:12,Lk 15:18,Lk 15:21,Lk 16:24,Lk 16:27,Lk 16:30,Lk 22:42,Lk 23:34,Lk 23:46,Jn 11:41,Jn 12:27,Jn 12:28,Jn 17:1,Jn 17:5,Jn 17:11,Jn 17:21,Jn 17:25
πατέρας	πατήρ	mas	acc	pl	noun	Lk 1:55,Ac 3:25,Ac 7:12,Ac 7:19,Ac 13:17,Ac 13:32,Ac 26:6,Ac 28:25,Ro 11:28,1 Co 4:15,Heb 12:9,Ac 13:36
πατέρων	πατήρ	mas	gen	pl	noun	Mt 23:30,Mt 23:32,Lk 1:17,Lk 1:72,Lk 11:48,Jn 7:22,Ac 3:13,Ac 5:30,Ac 7:32,Ac 7:38,Ac 7:45,Ac 22:14,Ro 15:8,Heb 11:23
πατέρες	πατήρ	mas	voc	pl	noun	Ac 7:2,Ac 22:1,1 Jn 2:13,1 Jn 2:14
